number_of_fixational_trials,size
1,"[2.6,2.6]"
2,"[2.6,2.6]"
3,"[2.6,2.6]"
4,"[2.6,2.6]"
5,"[2.6,2.6]"
6,"[2.6,2.6]"
7,"[2.6,2.6]"
8,"[2.6,2.6]"
9,"[2.6,2.6]"
10,"[2.6,2.6]"
1,"[2.7,2.7]"
2,"[2.7,2.7]"
3,"[2.7,2.7]"
4,"[2.7,2.7]"
5,"[2.7,2.7]"
6,"[2.7,2.7]"
7,"[2.7,2.7]"
8,"[2.7,2.7]"
9,"[2.7,2.7]"
10,"[2.7,2.7]"
1,"[2.63,2.63]"
2,"[2.63,2.63]"
3,"[2.63,2.63]"
4,"[2.63,2.63]"
5,"[2.63,2.63]"
6,"[2.63,2.63]"
7,"[2.63,2.63]"
8,"[2.63,2.63]"
9,"[2.63,2.63]"
10,"[2.63,2.63]"
1,"[2.67,2.67]"
2,"[2.67,2.67]"
3,"[2.67,2.67]"
4,"[2.67,2.67]"
5,"[2.67,2.67]"
6,"[2.67,2.67]"
7,"[2.67,2.67]"
8,"[2.67,2.67]"
9,"[2.67,2.67]"
10,"[2.67,2.67]"
