number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.26,60.151,0.16,26.859,,,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
,,1,0,1,0,,,,,,,,,,,,,0.11,13.438,0.13,37.672,,,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
,,2,0,2,0,,,,,,,,,,,,,0.1,18.838,0.22,23.033,,,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
8,3,,,,,0,0,0,23,,,,,0,0,0,0,,,,,right,9.39200645161,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
8,3,,,,,0,0,0,23,,,,,1,0,1,0,,,,,down,9.82536775881,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
8,3,,,,,0,0,0,23,,,,,2,0,2,0,,,,,down,0.992137189256,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
1,1,,,,,0,1,1,0,,,,,0,0,0,0,,,,,down,2.1335497557,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
1,1,,,,,0,1,1,0,,,,,1,0,1,0,,,,,down,0.675473430514,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
6,3,,,,,0,2,2,21,,,,,0,0,0,0,,,,,right,3.25023783039,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
6,3,,,,,0,2,2,21,,,,,1,0,1,0,,,,,down,0.825451443525,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
6,3,,,,,0,2,2,21,,,,,2,0,2,0,,,,,down,0.542114333832,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
8,1,,,,,0,3,3,7,,,,,0,0,0,0,,,,,down,0.466912168165,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
8,1,,,,,0,3,3,7,,,,,1,0,1,0,,,,,down,0.492137583991,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
3,3,,,,,0,4,4,18,,,,,0,0,0,0,,,,,right,0.583587216446,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
3,3,,,,,0,4,4,18,,,,,1,0,1,0,,,,,down,0.558778250503,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
3,3,,,,,0,4,4,18,,,,,2,0,2,0,,,,,down,0.392157242022,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
3,1,,,,,0,5,5,2,,,,,0,0,0,0,,,,,down,1.57544848297,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
3,1,,,,,0,5,5,2,,,,,1,0,1,0,,,,,down,0.875449904037,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
1,3,,,,,0,6,6,16,,,,,0,0,0,0,,,,,right,2.2421069917,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
1,3,,,,,0,6,6,16,,,,,1,0,1,0,,,,,down,0.458795540093,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
1,3,,,,,0,6,6,16,,,,,2,0,2,0,,,,,down,0.442186492175,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
2,3,,,,,0,7,7,17,,,,,0,0,0,0,,,,,down,9.58347945262,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
2,3,,,,,0,7,7,17,,,,,1,0,1,0,,,,,down,0.642093491624,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
6,2,,,,,0,8,8,13,,,,,0,0,0,0,,,,,down,0.816906523396,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
6,2,,,,,0,8,8,13,,,,,1,0,1,0,,,,,down,1.24211330753,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
2,2,,,,,0,9,9,9,,,,,0,0,0,0,,,,,down,0.492150215636,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
2,2,,,,,0,9,9,9,,,,,1,0,1,0,,,,,left,5.20874955296,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
2,2,,,,,0,9,9,9,,,,,2,0,2,0,,,,,down,0.692108136456,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
2,2,,,,,0,9,9,9,,,,,3,0,3,0,,,,,down,0.625444180332,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
5,1,,,,,0,10,10,4,,,,,0,0,0,0,,,,,down,0.575495456927,AKS,f,19,60.0002368456,Set,2017_05_17_1623,
