number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.14,25.218,0.07,29.901,,,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
,,1,0,1,0,,,,,,,,,,,,,0.13,13.297,0.09,20.038,,,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
,,2,0,2,0,,,,,,,,,,,,,0.28,17.338,0.09,38.547,,,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,0,0,0,0,,,,,down,2.35022436996,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,1,0,1,0,,,,,down,1.82546393736,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,2,0,2,0,,,,,right,3.17540764753,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,3,0,3,0,,,,,down,0.942118946055,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,4,0,4,0,,,,,right,0.542161735822,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,5,0,5,0,,,,,left,0.783482992265,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,6,0,6,0,,,,,right,0.558797244419,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,7,0,7,0,,,,,left,0.525458332093,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,8,0,8,0,,,,,right,0.392121630313,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,9,0,9,0,,,,,left,0.54213844621,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,10,0,10,0,,,,,right,0.475382068398,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,11,0,11,0,,,,,left,0.558794086479,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,12,0,12,0,,,,,right,0.358829297242,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,13,0,13,0,,,,,down,0.325456437335,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,2,,,,,0,0,0,9,,,,,14,0,14,0,,,,,down,0.358794560161,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
5,2,,,,,0,1,1,12,,,,,0,0,0,0,,,,,down,0.442146577843,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
5,2,,,,,0,1,1,12,,,,,1,0,1,0,,,,,down,0.442143419932,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,2,,,,,0,2,2,8,,,,,0,0,0,0,,,,,right,1.75869334897,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,2,,,,,0,2,2,8,,,,,1,0,1,0,,,,,left,0.658806086547,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,2,,,,,0,2,2,8,,,,,2,0,2,0,,,,,left,1.20026084388,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,2,,,,,0,2,2,8,,,,,3,0,3,0,,,,,down,0.308741586137,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,2,,,,,0,2,2,8,,,,,4,0,4,0,,,,,down,0.242242183769,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,1,,,,,0,3,3,0,,,,,0,0,0,0,,,,,right,0.958828665665,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,1,,,,,0,3,3,0,,,,,1,0,1,0,,,,,down,0.675366989366,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
1,1,,,,,0,3,3,0,,,,,2,0,2,0,,,,,down,0.550287844089,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,1,,,,,0,4,4,1,,,,,0,0,0,0,,,,,right,0.583595571981,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,1,,,,,0,4,4,1,,,,,1,0,1,0,,,,,right,0.95877734953,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,1,,,,,0,4,4,1,,,,,2,0,2,0,,,,,right,0.742162446375,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,1,,,,,0,4,4,1,,,,,3,0,3,0,,,,,right,0.508784139034,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,1,,,,,0,4,4,1,,,,,4,0,4,0,,,,,right,0.458815244521,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,1,,,,,0,4,4,1,,,,,5,0,5,0,,,,,down,0.642119656608,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
2,1,,,,,0,4,4,1,,,,,6,0,6,0,,,,,down,0.325454858394,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
7,1,,,,,0,5,5,6,,,,,0,0,0,0,,,,,right,0.925516595627,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
7,1,,,,,0,5,5,6,,,,,1,0,1,0,,,,,down,0.49214428835,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
7,1,,,,,0,5,5,6,,,,,2,0,2,0,,,,,down,0.325443016191,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
4,3,,,,,0,6,6,19,,,,,0,0,0,0,,,,,down,0.900206685619,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
4,3,,,,,0,6,6,19,,,,,1,0,1,0,,,,,down,0.508833876229,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
4,1,,,,,0,7,7,3,,,,,0,0,0,0,,,,,down,0.625612043688,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
4,1,,,,,0,7,7,3,,,,,1,0,1,0,,,,,down,0.425448700436,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
6,2,,,,,0,8,8,13,,,,,0,0,0,0,,,,,right,1.39211610393,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
6,2,,,,,0,8,8,13,,,,,1,0,1,0,,,,,down,0.625464411074,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
6,2,,,,,0,8,8,13,,,,,2,0,2,0,,,,,down,0.142138604104,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
5,3,,,,,0,9,9,20,,,,,0,0,0,0,,,,,down,0.900059842505,ASS,m,26,59.9967790948,Set,2017_04_28_1416,
