number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.26,32.101,0.48,30.434,,,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
,,1,0,1,0,,,,,,,,,,,,,0.28,13.763,0.58,13.38,,,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
,,2,0,2,0,,,,,,,,,,,,,0.71,49.298,0.51,14.363,,,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,2,,,,,0,0,0,8,,,,,0,0,0,0,,,,,down,7.60017534316,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,2,,,,,0,0,0,8,,,,,1,0,1,0,,,,,down,0.900246238329,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,2,,,,,0,1,1,13,,,,,0,0,0,0,,,,,down,0.816940470955,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,2,,,,,0,1,1,13,,,,,1,0,1,0,,,,,down,1.15022788296,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
2,3,,,,,0,2,2,17,,,,,0,0,0,0,,,,,left,0.683578216391,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
2,3,,,,,0,2,2,17,,,,,1,0,1,0,,,,,left,0.716896970691,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
2,3,,,,,0,2,2,17,,,,,2,0,2,0,,,,,down,0.583550505697,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
2,3,,,,,0,2,2,17,,,,,3,0,3,0,,,,,down,0.550259383148,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,0,0,0,0,,,,,down,0.933654993176,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,1,0,1,0,,,,,left,3.40024781729,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,2,0,2,0,,,,,down,0.783581847994,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,3,0,3,0,,,,,down,0.650226698737,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,4,0,4,0,,,,,left,0.71694710257,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,5,0,5,0,,,,,left,1.56688264166,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,6,0,6,0,,,,,down,0.450240751459,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,3,,,,,0,3,3,19,,,,,7,0,7,0,,,,,down,0.600235738268,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,3,,,,,0,4,4,20,,,,,0,0,0,0,,,,,left,7.61683215451,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,3,,,,,0,4,4,20,,,,,1,0,1,0,,,,,down,0.86689432594,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,3,,,,,0,4,4,20,,,,,2,0,2,0,,,,,left,0.800222475031,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,3,,,,,0,4,4,20,,,,,3,0,3,0,,,,,left,0.733629571965,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,3,,,,,0,4,4,20,,,,,4,0,4,0,,,,,down,0.533587571714,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,3,,,,,0,4,4,20,,,,,5,0,5,0,,,,,down,0.383386136287,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,2,,,,,0,5,5,12,,,,,0,0,0,0,,,,,down,0.866904194416,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,2,,,,,0,5,5,12,,,,,1,0,1,0,,,,,down,0.616870049475,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
8,2,,,,,0,6,6,15,,,,,0,0,0,0,,,,,left,1.43356815054,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
8,2,,,,,0,6,6,15,,,,,1,0,1,0,,,,,down,1.00023605406,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
8,2,,,,,0,6,6,15,,,,,2,0,2,0,,,,,down,0.533567045277,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,3,,,,,0,7,7,18,,,,,0,0,0,0,,,,,left,0.916888839063,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,3,,,,,0,7,7,18,,,,,1,0,1,0,,,,,down,0.483572926889,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,3,,,,,0,7,7,18,,,,,2,0,2,0,,,,,down,0.383572058468,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,3,,,,,0,7,7,18,,,,,3,0,3,0,,,,,left,0.4169022602,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,3,,,,,0,7,7,18,,,,,4,0,4,0,,,,,left,0.466918089245,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,3,,,,,0,7,7,18,,,,,5,0,5,0,,,,,down,1.10023810671,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,3,,,,,0,7,7,18,,,,,6,0,6,0,,,,,down,1.06689014171,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
7,1,,,,,0,8,8,6,,,,,0,0,0,0,,,,,left,1.11689807596,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
7,1,,,,,0,8,8,6,,,,,1,0,1,0,,,,,down,0.416893970672,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
7,1,,,,,0,8,8,6,,,,,2,0,2,0,,,,,down,0.450230488241,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,2,,,,,0,9,9,11,,,,,0,0,0,0,,,,,left,1.00025973841,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,2,,,,,0,9,9,11,,,,,1,0,1,0,,,,,down,0.266937668304,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,2,,,,,0,9,9,11,,,,,2,0,2,0,,,,,down,0.250239804082,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,3,,,,,0,10,10,21,,,,,0,0,0,0,,,,,left,1.15023143561,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,3,,,,,0,10,10,21,,,,,1,0,1,0,,,,,down,0.533565466314,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,3,,,,,0,10,10,21,,,,,2,0,2,0,,,,,down,0.40022650137,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,3,,,,,0,10,10,21,,,,,3,0,3,0,,,,,left,1.58357932166,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,3,,,,,0,10,10,21,,,,,4,0,4,0,,,,,down,0.466903483888,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
6,3,,,,,0,10,10,21,,,,,5,0,5,0,,,,,down,0.500232501407,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,3,,,,,0,11,11,16,,,,,0,0,0,0,,,,,left,0.70023384352,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,3,,,,,0,11,11,16,,,,,1,0,1,0,,,,,down,0.966921641892,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,3,,,,,0,11,11,16,,,,,2,0,2,0,,,,,down,0.433572492679,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,3,,,,,0,11,11,16,,,,,3,0,3,0,,,,,left,0.450248251502,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,3,,,,,0,11,11,16,,,,,4,0,4,0,,,,,down,0.283579084826,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,3,,,,,0,11,11,16,,,,,5,0,5,0,,,,,down,0.416914891852,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,1,,,,,0,12,12,4,,,,,0,0,0,0,,,,,down,2.86689274698,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
5,1,,,,,0,12,12,4,,,,,1,0,1,0,,,,,down,0.66689416804,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,2,,,,,0,13,13,10,,,,,0,0,0,0,,,,,down,12.5334288865,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
3,2,,,,,0,13,13,10,,,,,1,0,1,0,,,,,down,3.21669920634,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
8,3,,,,,0,14,14,23,,,,,0,0,0,0,,,,,down,0.650244856741,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
8,3,,,,,0,14,14,23,,,,,1,0,1,0,,,,,down,0.516907470752,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,1,,,,,0,15,15,3,,,,,0,0,0,0,,,,,down,0.500239606714,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
4,1,,,,,0,15,15,3,,,,,1,0,1,0,,,,,down,0.583561953143,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,1,,,,,0,16,16,0,,,,,0,0,0,0,,,,,down,0.483606084985,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
1,1,,,,,0,16,16,0,,,,,1,0,1,0,,,,,down,0.316919549783,BRO,m,24,59.9853192931,Set,2017_05_05_1411,
