number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.36,11.634,0.24,20.472,,,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
,,1,0,1,0,,,,,,,,,,,,,0.36,13.014,0.22,22.451,,,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
,,2,0,2,0,,,,,,,,,,,,,0.52,15.747,0.19,23.68,,,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,0,0,0,0,,,,,down,12.4501080797,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,1,0,1,0,,,,,left,2.03355128219,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,2,0,2,0,,,,,left,2.05022705419,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,3,0,3,0,,,,,down,0.666887983971,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,4,0,4,0,,,,,down,2.93353967686,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,5,0,5,0,,,,,left,0.883578282373,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,6,0,6,0,,,,,right,0.633583019255,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,7,0,7,0,,,,,right,2.03363930911,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,8,0,8,0,,,,,left,1.40022879103,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,9,0,9,0,,,,,down,0.666926668433,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,10,0,10,0,,,,,right,0.717180959677,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,11,0,11,0,,,,,right,0.750215922511,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,12,0,12,0,,,,,right,0.750228554185,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,13,0,13,0,,,,,right,0.783514571434,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,14,0,14,0,,,,,right,1.00022736998,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,15,0,15,0,,,,,down,0.416942063282,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,16,0,16,0,,,,,right,0.866883957642,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,17,0,17,0,,,,,right,0.750232501596,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,18,0,18,0,,,,,right,1.60022121202,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,19,0,19,0,,,,,down,0.833568729693,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,20,0,20,0,,,,,right,0.766909457801,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,21,0,21,0,,,,,right,1.01694024747,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,22,0,22,0,,,,,right,1.18354678215,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,23,0,23,0,,,,,right,0.683546387416,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,24,0,24,0,,,,,down,0.683564940176,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
2,1,,,,,0,0,0,1,,,,,25,0,25,0,,,,,down,0.533571019187,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
7,1,,,,,0,1,1,6,,,,,0,0,0,0,,,,,down,0.616904484079,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
7,1,,,,,0,1,1,6,,,,,1,0,1,0,,,,,left,1.05024876483,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
7,1,,,,,0,1,1,6,,,,,2,0,2,0,,,,,left,1.00022934368,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
7,1,,,,,0,1,1,6,,,,,3,0,3,0,,,,,left,0.616916720988,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
7,1,,,,,0,1,1,6,,,,,4,0,4,0,,,,,down,0.366918299987,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
7,1,,,,,0,1,1,6,,,,,5,0,5,0,,,,,down,0.266928405297,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
5,2,,,,,0,2,2,12,,,,,0,0,0,0,,,,,down,0.650299054658,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
5,2,,,,,0,2,2,12,,,,,1,0,1,0,,,,,left,0.550226659427,ENE,m,19,60.0003315829,Set,2017_04_28_1356,
