number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.05,19.918,0.11,40.584,,,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
,,1,0,1,0,,,,,,,,,,,,,0.08,33.73,0.1,29.73,,,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
,,2,0,2,0,,,,,,,,,,,,,0.02,13.98,0.09,41.999,,,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,0,0,0,0,,,,,down,5.10021047495,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,1,0,1,0,,,,,right,4.51686562839,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,2,0,2,0,,,,,down,3.86685800992,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,3,0,3,0,,,,,left,1.20022910667,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,4,0,4,0,,,,,left,2.11689176015,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,5,0,5,0,,,,,down,1.13356712423,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,6,0,6,0,,,,,left,2.7502319093,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,7,0,7,0,,,,,right,2.0668818522,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,8,0,8,0,,,,,down,1.68354940042,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,9,0,9,0,,,,,down,1.65021485655,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,10,0,10,0,,,,,right,1.78356921635,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,11,0,11,0,,,,,down,0.700267001637,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,12,0,12,0,,,,,down,1.05032451512,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,13,0,13,0,,,,,right,0.966904668108,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,14,0,14,0,,,,,right,1.50024158042,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,15,0,15,0,,,,,down,0.800252080488,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,16,0,16,0,,,,,right,1.05022938296,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,17,0,17,0,,,,,right,0.950232067204,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,18,0,18,0,,,,,down,2.05025148837,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,19,0,19,0,,,,,down,1.48355990049,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,20,0,20,0,,,,,right,1.66698377384,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,21,0,21,0,,,,,down,0.683549005684,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
2,3,,,,,0,0,0,17,,,,,22,0,22,0,,,,,down,1.63356159788,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,0,0,0,0,,,,,right,2.18354387407,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,1,0,1,0,,,,,left,3.18353834772,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,2,0,2,0,,,,,right,0.933531834511,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,3,0,3,0,,,,,down,0.766887931153,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,4,0,4,0,,,,,right,0.76692306294,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,5,0,5,0,,,,,down,0.933565782121,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,6,0,6,0,,,,,right,0.966885325906,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,7,0,7,0,,,,,left,2.10021955395,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,8,0,8,0,,,,,right,0.800238659343,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,9,0,9,0,,,,,down,0.933568545268,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,10,0,10,0,,,,,right,1.10022389609,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
5,3,,,,,0,1,1,20,,,,,11,0,11,0,,,,,down,1.1335588347,EZV,f,19,59.9948372583,Set,2017_05_17_1327,
