number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.18,33.401,0.07,25.784,,,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
,,1,0,1,0,,,,,,,,,,,,,0.24,9.713,0.25,16.914,,,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
,,2,0,2,0,,,,,,,,,,,,,0.24,6.682,0.15,19.097,,,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,0,0,0,0,,,,,right,15.2334831237,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,1,0,1,0,,,,,down,6.16687995743,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,2,0,2,0,,,,,down,0.916896733921,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,3,0,3,0,,,,,right,0.633620413952,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,4,0,4,0,,,,,down,1.43358196632,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,5,0,5,0,,,,,down,0.700238580466,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,6,0,6,0,,,,,right,0.5502499094,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,7,0,7,0,,,,,down,0.600279159495,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,8,0,8,0,,,,,down,0.716926970868,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,9,0,9,0,,,,,right,0.533392570564,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,10,0,10,0,,,,,down,0.51692089194,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,11,0,11,0,,,,,right,0.367465118878,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,12,0,12,0,,,,,down,0.350239882944,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,1,,,,,0,0,0,2,,,,,13,0,13,0,,,,,down,0.383454031427,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,2,,,,,0,1,1,10,,,,,0,0,0,0,,,,,right,1.83355504519,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,2,,,,,0,1,1,10,,,,,1,0,1,0,,,,,down,0.850218172418,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
3,2,,,,,0,1,1,10,,,,,2,0,2,0,,,,,down,0.833547150367,IKA,m,20,59.9782183287,Set,2017_05_22_1634,
