number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.16,36.768,1.0,6.334,,,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
,,1,0,1,0,,,,,,,,,,,,,0.1,10.948,0.56,21.685,,,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
,,2,0,2,0,,,,,,,,,,,,,0.43,19.072,0.54,15.647,,,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,1,,,,,0,0,0,1,,,,,0,0,0,0,,,,,down,9.17537592992,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,1,,,,,0,0,0,1,,,,,1,0,1,0,,,,,down,1.44213596557,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
5,3,,,,,0,1,1,20,,,,,0,0,0,0,,,,,left,4.54204999135,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
5,3,,,,,0,1,1,20,,,,,1,0,1,0,,,,,down,1.54213012342,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
5,3,,,,,0,1,1,20,,,,,2,0,2,0,,,,,down,0.642164544697,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,0,0,0,0,,,,,left,2.10877118469,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,1,0,1,0,,,,,down,0.725305705797,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,2,0,2,0,,,,,left,1.02547686471,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,3,0,3,0,,,,,left,0.458780145244,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,4,0,4,0,,,,,left,1.80877963209,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,5,0,5,0,,,,,left,0.492119425995,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,6,0,6,0,,,,,left,0.392130004999,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,7,0,7,0,,,,,left,0.925458627782,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,8,0,8,0,,,,,down,0.392137505056,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
2,2,,,,,0,2,2,9,,,,,9,0,9,0,,,,,down,0.842144570895,KLE,f,21,60.0174367562,Set,2017_05_17_1645,
