number_of_fixational_trials,size,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
1,"[2.6, 2.6]",0,0,0,0,,,,,0,0,0,0,down,8.05866215085,AS,m,26,60.0029843747,Set,2017_03_17_1557,
1,"[2.6, 2.6]",0,0,0,0,,,,,1,0,1,0,down,0.79211114269,AS,m,26,60.0029843747,Set,2017_03_17_1557,
10,"[2.67, 2.67]",0,1,1,39,,,,,0,0,0,0,down,7.27540144948,AS,m,26,60.0029843747,Set,2017_03_17_1557,
10,"[2.67, 2.67]",0,1,1,39,,,,,1,0,1,0,down,1.17528144885,AS,m,26,60.0029843747,Set,2017_03_17_1557,
3,"[2.67, 2.67]",0,2,2,32,,,,,0,0,0,0,down,2.83364122969,AS,m,26,60.0029843747,Set,2017_03_17_1557,
3,"[2.67, 2.67]",0,2,2,32,,,,,1,0,1,0,left,1.35874465129,AS,m,26,60.0029843747,Set,2017_03_17_1557,
3,"[2.67, 2.67]",0,2,2,32,,,,,2,0,2,0,down,1.39213522176,AS,m,26,60.0029843747,Set,2017_03_17_1557,
3,"[2.67, 2.67]",0,2,2,32,,,,,3,0,3,0,down,1.30005565819,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,0,0,0,0,down,1.12541842325,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,1,0,1,0,down,1.12527671198,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,2,0,2,0,right,1.55886425718,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,3,0,3,0,down,0.808855572924,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,4,0,4,0,right,0.708831888589,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,5,0,5,0,down,0.558769125101,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,6,0,6,0,down,4.46696785246,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,7,0,7,0,right,1.40878491466,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,8,0,8,0,right,0.575438160201,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,9,0,9,0,down,0.616898773151,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,10,0,10,0,down,0.540792714698,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,11,0,11,0,right,0.583578466202,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,12,0,12,0,left,0.808814520076,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,13,0,13,0,down,0.733453333965,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,14,0,14,0,right,0.700228553835,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,15,0,15,0,down,0.983546097611,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,16,0,16,0,down,0.508790441002,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,17,0,17,0,right,0.558766361928,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,18,0,18,0,left,0.683596624193,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,19,0,19,0,right,0.725582634645,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,20,0,20,0,down,0.392198379991,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,21,0,21,0,down,0.52551868694,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,22,0,22,0,right,0.525272764593,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,23,0,23,0,right,0.458792414697,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,24,0,24,0,down,0.708820835899,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.63, 2.63]",0,3,3,25,,,,,25,0,25,0,down,0.392150616582,AS,m,26,60.0029843747,Set,2017_03_17_1557,
3,"[2.6, 2.6]",0,4,4,2,,,,,0,0,0,0,left,0.450284606761,AS,m,26,60.0029843747,Set,2017_03_17_1557,
3,"[2.6, 2.6]",0,4,4,2,,,,,1,0,1,0,down,0.592146274454,AS,m,26,60.0029843747,Set,2017_03_17_1557,
3,"[2.6, 2.6]",0,4,4,2,,,,,2,0,2,0,down,0.55881688851,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.7, 2.7]",0,5,5,15,,,,,0,0,0,0,down,1.13355793978,AS,m,26,60.0029843747,Set,2017_03_17_1557,
6,"[2.7, 2.7]",0,5,5,15,,,,,1,0,1,0,down,0.783588334675,AS,m,26,60.0029843747,Set,2017_03_17_1557,
1,"[2.63, 2.63]",0,6,6,20,,,,,0,0,0,0,left,0.792137984937,AS,m,26,60.0029843747,Set,2017_03_17_1557,
