"","answer.keys","n","size","trials_3.thisRepN","participant"
"1","down",5,3,1,"AS"
"2","down",6,1,1,"AS"
"3","down",5,4,1,"AS"
"4","right",4,3,1,"AS"
"5","right",3,3,1,"AS"
"6","down",4,1,1,"AS"
"7","down",3,4,1,"AS"
"8","down",1,1,1,"AS"
"9","down",3,5,1,"AS"
"10","down",1,2,1,"AS"
"11","down",2,4,1,"AS"
"12","down",4,4,1,"AS"
"13","down",2,3,1,"AS"
"14","down",4,2,1,"AS"
"15","down",6,5,1,"AS"
"16","down",5,5,1,"AS"
"17","down",2,5,1,"AS"
"18","down",4,5,1,"AS"
"19","down",5,1,1,"AS"
"20","down",2,1,1,"AS"
"21","down",3,2,1,"AS"
"22","down",5,2,1,"AS"
"23","down",6,2,1,"AS"
"24","down",6,4,1,"AS"
"25","down",1,3,1,"AS"
"26","down",6,3,1,"AS"
"27","down",2,2,1,"AS"
"28","down",1,4,1,"AS"
"29","down",1,5,1,"AS"
"30","down",3,1,1,"AS"
"31","down",1,5,1,"AVD"
"32","right",2,4,1,"AVD"
"33","right",1,2,1,"AVD"
"34","right",2,1,1,"AVD"
"35","right",5,3,1,"AVD"
"36","right",4,1,1,"AVD"
"37","right",5,5,1,"AVD"
"38","down",6,4,1,"AVD"
"39","right",6,5,1,"AVD"
"40","right",4,4,1,"AVD"
"41","down",4,3,1,"AVD"
"42","right",2,5,1,"AVD"
"43","down",5,1,1,"AVD"
"44","down",3,1,1,"AVD"
"45","down",1,4,1,"AVD"
"46","down",4,2,1,"AVD"
"47","down",5,4,1,"AVD"
"48","down",1,1,1,"AVD"
"49","down",2,2,1,"AVD"
"50","right",3,5,1,"AVD"
"51","down",6,1,1,"AVD"
"52","down",2,3,1,"AVD"
"53","right",3,3,1,"AVD"
"54","down",3,4,1,"AVD"
"55","down",1,3,1,"AVD"
"56","right",6,3,1,"AVD"
"57","down",6,2,1,"AVD"
"58","down",5,2,1,"AVD"
"59","down",3,2,1,"AVD"
"60","down",4,5,1,"AVD"
"61","left",6,3,1,"Dim"
"62","down",2,2,1,"Dim"
"63","left",3,4,1,"Dim"
"64","left",6,4,1,"Dim"
"65","left",4,5,1,"Dim"
"66","left",5,2,1,"Dim"
"67","down",4,2,1,"Dim"
"68","left",6,2,1,"Dim"
"69","left",3,3,1,"Dim"
"70","left",5,5,1,"Dim"
"71","down",6,1,1,"Dim"
"72","down",3,2,1,"Dim"
"73","down",5,3,1,"Dim"
"74","left",2,5,1,"Dim"
"75","down",4,1,1,"Dim"
"76","down",1,3,1,"Dim"
"77","down",4,4,1,"Dim"
"78","down",3,1,1,"Dim"
"79","down",4,3,1,"Dim"
"80","left",5,4,1,"Dim"
"81","down",2,3,1,"Dim"
"82","left",6,5,1,"Dim"
"83","down",1,4,1,"Dim"
"84","down",1,5,1,"Dim"
"85","left",1,1,1,"Dim"
"86","left",2,4,1,"Dim"
"87","down",2,1,1,"Dim"
"88","down",1,2,1,"Dim"
"89","down",3,5,1,"Dim"
"90","down",5,1,1,"Dim"
"91","down",1,5,1,"EU"
"92","down",2,2,1,"EU"
"93","right",4,1,1,"EU"
"94","right",6,4,1,"EU"
"95","left",3,4,1,"EU"
"96","down",5,1,1,"EU"
"97","left",2,5,1,"EU"
"98","left",2,3,1,"EU"
"99","down",6,2,1,"EU"
"100","down",4,4,1,"EU"
"101","left",3,2,1,"EU"
