size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",2,0,0,0,25,,,,,0,0,0,0,down,4.45875488195,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",2,0,0,0,25,,,,,1,0,1,0,down,3.62541457487,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",5,0,1,1,28,,,,,0,0,0,0,left,4.94207635993,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",5,0,1,1,28,,,,,1,0,1,0,down,1.55879127688,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",5,0,1,1,28,,,,,2,0,2,0,down,0.692093136342,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",3,0,2,2,14,,,,,0,0,0,0,left,0.7921212418,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",3,0,2,2,14,,,,,1,0,1,0,left,0.892136715556,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",3,0,2,2,14,,,,,2,0,2,0,right,0.475464193616,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",3,0,2,2,14,,,,,3,0,3,0,down,0.642127044441,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",3,0,2,2,14,,,,,4,0,4,0,down,0.525472917332,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",3,0,3,3,20,,,,,0,0,0,0,down,0.875521746551,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",3,0,3,3,20,,,,,1,0,1,0,down,0.525463443599,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",5,0,4,4,16,,,,,0,0,0,0,down,0.808789895324,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",5,0,4,4,16,,,,,1,0,1,0,down,0.508805448044,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",5,0,4,4,16,,,,,2,0,2,0,left,0.642127439176,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",5,0,4,4,16,,,,,3,0,3,0,down,0.542117491772,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",5,0,4,4,16,,,,,4,0,4,0,down,0.442165571003,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",6,0,5,5,17,,,,,0,0,0,0,down,0.750230330334,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.8, 2.8]",6,0,5,5,17,,,,,1,0,1,0,down,0.492127715494,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",6,0,6,6,23,,,,,0,0,0,0,left,1.00024236989,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",6,0,6,6,23,,,,,1,0,1,0,down,0.5088713695,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",6,0,6,6,23,,,,,2,0,2,0,left,0.458779750508,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",6,0,6,6,23,,,,,3,0,3,0,down,0.458797513769,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",6,0,6,6,23,,,,,4,0,4,0,down,0.508771895198,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.6, 2.6]",1,0,7,7,0,,,,,0,0,0,0,down,2.22542925918,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.6, 2.6]",1,0,7,7,0,,,,,1,0,1,0,left,0.658689907868,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.6, 2.6]",1,0,7,7,0,,,,,2,0,2,0,down,0.716897365433,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.6, 2.6]",1,0,7,7,0,,,,,3,0,3,0,down,0.450232856674,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",3,0,8,8,26,,,,,0,0,0,0,left,1.30879384271,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",3,0,8,8,26,,,,,1,0,1,0,down,0.575412166945,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",3,0,8,8,26,,,,,2,0,2,0,down,0.558853645693,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.7, 2.7]",6,0,9,9,11,,,,,0,0,0,0,left,0.658781092614,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.7, 2.7]",6,0,9,9,11,,,,,1,0,1,0,down,0.942103596928,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.7, 2.7]",6,0,9,9,11,,,,,2,0,2,0,down,0.508777026815,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,0,0,0,0,left,0.875434903952,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,1,0,1,0,left,0.483585953276,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,2,0,2,0,down,0.625488391117,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,3,0,3,0,left,0.55879877694,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,4,0,4,0,down,0.642176386842,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,5,0,5,0,left,0.725446232973,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,6,0,6,0,right,0.492142320873,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,7,0,7,0,down,0.575470983109,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",5,0,10,10,22,,,,,8,0,8,0,down,0.392111057532,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,0,0,0,0,right,2.75028480435,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,1,0,1,0,left,0.808785158413,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,2,0,2,0,left,1.05879601379,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,3,0,3,0,left,0.542100912717,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,4,0,4,0,left,0.542159334145,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,5,0,5,0,down,0.825539470359,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,6,0,6,0,left,1.3920897416,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,7,0,7,0,down,0.742120018083,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,8,0,8,0,down,1.57545400932,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,9,0,9,0,left,0.842122070724,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,10,0,10,0,down,0.542116307566,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[3.0, 3.0]",4,0,11,11,27,,,,,11,0,11,0,down,0.408789579495,AD,m,19,59.9765143168,Set,2017_12_15_1917,
"[2.9, 2.9]",2,0,12,12,19,,,,,0,0,0,0,left,0.608803553274,AD,m,19,59.9765143168,Set,2017_12_15_1917,
