size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",4,0,0,0,9,,,,,0,0,0,0,right,0.108847764088,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,1,0,1,0,down,4.28352658451,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,2,0,2,0,right,0.258790250518,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,3,0,3,0,right,1.19224116358,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,4,0,4,0,right,0.342141807778,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,5,0,5,0,right,0.192140505067,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,6,0,6,0,right,0.17544303555,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,7,0,7,0,right,0.208809158532,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,8,0,8,0,right,0.158806750667,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,9,0,9,0,right,0.358812829596,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,10,0,10,0,right,0.19210971531,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,11,0,11,0,right,0.158809513785,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,12,0,12,0,right,0.0754919042811,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,13,0,13,0,right,0.158817803371,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,14,0,14,0,right,0.125520364963,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,15,0,15,0,right,0.158762934618,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,16,0,16,0,right,0.125558654661,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,17,0,17,0,right,0.116988471244,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,18,0,18,0,right,0.108886448434,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,19,0,19,0,right,0.125493917498,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,20,0,20,0,right,0.158790566376,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,21,0,21,0,right,0.116934391903,AK,m,18,60.0060638021,Set,2017_12_20_1623,
"[2.7, 2.7]",4,0,0,0,9,,,,,22,0,22,0,right,0.183711243444,AK,m,18,60.0060638021,Set,2017_12_20_1623,
