size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",4,0,0,0,27,,,,,0,0,0,0,right,3.25023783039,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",4,0,0,0,27,,,,,1,0,1,0,down,0.900215053931,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",4,0,0,0,27,,,,,2,0,2,0,down,0.466899536492,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.8, 2.8]",6,0,1,1,17,,,,,0,0,0,0,right,1.23355417675,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.8, 2.8]",6,0,1,1,17,,,,,1,0,1,0,down,0.700229106646,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.8, 2.8]",6,0,1,1,17,,,,,2,0,2,0,down,0.533548887295,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",6,0,2,2,11,,,,,0,0,0,0,down,1.13353909773,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",6,0,2,2,11,,,,,1,0,1,0,down,0.600251922559,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.8, 2.8]",3,0,3,3,14,,,,,0,0,0,0,down,5.58352168975,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.8, 2.8]",3,0,3,3,14,,,,,1,0,1,0,down,0.833562939952,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",2,0,4,4,1,,,,,0,0,0,0,down,0.533554808411,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",2,0,4,4,1,,,,,1,0,1,0,down,0.750216514454,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.8, 2.8]",1,0,5,5,12,,,,,0,0,0,0,down,0.600251133088,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.8, 2.8]",1,0,5,5,12,,,,,1,0,1,0,down,0.716891444346,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",3,0,6,6,8,,,,,0,0,0,0,down,0.466895589081,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",3,0,6,6,8,,,,,1,0,1,0,down,0.850253698882,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",1,0,7,7,24,,,,,0,0,0,0,down,0.566909089161,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",1,0,7,7,24,,,,,1,0,1,0,down,0.500230132951,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",5,0,8,8,28,,,,,0,0,0,0,down,0.533576518996,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",5,0,8,8,28,,,,,1,0,1,0,down,0.816891128605,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",1,0,9,9,0,,,,,0,0,0,0,down,0.566900010162,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",1,0,9,9,0,,,,,1,0,1,0,down,0.433552360977,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",4,0,10,10,3,,,,,0,0,0,0,down,0.500235264597,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",4,0,10,10,3,,,,,1,0,1,0,down,0.516892865417,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",2,0,11,11,7,,,,,0,0,0,0,down,0.433571308502,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",2,0,11,11,7,,,,,1,0,1,0,down,0.316897444427,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.9, 2.9]",3,0,12,12,20,,,,,0,0,0,0,down,0.233573519043,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.9, 2.9]",3,0,12,12,20,,,,,1,0,1,0,down,0.0669071155135,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.9, 2.9]",5,0,13,13,22,,,,,0,0,0,0,down,0.46692637878,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.9, 2.9]",5,0,13,13,22,,,,,1,0,1,0,down,0.400244659395,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",3,0,14,14,26,,,,,0,0,0,0,down,0.116904391791,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[3.0, 3.0]",3,0,14,14,26,,,,,1,0,1,0,down,0.533560334705,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",6,0,15,15,5,,,,,0,0,0,0,down,0.76689464174,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.6, 2.6]",6,0,15,15,5,,,,,1,0,1,0,down,0.51688931277,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",5,0,16,16,10,,,,,0,0,0,0,down,0.566896457516,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
"[2.7, 2.7]",5,0,16,16,10,,,,,1,0,1,0,down,0.516911418177,AGR,m,30,60.0207072528,Set,2017_12_18_1429,
