size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",5,0,0,0,10,,,,,0,0,0,0,right,9.72537833778,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.7, 2.7]",5,0,0,0,10,,,,,1,0,1,0,right,1.37543806178,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.7, 2.7]",5,0,0,0,10,,,,,2,0,2,0,down,0.925299153081,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.7, 2.7]",5,0,0,0,10,,,,,3,0,3,0,left,2.24212357064,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.7, 2.7]",5,0,0,0,10,,,,,4,0,4,0,down,0.908803000581,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.7, 2.7]",5,0,0,0,10,,,,,5,0,5,0,down,0.958832250792,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",4,0,1,1,21,,,,,0,0,0,0,right,0.933563413681,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",4,0,1,1,21,,,,,1,0,1,0,down,1.45877501357,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",4,0,1,1,21,,,,,2,0,2,0,left,1.87548898323,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",4,0,1,1,21,,,,,3,0,3,0,down,0.8255134176,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",4,0,1,1,21,,,,,4,0,4,0,down,0.575436245999,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",2,0,2,2,25,,,,,0,0,0,0,right,1.11684281251,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",2,0,2,2,25,,,,,1,0,1,0,left,1.5254342329,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",2,0,2,2,25,,,,,2,0,2,0,down,0.60879723751,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",2,0,2,2,25,,,,,3,0,3,0,down,0.758779197931,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",2,0,3,3,19,,,,,0,0,0,0,right,0.375502009643,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",2,0,3,3,19,,,,,1,0,1,0,down,1.54209104425,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",2,0,3,3,19,,,,,2,0,2,0,right,0.942159649916,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",2,0,3,3,19,,,,,3,0,3,0,left,0.758788276929,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",2,0,3,3,19,,,,,4,0,4,0,left,1.15877911891,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",2,0,3,3,19,,,,,5,0,5,0,down,0.708828895586,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.9, 2.9]",2,0,3,3,19,,,,,6,0,6,0,down,0.775451798807,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,0,0,0,0,right,0.450249435613,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,1,0,1,0,left,0.95879119786,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,2,0,2,0,left,0.708807974355,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,3,0,3,0,left,0.908777737408,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,4,0,4,0,left,0.558648381266,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,5,0,5,0,down,0.442122149747,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,6,0,6,0,left,0.658792145317,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,7,0,7,0,left,1.00884334301,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,8,0,8,0,down,0.542131702299,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,9,0,9,0,left,0.70878902683,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,10,0,10,0,down,0.67546000937,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,11,0,11,0,left,1.27547035157,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,12,0,12,0,left,0.808791079558,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,13,0,13,0,left,1.66689061536,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,14,0,14,0,left,0.575452430407,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,15,0,15,0,left,0.54214196559,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,16,0,16,0,left,0.9754815622,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,17,0,17,0,left,0.583579321741,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,18,0,18,0,left,0.52547607536,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,19,0,19,0,left,0.425461390987,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,20,0,20,0,left,0.425464943633,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,21,0,21,0,left,0.942142676096,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,22,0,22,0,left,0.575478877989,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,23,0,23,0,left,0.375554509927,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,24,0,24,0,left,0.442126491806,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,25,0,25,0,left,0.175187244546,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,26,0,26,0,left,0.358735855436,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,27,0,27,0,down,1.62544654869,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,28,0,28,0,left,0.342135097133,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,29,0,29,0,left,0.500243554125,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,30,0,30,0,left,0.558769960888,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,31,0,31,0,left,0.458780934685,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,32,0,32,0,left,0.383610348101,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,33,0,33,0,left,0.358842829824,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,34,0,34,0,left,0.908769053058,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,35,0,35,0,left,0.908640368027,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,36,0,36,0,left,0.492139952374,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,37,0,37,0,left,0.392128820764,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,38,0,38,0,left,1.07546782529,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,39,0,39,0,left,0.442122939159,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,40,0,40,0,left,0.525483180536,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,41,0,41,0,left,1.57548835163,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,42,0,42,0,left,0.491954030236,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,43,0,43,0,left,0.842120097019,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,44,0,44,0,down,0.842114965431,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[2.8, 2.8]",5,0,4,4,16,,,,,45,0,45,0,down,0.875428193365,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,0,0,0,0,right,1.70877600054,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,1,0,1,0,left,0.692110110074,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,2,0,2,0,down,1.5754615094,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,3,0,3,0,left,0.758790250518,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,4,0,4,0,left,0.608792895335,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,5,0,5,0,left,0.875446351478,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,6,0,6,0,left,0.64215546567,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,7,0,7,0,down,0.675515667535,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,8,0,8,0,down,1.042145913,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,9,0,9,0,left,0.792120847153,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,10,0,10,0,left,0.758738539764,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,11,0,11,0,left,0.758763803053,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,12,0,12,0,left,0.775422982755,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,13,0,13,0,down,0.892113031237,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,14,0,14,0,left,0.55876364524,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,15,0,15,0,left,0.525472127832,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,16,0,16,0,left,0.708820606,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,17,0,17,0,left,0.492144689313,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
"[3.0, 3.0]",3,0,5,5,26,,,,,18,0,18,0,left,0.592164505157,CHNA,f,22,59.9941268445,Set,2017_12_21_1754,
