size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",2,0,0,0,7,,,,,0,0,0,0,down,3.24214291293,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.7, 2.7]",2,0,0,0,7,,,,,1,0,1,0,down,2.90880063223,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.6, 2.6]",5,0,1,1,4,,,,,0,0,0,0,down,1.29228703224,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.6, 2.6]",5,0,1,1,4,,,,,1,0,1,0,down,1.058788119,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.6, 2.6]",5,0,1,1,4,,,,,2,0,2,0,left,4.05875614507,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.6, 2.6]",5,0,1,1,4,,,,,3,0,3,0,down,1.29210782063,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.6, 2.6]",5,0,1,1,4,,,,,4,0,4,0,down,0.775475877803,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.8, 2.8]",6,0,2,2,17,,,,,0,0,0,0,down,1.72545925935,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.8, 2.8]",6,0,2,2,17,,,,,1,0,1,0,down,0.908776158467,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[3.0, 3.0]",4,0,3,3,27,,,,,0,0,0,0,down,0.900247817277,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[3.0, 3.0]",4,0,3,3,27,,,,,1,0,1,0,left,1.99209968909,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[3.0, 3.0]",4,0,3,3,27,,,,,2,0,2,0,down,0.675394877326,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[3.0, 3.0]",4,0,3,3,27,,,,,3,0,3,0,down,0.642121123383,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.9, 2.9]",4,0,4,4,21,,,,,0,0,0,0,down,1.17543632502,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.9, 2.9]",4,0,4,4,21,,,,,1,0,1,0,down,0.908774184645,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.9, 2.9]",6,0,5,5,23,,,,,0,0,0,0,down,1.02546699625,MK,f,21,60.007058784,Set,2017_12_21_1727,
"[2.9, 2.9]",6,0,5,5,23,,,,,1,0,1,0,down,0.625414180104,MK,f,21,60.007058784,Set,2017_12_21_1727,
