size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",2,0,0,0,7,,,,,0,0,0,0,down,9.72537320621,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,1,0,1,0,right,3.76696924744,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,2,0,2,0,right,1.37542819338,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,3,0,3,0,right,3.49209850481,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,4,0,4,0,right,0.542127754976,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,5,0,5,0,down,1.04212341286,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,6,0,6,0,right,0.583593927018,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,7,0,7,0,right,0.466971379035,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,8,0,8,0,right,0.442142676126,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,9,0,9,0,down,1.05881259282,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,10,0,10,0,right,0.59210292589,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,11,0,11,0,right,0.84198983309,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,12,0,12,0,left,0.875495693792,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,13,0,13,0,right,0.725469127836,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,14,0,14,0,down,0.79211729439,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,15,0,15,0,left,1.37538240364,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,16,0,16,0,right,0.508812158601,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,17,0,17,0,right,0.342007991101,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,18,0,18,0,right,0.475444851385,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,19,0,19,0,right,0.441965832943,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,20,0,20,0,down,1.00877584259,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,21,0,21,0,right,0.542191308006,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,22,0,22,0,right,0.642146386672,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,23,0,23,0,down,0.625508522819,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,24,0,24,0,down,0.658788987406,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,25,0,25,0,left,0.591959635552,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,26,0,26,0,right,1.44197214878,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,27,0,27,0,right,0.54215617622,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,28,0,28,0,right,0.558865093131,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,29,0,29,0,down,0.725518864987,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,30,0,30,0,right,0.283573163731,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,31,0,31,0,left,0.59213292606,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,32,0,32,0,right,0.65032577829,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,33,0,33,0,down,0.60879329007,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,34,0,34,0,right,0.433572097943,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,35,0,35,0,right,0.375445956655,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,36,0,36,0,down,0.616993997581,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,37,0,37,0,right,0.84211101805,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
"[2.7, 2.7]",2,0,0,0,7,,,,,38,0,38,0,right,0.692099057444,PVA,m,18,60.0012316132,Set,2017_12_14_2037,
