size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",4,0,0,0,27,,,,,0,0,0,0,right,13.4086620788,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,1,0,1,0,down,2.75875590826,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,2,0,2,0,right,1.17547224628,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,3,0,3,0,down,0.758793803223,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,4,0,4,0,right,2.25878630317,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,5,0,5,0,right,0.458874882665,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,6,0,6,0,right,0.542153413029,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,7,0,7,0,down,0.708821395499,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,8,0,8,0,right,0.40877457941,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,9,0,9,0,down,0.525470548921,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,10,0,10,0,right,0.37544319345,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,11,0,11,0,down,0.392141452437,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,12,0,12,0,right,0.392095662683,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,13,0,13,0,right,1.07544848297,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,14,0,14,0,down,0.342103517993,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,15,0,15,0,down,0.475450377737,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,16,0,16,0,right,0.342128386546,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,17,0,17,0,down,0.342128781282,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,18,0,18,0,down,1.12545286457,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,19,0,19,0,right,0.342119702313,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,20,0,20,0,down,0.492129294464,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,21,0,21,0,right,1.95875527669,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,22,0,22,0,down,0.516896023299,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[3.0, 3.0]",4,0,0,0,27,,,,,23,0,23,0,down,0.733522597642,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.9, 2.9]",3,0,1,1,20,,,,,0,0,0,0,down,0.475464588351,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.9, 2.9]",3,0,1,1,20,,,,,1,0,1,0,down,0.40876155303,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.9, 2.9]",3,0,1,1,20,,,,,2,0,2,0,right,0.37547319365,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.9, 2.9]",3,0,1,1,20,,,,,3,0,3,0,down,0.358815987565,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.9, 2.9]",3,0,1,1,20,,,,,4,0,4,0,right,0.325449075084,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.9, 2.9]",3,0,1,1,20,,,,,5,0,5,0,down,0.492111925938,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.9, 2.9]",3,0,1,1,20,,,,,6,0,6,0,down,0.375505167525,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.7, 2.7]",2,0,2,2,7,,,,,0,0,0,0,down,0.425457838282,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.7, 2.7]",2,0,2,2,7,,,,,1,0,1,0,down,1.09211555755,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.8, 2.8]",3,0,3,3,14,,,,,0,0,0,0,down,1.20024923835,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.8, 2.8]",3,0,3,3,14,,,,,1,0,1,0,down,0.592130162899,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.8, 2.8]",3,0,3,3,14,,,,,2,0,2,0,left,0.792118478596,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.8, 2.8]",3,0,3,3,14,,,,,3,0,3,0,right,0.54212814974,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.8, 2.8]",3,0,3,3,14,,,,,4,0,4,0,right,0.475453535648,DG,m,20,59.9887283673,Set,2017_12_15_1659,
"[2.8, 2.8]",3,0,3,3,14,,,,,5,0,5,0,left,1.02545199616,DG,m,20,59.9887283673,Set,2017_12_15_1659,
