size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",6,0,0,0,23,,,,,0,0,0,0,left,0.742118439171,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,1,0,1,0,left,1.25880288228,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,2,0,2,0,left,0.442107544397,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,3,0,3,0,left,0.392154873582,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,4,0,4,0,left,0.450238383026,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,5,0,5,0,left,0.475456693559,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,6,0,6,0,left,0.642123097088,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,7,0,7,0,left,0.425467312103,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,8,0,8,0,left,0.958773829509,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,9,0,9,0,left,0.408774974174,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,10,0,10,0,left,0.292118873447,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,11,0,11,0,left,0.325464469963,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,12,0,12,0,left,0.258743671351,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,13,0,13,0,left,0.258782750461,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,14,0,14,0,left,0.375300692627,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,15,0,15,0,left,0.392131583998,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,16,0,16,0,left,0.308796605794,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,17,0,17,0,left,0.225512549165,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,18,0,18,0,left,0.25877761899,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,19,0,19,0,left,1.49212376808,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,20,0,20,0,left,0.242140149814,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,21,0,21,0,left,0.292148478795,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,22,0,22,0,left,0.192097873311,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,23,0,23,0,left,0.292136241915,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,24,0,24,0,left,0.458784882212,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,25,0,25,0,left,0.192111294367,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,26,0,26,0,right,0.225460048881,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,27,0,27,0,left,0.2088438957,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,28,0,28,0,left,0.392122505,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,29,0,29,0,right,0.358806119068,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,30,0,30,0,left,0.275470351567,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,31,0,31,0,left,0.2921796632,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,32,0,32,0,left,0.242133439169,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,33,0,33,0,left,0.275449824985,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,34,0,34,0,left,0.142117965501,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,35,0,35,0,left,0.14214322879,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,36,0,36,0,right,0.142145202379,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,37,0,37,0,left,0.158824119135,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,38,0,38,0,right,0.516903128708,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,39,0,39,0,right,0.19213063654,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,40,0,40,0,right,0.208774421597,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,41,0,41,0,left,0.225504259579,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,42,0,42,0,left,0.242155939341,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,43,0,43,0,left,0.342259439989,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,44,0,44,0,left,0.392147768289,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,45,0,45,0,right,0.242127123405,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,46,0,46,0,left,0.242133044521,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,47,0,47,0,right,0.425471259514,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,48,0,48,0,left,0.442120570689,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,49,0,49,0,right,0.225464785704,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,50,0,50,0,left,0.375475956826,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,51,0,51,0,left,0.392122899764,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,52,0,52,0,left,0.258787092636,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,53,0,53,0,right,0.175504614948,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,54,0,54,0,left,0.208788237418,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,55,0,55,0,right,0.175454483018,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,56,0,56,0,left,0.208789816359,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,57,0,57,0,left,0.392103162711,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,58,0,58,0,left,0.308855422074,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,59,0,59,0,right,0.425457048812,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,60,0,60,0,right,1.10876328999,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,61,0,61,0,left,0.575437035528,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,62,0,62,0,left,0.625456417212,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,63,0,63,0,right,0.358784013661,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,64,0,64,0,right,0.342068781029,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,65,0,65,0,left,0.408787605818,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,66,0,66,0,right,0.308794632205,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,67,0,67,0,left,0.491955214529,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,68,0,68,0,right,0.292118478566,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,69,0,69,0,right,0.425464154105,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,70,0,70,0,left,0.308781211032,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,71,0,71,0,right,0.308775684796,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,72,0,72,0,right,0.308622131124,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,73,0,73,0,right,0.258927225135,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,74,0,74,0,right,0.38362732192,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,75,0,75,0,left,0.358804934891,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,76,0,76,0,left,0.325468812021,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,77,0,77,0,left,0.342210492236,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,78,0,78,0,left,0.708792974241,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,79,0,79,0,left,0.492124162847,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,80,0,80,0,right,0.358779276721,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,81,0,81,0,left,0.375466483179,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,82,0,82,0,left,0.508791237487,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,83,0,83,0,left,0.442122939159,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,84,0,84,0,left,0.392113031237,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,85,0,85,0,left,0.392134347116,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,86,0,86,0,left,0.642097439035,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,87,0,87,0,left,0.558778250474,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,88,0,88,0,left,0.408779316233,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,89,0,89,0,left,0.49211666279,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,90,0,90,0,left,0.408819184988,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,91,0,91,0,left,0.69212668913,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,92,0,92,0,right,0.325592365465,DN,m,27,59.988302206,Set,2017_12_20_1935,
"[2.9, 2.9]",6,0,0,0,23,,,,,93,0,93,0,right,0.24212041276,DN,m,27,59.988302206,Set,2017_12_20_1935,
