size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",1,0,0,0,12,,,,,0,0,0,0,down,2.05022740923,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.8, 2.8]",1,0,0,0,12,,,,,1,0,1,0,down,0.816896260192,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.7, 2.7]",3,0,1,1,8,,,,,0,0,0,0,right,1.91688686539,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.7, 2.7]",3,0,1,1,8,,,,,1,0,1,0,down,2.28354908462,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.7, 2.7]",3,0,1,1,8,,,,,2,0,2,0,down,6.66683614138,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.6, 2.6]",5,0,2,2,4,,,,,0,0,0,0,down,1.33356609789,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.6, 2.6]",5,0,2,2,4,,,,,1,0,1,0,down,1.3502122513,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.7, 2.7]",4,0,3,3,9,,,,,0,0,0,0,down,0.900265975273,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.7, 2.7]",4,0,3,3,9,,,,,1,0,1,0,down,0.950229698792,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.8, 2.8]",6,0,4,4,17,,,,,0,0,0,0,down,0.816917181306,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.8, 2.8]",6,0,4,4,17,,,,,1,0,1,0,down,1.0335694137,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.7, 2.7]",2,0,5,5,7,,,,,0,0,0,0,down,1.08357063739,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.7, 2.7]",2,0,5,5,7,,,,,1,0,1,0,down,0.783591321728,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",3,0,6,6,20,,,,,0,0,0,0,down,0.683579795354,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",3,0,6,6,20,,,,,1,0,1,0,down,0.63356199261,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.6, 2.6]",3,0,7,7,2,,,,,0,0,0,0,down,0.733529308171,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.6, 2.6]",3,0,7,7,2,,,,,1,0,1,0,down,0.650244856777,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",1,0,8,8,18,,,,,0,0,0,0,down,0.850228040828,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",1,0,8,8,18,,,,,1,0,1,0,down,0.950249041023,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.8, 2.8]",5,0,9,9,16,,,,,0,0,0,0,down,0.700212132826,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.8, 2.8]",5,0,9,9,16,,,,,1,0,1,0,down,0.783561321557,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.6, 2.6]",4,0,10,10,3,,,,,0,0,0,0,down,1.65023933043,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.6, 2.6]",4,0,10,10,3,,,,,1,0,1,0,down,0.483583584835,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.8, 2.8]",2,0,11,11,13,,,,,0,0,0,0,down,0.716867365234,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.8, 2.8]",2,0,11,11,13,,,,,1,0,1,0,down,2.71687526006,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",5,0,12,12,22,,,,,0,0,0,0,down,2.20021844871,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",5,0,12,12,22,,,,,1,0,1,0,down,1.01690233912,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",6,0,13,13,23,,,,,0,0,0,0,down,0.650172619498,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",6,0,13,13,23,,,,,1,0,1,0,down,0.766895825916,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",6,0,13,13,23,,,,,2,0,2,0,left,2.45021114603,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
"[2.9, 2.9]",6,0,13,13,23,,,,,3,0,3,0,down,0.616872023151,PAV,f,20,59.9843250478,Set,2017_12_18_1639,
