size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",5,0,0,0,10,,,,,0,0,0,0,right,17.6920386623,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,1,0,1,0,right,4.03355243991,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,2,0,2,0,right,3.77552561501,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,3,0,3,0,right,4.40880734278,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,4,0,4,0,right,2.32544986457,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,5,0,5,0,right,3.95878053999,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,6,0,6,0,right,3.92544520665,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,7,0,7,0,right,5.84211220226,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,8,0,8,0,down,2.2754490356,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",5,0,0,0,10,,,,,9,0,9,0,down,1.35878282948,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,0,0,0,0,right,3.7587673557,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,1,0,1,0,right,3.35875164506,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,2,0,2,0,right,2.09216174204,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,3,0,3,0,right,1.14214243929,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,4,0,4,0,right,1.10877986894,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,5,0,5,0,right,1.09212266286,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,6,0,6,0,down,0.975455114603,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.6, 2.6]",1,0,1,1,0,,,,,7,0,7,0,down,0.742180807938,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[3.0, 3.0]",6,0,2,2,29,,,,,0,0,0,0,down,2.9753907721,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[3.0, 3.0]",6,0,2,2,29,,,,,1,0,1,0,down,1.34215404463,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[3.0, 3.0]",4,0,3,3,27,,,,,0,0,0,0,right,2.13356396632,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[3.0, 3.0]",4,0,3,3,27,,,,,1,0,1,0,right,1.34212246549,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[3.0, 3.0]",4,0,3,3,27,,,,,2,0,2,0,down,1.14212270232,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[3.0, 3.0]",4,0,3,3,27,,,,,3,0,3,0,down,3.77546443045,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",3,0,4,4,8,,,,,0,0,0,0,right,1.28356408473,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
"[2.7, 2.7]",3,0,4,4,8,,,,,1,0,1,0,down,0.942165176253,GAS,f,28,60.0039318609,Set,2017_12_14_2004,
