size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",1,0,0,0,6,,,,,0,0,0,0,down,3.72544504874,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.7, 2.7]",1,0,0,0,6,,,,,1,0,1,0,down,4.1587878032,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,0,0,0,0,right,1.29209795216,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,1,0,1,0,right,2.12544654874,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,2,0,2,0,left,1.54211986018,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,3,0,3,0,right,1.05892706721,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,4,0,4,0,right,1.35882348762,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,5,0,5,0,down,1.09212779446,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,6,0,6,0,down,1.70876692148,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,7,0,7,0,right,1.25865761819,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,8,0,8,0,right,0.842137465574,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,9,0,9,0,right,0.758823013952,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,10,0,10,0,right,1.87544714086,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,11,0,11,0,down,1.39212013653,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,12,0,12,0,right,1.52542594337,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,13,0,13,0,right,1.62543036442,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,14,0,14,0,down,1.87540135111,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,15,0,15,0,down,1.8754495093,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,16,0,16,0,right,1.35876782937,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,17,0,17,0,right,1.55900996242,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,18,0,18,0,down,0.783640664158,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.8, 2.8]",2,0,1,1,13,,,,,19,0,19,0,down,1.70879139533,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",4,0,2,2,3,,,,,0,0,0,0,down,1.07545756196,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",4,0,2,2,3,,,,,1,0,1,0,down,2.74216817628,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",6,0,3,3,5,,,,,0,0,0,0,right,0.633578571666,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",6,0,3,3,5,,,,,1,0,1,0,right,0.992145478755,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",6,0,3,3,5,,,,,2,0,2,0,right,1.12544970668,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",6,0,3,3,5,,,,,3,0,3,0,down,2.00877505314,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",6,0,3,3,5,,,,,4,0,4,0,right,1.29191045102,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",6,0,3,3,5,,,,,5,0,5,0,down,1.72545846988,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.6, 2.6]",6,0,3,3,5,,,,,6,0,6,0,down,1.45876198725,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[3.0, 3.0]",4,0,4,4,27,,,,,0,0,0,0,left,1.47543774609,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[3.0, 3.0]",4,0,4,4,27,,,,,1,0,1,0,left,1.54212183392,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[3.0, 3.0]",4,0,4,4,27,,,,,2,0,2,0,left,1.74212278129,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[3.0, 3.0]",4,0,4,4,27,,,,,3,0,3,0,right,1.1921006364,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[3.0, 3.0]",4,0,4,4,27,,,,,4,0,4,0,down,1.19212787342,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[3.0, 3.0]",4,0,4,4,27,,,,,5,0,5,0,down,0.792183610611,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.7, 2.7]",6,0,5,5,11,,,,,0,0,0,0,down,1.32548381214,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.7, 2.7]",6,0,5,5,11,,,,,1,0,1,0,down,2.55880390856,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.9, 2.9]",6,0,6,6,23,,,,,0,0,0,0,down,2.25005427664,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
"[2.9, 2.9]",6,0,6,6,23,,,,,1,0,1,0,right,1.34211536017,GMV,f,19,60.0016579583,Set,2017_12_15_2126,
