size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",5,0,0,0,28,,,,,0,0,0,0,right,7.3920617151,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[3.0, 3.0]",5,0,0,0,28,,,,,1,0,1,0,down,1.30877331627,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[3.0, 3.0]",5,0,0,0,28,,,,,2,0,2,0,down,0.675454877754,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,0,0,0,0,down,0.692139320861,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,1,0,1,0,down,0.358805329597,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,2,0,2,0,left,0.35878243472,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,3,0,3,0,left,0.358811250713,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,4,0,4,0,left,0.32543486447,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,5,0,5,0,down,1.07545677249,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,6,0,6,0,down,0.392186452693,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,7,0,7,0,left,0.208780737361,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,8,0,8,0,left,0.525478048949,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,9,0,9,0,left,0.658779908408,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,10,0,10,0,left,0.475454325118,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,11,0,11,0,down,0.658800434845,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,12,0,12,0,left,0.700248054141,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,13,0,13,0,down,0.658790171612,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.7, 2.7]",3,0,1,1,8,,,,,14,0,14,0,down,0.375444377685,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,0,0,0,0,down,0.783554611,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,1,0,1,0,left,0.275447456661,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,2,0,2,0,left,0.242131860257,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,3,0,3,0,down,0.50882439554,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,4,0,4,0,down,1.00876952676,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,5,0,5,0,left,0.32552881242,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,6,0,6,0,left,0.208803632238,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,7,0,7,0,left,0.24211054435,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,8,0,8,0,left,0.175304087374,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,9,0,9,0,left,0.242121597053,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,10,0,10,0,left,0.325468812051,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,11,0,11,0,down,0.458793961123,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,12,0,12,0,down,0.775439167133,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,13,0,13,0,left,0.575454798789,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,14,0,14,0,down,0.742128702346,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",1,0,2,2,0,,,,,15,0,15,0,down,0.875481088442,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.9, 2.9]",4,0,3,3,21,,,,,0,0,0,0,right,1.15878819791,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.9, 2.9]",4,0,3,3,21,,,,,1,0,1,0,left,0.525436601311,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.9, 2.9]",4,0,3,3,21,,,,,2,0,2,0,left,0.608782237367,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.9, 2.9]",4,0,3,3,21,,,,,3,0,3,0,right,0.225458075147,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.9, 2.9]",4,0,3,3,21,,,,,4,0,4,0,left,0.408784053172,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.9, 2.9]",4,0,3,3,21,,,,,5,0,5,0,down,0.525509628089,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.9, 2.9]",4,0,3,3,21,,,,,6,0,6,0,down,0.575473746285,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",6,0,4,4,5,,,,,0,0,0,0,left,0.592128978693,KAA,f,24,59.991427495,Set,2017_12_15_2005,
"[2.6, 2.6]",6,0,4,4,5,,,,,1,0,1,0,left,0.458783697919,KAA,f,24,59.991427495,Set,2017_12_15_2005,
