size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",6,0,0,0,17,,,,,0,0,0,0,down,6.45870277636,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.8, 2.8]",6,0,0,0,17,,,,,1,0,1,0,down,13.0586665393,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.7, 2.7]",3,0,1,1,8,,,,,0,0,0,0,down,3.31688797064,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.7, 2.7]",3,0,1,1,8,,,,,1,0,1,0,down,1.85878717161,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.6, 2.6]",4,0,2,2,3,,,,,0,0,0,0,down,2.26689069434,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.6, 2.6]",4,0,2,2,3,,,,,1,0,1,0,down,2.52543186445,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.7, 2.7]",6,0,3,3,11,,,,,0,0,0,0,down,2.26688951012,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.7, 2.7]",6,0,3,3,11,,,,,1,0,1,0,down,1.95876001355,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.7, 2.7]",2,0,4,4,7,,,,,0,0,0,0,down,1.47544682507,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.7, 2.7]",2,0,4,4,7,,,,,1,0,1,0,down,2.17543514079,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.6, 2.6]",6,0,5,5,5,,,,,0,0,0,0,down,1.7754478514,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.6, 2.6]",6,0,5,5,5,,,,,1,0,1,0,down,3.41686475997,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[3.0, 3.0]",5,0,6,6,28,,,,,0,0,0,0,down,0.808776474172,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[3.0, 3.0]",5,0,6,6,28,,,,,1,0,1,0,down,1.17546790415,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[3.0, 3.0]",1,0,7,7,24,,,,,0,0,0,0,down,1.19210892593,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[3.0, 3.0]",1,0,7,7,24,,,,,1,0,1,0,down,1.8421066759,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.9, 2.9]",5,0,8,8,22,,,,,0,0,0,0,down,0.742123965487,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.9, 2.9]",5,0,8,8,22,,,,,1,0,1,0,down,0.658833198206,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.6, 2.6]",5,0,9,9,4,,,,,0,0,0,0,right,3.99211784702,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.6, 2.6]",5,0,9,9,4,,,,,1,0,1,0,down,0.992103241675,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.6, 2.6]",5,0,9,9,4,,,,,2,0,2,0,down,1.99209061002,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.9, 2.9]",2,0,10,10,19,,,,,0,0,0,0,down,1.35022922508,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.9, 2.9]",2,0,10,10,19,,,,,1,0,1,0,down,0.742165807846,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.8, 2.8]",2,0,11,11,13,,,,,0,0,0,0,down,0.758819856019,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.8, 2.8]",2,0,11,11,13,,,,,1,0,1,0,down,4.04205709666,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.9, 2.9]",4,0,12,12,21,,,,,0,0,0,0,down,0.975435772372,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.9, 2.9]",4,0,12,12,21,,,,,1,0,1,0,down,0.792130715527,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
"[2.9, 2.9]",3,0,13,13,20,,,,,0,0,0,0,down,0.65879135584,KVA,m,25,60.0054952738,Set,2017_12_14_1828,
