size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",4,0,0,0,3,,,,,0,0,0,0,down,7.90869918422,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.6, 2.6]",4,0,0,0,3,,,,,1,0,1,0,down,2.02544133819,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.7, 2.7]",5,0,1,1,10,,,,,0,0,0,0,right,0.733565229486,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.7, 2.7]",5,0,1,1,10,,,,,1,0,1,0,down,1.04211709704,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.7, 2.7]",5,0,1,1,10,,,,,2,0,2,0,right,1.45878448739,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.7, 2.7]",5,0,1,1,10,,,,,3,0,3,0,down,0.775454561954,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.7, 2.7]",5,0,1,1,10,,,,,4,0,4,0,down,0.558808250673,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,0,0,0,0,right,0.933566571592,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,1,0,1,0,right,1.29213071553,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,2,0,2,0,right,1.4587090922,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,3,0,3,0,right,4.05874153975,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,4,0,4,0,right,0.692096689017,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,5,0,5,0,right,0.575454798818,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,6,0,6,0,right,1.99210995223,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,7,0,7,0,right,0.908783263672,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,8,0,8,0,down,1.25878235578,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",4,0,2,2,21,,,,,9,0,9,0,down,0.650231830339,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",5,0,3,3,22,,,,,0,0,0,0,left,0.992099689029,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",5,0,3,3,22,,,,,1,0,1,0,left,0.558799171675,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",5,0,3,3,22,,,,,2,0,2,0,left,0.842130360252,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",5,0,3,3,22,,,,,3,0,3,0,down,1.95879317162,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",5,0,3,3,22,,,,,4,0,4,0,down,0.508779395255,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.8, 2.8]",1,0,4,4,12,,,,,0,0,0,0,down,0.883580347989,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.8, 2.8]",1,0,4,4,12,,,,,1,0,1,0,down,0.758792224282,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",3,0,5,5,20,,,,,0,0,0,0,left,1.05019938279,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",3,0,5,5,20,,,,,1,0,1,0,down,0.592116741784,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",3,0,5,5,20,,,,,2,0,2,0,down,0.425465733104,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",3,0,5,5,20,,,,,3,0,3,0,right,0.708741658193,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",3,0,5,5,20,,,,,4,0,4,0,down,1.40875523721,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",3,0,5,5,20,,,,,5,0,5,0,down,0.6421254655,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
"[2.9, 2.9]",3,0,5,5,20,,,,,6,0,6,0,left,0.558789697941,LPL,f,22,60.0032212475,Set,2017_12_15_1602,
