size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",5,0,0,0,10,,,,,0,0,0,0,down,1.35023554089,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,1,0,1,0,down,48.5748784796,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,2,0,2,0,right,7.0420764389,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,3,0,3,0,left,1.47543695662,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,4,0,4,0,left,0.875491351704,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,5,0,5,0,left,0.708759421483,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,6,0,6,0,left,0.558820092818,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,7,0,7,0,left,0.842107860139,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,8,0,8,0,left,0.37543845654,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,9,0,9,0,left,0.458810540149,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,10,0,10,0,left,0.358780461014,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,11,0,11,0,left,0.525447654072,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,12,0,12,0,left,0.64210414968,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,13,0,13,0,right,0.525422390783,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,14,0,14,0,left,0.875445167185,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,15,0,15,0,right,0.825465654139,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,16,0,16,0,left,2.04209301795,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,17,0,17,0,left,0.425453101518,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,18,0,18,0,left,0.475419982802,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,19,0,19,0,left,1.5087213685,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,20,0,20,0,left,0.375447930302,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,21,0,21,0,left,0.742129097111,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,22,0,22,0,left,1.02544291725,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,23,0,23,0,left,0.458780145273,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,24,0,24,0,left,0.825428548618,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,25,0,25,0,left,0.658760961029,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,26,0,26,0,left,0.375434114481,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,27,0,27,0,left,0.508780974313,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,28,0,28,0,left,0.992140347254,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,29,0,29,0,left,0.375460956711,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,30,0,30,0,left,0.675469877897,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,31,0,31,0,right,1.97543537756,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,32,0,32,0,left,0.425482706865,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,33,0,33,0,left,0.458835013909,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,34,0,34,0,left,0.358788355719,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,35,0,35,0,left,0.625442996155,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,36,0,36,0,left,0.342145755189,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,37,0,37,0,down,0.758803671692,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,38,0,38,0,down,0.858806908596,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,39,0,39,0,left,0.308783184853,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,40,0,40,0,left,0.783552242559,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,41,0,41,0,left,0.383544031996,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,42,0,42,0,left,0.508793605957,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,43,0,43,0,down,0.975421166979,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,44,0,44,0,right,0.592126215459,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,45,0,45,0,down,1.47549103585,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,46,0,46,0,left,0.34210351808,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,47,0,47,0,down,1.44215214986,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,48,0,48,0,down,2.2502109881,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,49,0,49,0,left,0.475457088207,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,50,0,50,0,right,0.458794750622,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,51,0,51,0,left,0.333582282183,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,52,0,52,0,right,0.308785947971,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,53,0,53,0,right,0.558751803008,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,54,0,54,0,left,0.408774974174,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,55,0,55,0,right,0.408726421185,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,56,0,56,0,left,0.375463719945,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,57,0,57,0,right,0.458797118976,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,58,0,58,0,left,0.342074307264,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,59,0,59,0,right,0.608783816337,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,60,0,60,0,left,0.375458588242,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,61,0,61,0,right,0.558803513879,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,62,0,62,0,left,0.89212013653,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
"[2.7, 2.7]",5,0,0,0,10,,,,,63,0,63,0,left,0.625459180446,LZ,m,27,59.9843250478,Set,2017_12_20_2058,
