size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",6,0,0,0,5,,,,,0,0,0,0,down,3.52542949602,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",6,0,0,0,5,,,,,1,0,1,0,down,1.04210367586,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,0,0,0,0,down,0.858620196901,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,1,0,1,0,down,0.825490917428,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,2,0,2,0,left,1.39211500491,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,3,0,3,0,left,0.842137465574,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,4,0,4,0,left,0.675463562016,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,5,0,5,0,left,0.592117531254,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,6,0,6,0,down,0.792109004862,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,7,0,7,0,down,0.908838132425,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,8,0,8,0,left,0.842134307662,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,9,0,9,0,down,0.9754874832,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,10,0,10,0,left,1.37546332515,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,11,0,11,0,left,0.858617433725,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,12,0,12,0,left,0.725432811829,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,13,0,13,0,left,0.842104307492,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,14,0,14,0,left,0.558783776854,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,15,0,15,0,down,0.742130676052,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.6, 2.6]",5,0,1,1,4,,,,,16,0,16,0,down,0.758800119045,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[3.0, 3.0]",2,0,2,2,25,,,,,0,0,0,0,down,1.47545550935,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[3.0, 3.0]",2,0,2,2,25,,,,,1,0,1,0,left,0.925478759484,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[3.0, 3.0]",2,0,2,2,25,,,,,2,0,2,0,left,0.708631920657,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[3.0, 3.0]",2,0,2,2,25,,,,,3,0,3,0,down,0.608819342859,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[3.0, 3.0]",2,0,2,2,25,,,,,4,0,4,0,down,1.09215068934,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.8, 2.8]",1,0,3,3,12,,,,,0,0,0,0,down,1.30021655394,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.8, 2.8]",1,0,3,3,12,,,,,1,0,1,0,right,1.4421154391,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.8, 2.8]",1,0,3,3,12,,,,,2,0,2,0,down,1.07545598302,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.8, 2.8]",1,0,3,3,12,,,,,3,0,3,0,down,0.958767118835,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.7, 2.7]",1,0,4,4,6,,,,,0,0,0,0,left,1.04212420233,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.7, 2.7]",1,0,4,4,6,,,,,1,0,1,0,down,0.942111886456,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.7, 2.7]",1,0,4,4,6,,,,,2,0,2,0,down,0.642092307418,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.9, 2.9]",2,0,5,5,19,,,,,0,0,0,0,left,0.983658980025,NG,f,22,60.0049267563,Set,2017_12_15_1718,
"[2.9, 2.9]",2,0,5,5,19,,,,,1,0,1,0,down,1.24211804441,NG,f,22,60.0049267563,Set,2017_12_15_1718,
