size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",1,0,0,0,0,,,,,0,0,0,0,down,5.27542614073,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,1,0,1,0,down,12.2920434782,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,2,0,2,0,right,1.65877714523,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,3,0,3,0,down,0.692106162744,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,4,0,4,0,down,1.21692262874,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,5,0,5,0,right,0.642129018146,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,6,0,6,0,right,0.458788040029,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,7,0,7,0,down,0.408750105598,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.6, 2.6]",1,0,0,0,0,,,,,8,0,8,0,down,2.0088141323,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,0,0,0,0,right,2.25021572499,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,1,0,1,0,left,0.625441811884,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,2,0,2,0,down,0.558802724336,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,3,0,3,0,right,0.442137939259,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,4,0,4,0,right,0.375460167263,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,5,0,5,0,left,0.842151281446,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,6,0,6,0,down,0.658793724273,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,7,0,7,0,right,0.458773434679,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,8,0,8,0,right,0.392128426043,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,9,0,9,0,left,0.792129531314,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,10,0,10,0,right,0.358784803168,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,11,0,11,0,left,0.375458983042,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,12,0,12,0,down,0.725486101626,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.7, 2.7]",1,0,1,1,6,,,,,13,0,13,0,down,0.558769960975,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,0,0,0,0,left,0.442175044744,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,1,0,1,0,left,0.292212821289,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,2,0,2,0,left,0.291992556791,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,3,0,3,0,left,0.325444338217,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,4,0,4,0,left,0.342123254959,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,5,0,5,0,down,0.458797513777,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,6,0,6,0,down,0.342121676003,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,7,0,7,0,right,0.392120531258,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,8,0,8,0,left,0.375484641088,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,9,0,9,0,right,0.775426930217,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,10,0,10,0,left,0.458807382252,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,11,0,11,0,left,0.475455114603,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,12,0,12,0,left,0.242126728663,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,13,0,13,0,down,0.608795658503,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.8, 2.8]",2,0,2,2,13,,,,,14,0,14,0,down,0.492148636687,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.9, 2.9]",1,0,3,3,18,,,,,0,0,0,0,left,1.26688595746,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
"[2.9, 2.9]",1,0,3,3,18,,,,,1,0,1,0,left,0.408772210991,AFA,m,23,60.0101860015,Set,2017_12_14_1722,
