size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",3,0,0,0,2,,,,,0,0,0,0,down,6.43353578192,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,1,0,1,0,down,4.13356041365,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,2,0,2,0,right,0.950310225555,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,3,0,3,0,down,1.50023368563,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,4,0,4,0,right,0.816907312859,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,5,0,5,0,left,3.40019689593,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,6,0,6,0,down,1.30022563295,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,7,0,7,0,right,0.55023530405,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,8,0,8,0,right,0.633582124312,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,9,0,9,0,right,1.43361433503,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,10,0,10,0,right,0.633565940007,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,11,0,11,0,down,2.16689732596,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
"[2.6, 2.6]",3,0,0,0,2,,,,,12,0,12,0,right,1.46689322067,IOA,f,20,60.0064902133,Set,2017_12_14_1607,
