size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",1,0,0,0,24,,,,,0,0,0,0,down,5.51693944464,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",1,0,0,0,24,,,,,1,0,1,0,down,1.43358946647,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.7, 2.7]",6,0,1,1,11,,,,,0,0,0,0,down,3.51687312842,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.7, 2.7]",6,0,1,1,11,,,,,1,0,1,0,down,0.900243869895,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.8, 2.8]",1,0,2,2,12,,,,,0,0,0,0,right,1.15023340931,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.8, 2.8]",1,0,2,2,12,,,,,1,0,1,0,down,0.750230330363,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.8, 2.8]",1,0,2,2,12,,,,,2,0,2,0,down,0.433564992622,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.8, 2.8]",4,0,3,3,15,,,,,0,0,0,0,down,0.50024236989,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.8, 2.8]",4,0,3,3,15,,,,,1,0,1,0,down,0.566905931279,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",2,0,4,4,25,,,,,0,0,0,0,down,0.56690908919,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",2,0,4,4,25,,,,,1,0,1,0,down,0.516903523356,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.9, 2.9]",5,0,5,5,22,,,,,0,0,0,0,down,0.366901036497,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[2.9, 2.9]",5,0,5,5,22,,,,,1,0,1,0,down,0.483576479543,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",6,0,6,6,29,,,,,0,0,0,0,left,0.733556545223,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",6,0,6,6,29,,,,,1,0,1,0,left,0.783747243753,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",6,0,6,6,29,,,,,2,0,2,0,down,0.683561637357,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",6,0,6,6,29,,,,,3,0,3,0,down,0.500232106657,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",5,0,7,7,28,,,,,0,0,0,0,down,0.950235225115,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",5,0,7,7,28,,,,,1,0,1,0,down,0.633578966401,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",5,0,7,7,28,,,,,2,0,2,0,left,0.783557768882,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",5,0,7,7,28,,,,,3,0,3,0,down,0.350237119856,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
"[3.0, 3.0]",5,0,7,7,28,,,,,4,0,4,0,down,0.183562821563,KAR,f,20,60.0013737241,Set,2017_12_15_1359,
