size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",1,0,0,0,24,,,,,0,0,0,0,down,1.90877378994,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",1,0,0,0,24,,,,,1,0,1,0,down,2.54208196525,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.7, 2.7]",1,0,1,1,6,,,,,0,0,0,0,down,1.22545886465,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.7, 2.7]",1,0,1,1,6,,,,,1,0,1,0,down,1.37541043013,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",3,0,2,2,20,,,,,0,0,0,0,down,1.57526413974,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",3,0,2,2,20,,,,,1,0,1,0,down,1.25877248729,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.7, 2.7]",3,0,3,3,8,,,,,0,0,0,0,down,0.74210738641,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.7, 2.7]",3,0,3,3,8,,,,,1,0,1,0,down,0.99211982073,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",2,0,4,4,1,,,,,0,0,0,0,down,1.03360849287,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",2,0,4,4,1,,,,,1,0,1,0,down,1.62545128562,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,0,0,0,0,down,1.75024256727,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,1,0,1,0,right,1.54212183389,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,2,0,2,0,right,1.6421144128,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,3,0,3,0,right,1.50878531631,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,4,0,4,0,right,0.725459654117,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,5,0,5,0,right,0.592112004873,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,6,0,6,0,down,0.475462219911,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",1,0,5,5,12,,,,,7,0,7,0,down,0.392136715585,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.7, 2.7]",2,0,6,6,7,,,,,0,0,0,0,down,1.10882250074,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.7, 2.7]",2,0,6,6,7,,,,,1,0,1,0,down,0.892101189063,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",3,0,7,7,2,,,,,0,0,0,0,down,1.55877706624,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",3,0,7,7,2,,,,,1,0,1,0,down,1.27545614092,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",5,0,8,8,16,,,,,0,0,0,0,down,0.84213628131,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",5,0,8,8,16,,,,,1,0,1,0,down,0.825489733252,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",2,0,9,9,19,,,,,0,0,0,0,left,1.02547133836,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",2,0,9,9,19,,,,,1,0,1,0,down,2.54210091272,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",2,0,9,9,19,,,,,2,0,2,0,down,1.05880232959,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,0,0,0,0,left,1.04208670213,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,1,0,1,0,left,1.62535260082,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,2,0,2,0,down,0.842099965317,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,3,0,3,0,left,0.758800908516,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,4,0,4,0,left,0.892167110462,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,5,0,5,0,left,0.558634960151,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,6,0,6,0,down,0.608802369097,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,7,0,7,0,down,0.708812711237,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,8,0,8,0,left,0.342115754902,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,9,0,9,0,down,0.642117570678,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,10,0,10,0,left,0.508777026786,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,11,0,11,0,down,0.458775408391,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,12,0,12,0,left,2.94219636067,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,13,0,13,0,down,0.633483439509,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",3,0,10,10,26,,,,,14,0,14,0,down,0.192166952591,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",5,0,11,11,4,,,,,0,0,0,0,down,0.725463601528,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",5,0,11,11,4,,,,,1,0,1,0,down,0.741950280266,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",5,0,11,11,4,,,,,2,0,2,0,left,0.925523364975,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",5,0,11,11,4,,,,,3,0,3,0,down,0.442150176154,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",5,0,11,11,4,,,,,4,0,4,0,left,0.892111452238,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",5,0,11,11,4,,,,,5,0,5,0,down,0.34212404443,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",5,0,11,11,4,,,,,6,0,6,0,down,0.200321080862,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",2,0,12,12,13,,,,,0,0,0,0,down,0.583618006145,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",2,0,12,12,13,,,,,1,0,1,0,down,0.508779395197,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",6,0,13,13,23,,,,,0,0,0,0,left,1.4335697295,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",6,0,13,13,23,,,,,1,0,1,0,down,1.34212799184,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.9, 2.9]",6,0,13,13,23,,,,,2,0,2,0,down,0.575512035983,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,0,0,0,0,down,0.742110149586,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,1,0,1,0,down,0.550242804107,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,2,0,2,0,left,1.058804698,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,3,0,3,0,down,0.692131426069,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,4,0,4,0,left,0.575452430348,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,5,0,5,0,left,1.54213841294,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,6,0,6,0,down,0.658804382198,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,7,0,7,0,left,1.0254156802,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,8,0,8,0,down,0.358814013889,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",4,0,14,14,3,,,,,9,0,9,0,down,0.292118478625,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",4,0,15,15,27,,,,,0,0,0,0,left,1.61691189185,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",4,0,15,15,27,,,,,1,0,1,0,left,2.12543707504,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",4,0,15,15,27,,,,,2,0,2,0,down,0.558812987583,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",4,0,15,15,27,,,,,3,0,3,0,down,0.692132215539,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",1,0,16,16,0,,,,,0,0,0,0,down,0.808806869085,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",1,0,16,16,0,,,,,1,0,1,0,left,1.44217070256,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",1,0,16,16,0,,,,,2,0,2,0,down,0.825471180491,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.6, 2.6]",1,0,16,16,0,,,,,3,0,3,0,down,0.692121162836,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",3,0,17,17,14,,,,,0,0,0,0,down,0.958792776859,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[2.8, 2.8]",3,0,17,17,14,,,,,1,0,1,0,down,0.508790447901,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",2,0,18,18,25,,,,,0,0,0,0,left,0.85878559266,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",2,0,18,18,25,,,,,1,0,1,0,down,1.65877438203,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",2,0,18,18,25,,,,,2,0,2,0,down,0.542103675893,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",5,0,19,19,28,,,,,0,0,0,0,left,0.925279021438,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",5,0,19,19,28,,,,,1,0,1,0,down,2.05877903994,PG,m,21,59.9981053027,Set,2017_12_18_1700,
"[3.0, 3.0]",5,0,19,19,28,,,,,2,0,2,0,down,0.392120531294,PG,m,21,59.9981053027,Set,2017_12_18_1700,
