size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",2,0,0,0,13,,,,,0,0,0,0,down,1.20878389524,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.8, 2.8]",2,0,0,0,13,,,,,1,0,1,0,down,1.05877232947,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.6, 2.6]",4,0,1,1,3,,,,,0,0,0,0,down,2.15878069785,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.6, 2.6]",4,0,1,1,3,,,,,1,0,1,0,down,4.97541050916,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.8, 2.8]",6,0,2,2,17,,,,,0,0,0,0,down,0.79214176815,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.8, 2.8]",6,0,2,2,17,,,,,1,0,1,0,down,0.592131741811,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.6, 2.6]",6,0,3,3,5,,,,,0,0,0,0,right,1.22544860141,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.6, 2.6]",6,0,3,3,5,,,,,1,0,1,0,right,1.39211461018,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.6, 2.6]",6,0,3,3,5,,,,,2,0,2,0,down,0.625476548914,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.6, 2.6]",6,0,3,3,5,,,,,3,0,3,0,down,0.608809079626,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.8, 2.8]",3,0,4,4,14,,,,,0,0,0,0,down,1.60024165933,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.8, 2.8]",3,0,4,4,14,,,,,1,0,1,0,down,0.592130557634,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.7, 2.7]",1,0,5,5,6,,,,,0,0,0,0,right,1.29194163543,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.7, 2.7]",1,0,5,5,6,,,,,1,0,1,0,right,2.09210450482,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.7, 2.7]",1,0,5,5,6,,,,,2,0,2,0,down,0.458796329563,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.7, 2.7]",1,0,5,5,6,,,,,3,0,3,0,down,0.408788395347,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.8, 2.8]",5,0,6,6,16,,,,,0,0,0,0,down,0.58357142692,SND, m,22,60.0111811253,Set,2017_12_20_2139,
"[2.8, 2.8]",5,0,6,6,16,,,,,1,0,1,0,down,0.342120491783,SND, m,22,60.0111811253,Set,2017_12_20_2139,
