size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",5,0,0,0,10,,,,,0,0,0,0,right,5.17543750923,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,1,0,1,0,right,2.37543687766,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,2,0,2,0,left,1.25877525049,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,3,0,3,0,right,0.675482509483,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,4,0,4,0,right,0.458791987417,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,5,0,5,0,left,1.59211555752,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,6,0,6,0,right,1.00879360587,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,7,0,7,0,right,0.592134899751,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,8,0,8,0,left,0.758812355984,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,9,0,9,0,down,3.35876111881,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,10,0,10,0,right,0.575484798988,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,11,0,11,0,down,0.458805013797,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,12,0,12,0,right,1.45880382962,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,13,0,13,0,down,0.958610012633,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,14,0,14,0,right,0.425450338254,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,15,0,15,0,right,1.59212858393,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,16,0,16,0,down,1.17547106207,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,17,0,17,0,down,1.72551610178,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,18,0,18,0,right,0.325443153997,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,19,0,19,0,left,0.925299547875,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,20,0,20,0,down,0.892122504942,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,21,0,21,0,left,0.692141294567,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,22,0,22,0,left,0.442241360928,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,23,0,23,0,left,0.425460206723,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,24,0,24,0,down,0.566879483726,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,25,0,25,0,left,0.40882234287,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,26,0,26,0,down,0.492133636581,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,27,0,27,0,left,0.342165492038,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,28,0,28,0,right,0.342117728607,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,29,0,29,0,right,0.52546896995,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,30,0,30,0,right,0.358814408624,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,31,0,31,0,right,0.292139005061,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,32,0,32,0,down,0.375457798829,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,33,0,33,0,down,0.475438535563,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,34,0,34,0,right,0.358780855779,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,35,0,35,0,down,0.725507812283,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,36,0,36,0,down,0.808811605966,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,37,0,37,0,left,0.492107189086,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,38,0,38,0,left,0.392113820708,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,39,0,39,0,right,0.525445285602,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,40,0,40,0,left,0.408798263787,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,41,0,41,0,left,0.858780855779,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,42,0,42,0,down,0.825464075169,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,43,0,43,0,down,0.658832408721,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,44,0,44,0,left,0.525453969865,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,45,0,45,0,down,0.675453693519,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,46,0,46,0,down,0.817028497811,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,47,0,47,0,left,0.483561479457,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,48,0,48,0,left,0.37547714106,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,49,0,49,0,down,0.575465062022,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,50,0,50,0,left,0.508815316512,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,51,0,51,0,right,0.625448522449,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,52,0,52,0,down,1.29213426818,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,53,0,53,0,right,0.692157873593,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,54,0,54,0,down,0.608798421687,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,55,0,55,0,left,0.442135570804,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,56,0,56,0,left,0.34212641287,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,57,0,57,0,left,0.658794908493,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,58,0,58,0,left,0.725453338266,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,59,0,59,0,left,0.675436325022,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,60,0,60,0,down,0.492137189256,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,61,0,61,0,down,0.508786895283,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,62,0,62,0,right,0.425458627782,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,63,0,63,0,right,1.00877978999,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,64,0,64,0,down,0.658803198021,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,65,0,65,0,left,0.408765105676,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,66,0,66,0,left,1.05881101385,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,67,0,67,0,down,0.47544445665,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,68,0,68,0,left,0.392118162825,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,69,0,69,0,down,0.458791592682,MB,f,20,60.0067744881,Set,2017_12_15_1535,
"[2.7, 2.7]",5,0,0,0,10,,,,,70,0,70,0,left,0.292129531299,MB,f,20,60.0067744881,Set,2017_12_15_1535,
