size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",4,0,0,0,15,,,,,0,0,0,0,down,0.966888483788,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",4,0,0,0,15,,,,,1,0,1,0,down,2.88355232147,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",5,0,1,1,28,,,,,0,0,0,0,down,0.650238146191,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",5,0,1,1,28,,,,,1,0,1,0,down,0.683762164903,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",1,0,2,2,6,,,,,0,0,0,0,down,0.583547347807,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",1,0,2,2,6,,,,,1,0,1,0,down,0.533421781263,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",3,0,3,3,14,,,,,0,0,0,0,down,0.500129869208,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",3,0,3,3,14,,,,,1,0,1,0,down,0.566891720693,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",2,0,4,4,1,,,,,0,0,0,0,down,0.566899615398,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",2,0,4,4,1,,,,,1,0,1,0,down,0.78353526874,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",1,0,5,5,18,,,,,0,0,0,0,down,0.683620453463,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",1,0,5,5,18,,,,,1,0,1,0,down,0.516907865531,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",2,0,6,6,13,,,,,0,0,0,0,down,0.6169174182,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",2,0,6,6,13,,,,,1,0,1,0,down,0.683573874296,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",1,0,7,7,0,,,,,0,0,0,0,down,0.666932063003,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",1,0,7,7,0,,,,,1,0,1,0,down,0.500235659361,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",2,0,8,8,19,,,,,0,0,0,0,down,2.95022654085,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",2,0,8,8,19,,,,,1,0,1,0,down,1.5335784927,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",1,0,9,9,24,,,,,0,0,0,0,down,0.650245646248,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",1,0,9,9,24,,,,,1,0,1,0,down,0.78358224273,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",5,0,10,10,10,,,,,0,0,0,0,down,0.450228514557,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",5,0,10,10,10,,,,,1,0,1,0,down,0.466902299668,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",4,0,11,11,9,,,,,0,0,0,0,down,1.01689681277,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",4,0,11,11,9,,,,,1,0,1,0,down,0.700240554113,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",2,0,12,12,25,,,,,0,0,0,0,down,0.533580861171,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",2,0,12,12,25,,,,,1,0,1,0,down,0.450182724802,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",6,0,13,13,23,,,,,0,0,0,0,down,0.583564716275,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",6,0,13,13,23,,,,,1,0,1,0,down,0.716950655216,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",5,0,14,14,4,,,,,0,0,0,0,down,0.666925352474,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",5,0,14,14,4,,,,,1,0,1,0,down,0.583565111039,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,0,0,0,0,left,0.883559821581,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,1,0,1,0,left,0.850239093532,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,2,0,2,0,down,2.63356278208,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,3,0,3,0,down,0.700243317289,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,4,0,4,0,left,0.600239685678,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,5,0,5,0,left,0.716969997447,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,6,0,6,0,down,0.683590453293,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.9, 2.9]",3,0,15,15,20,,,,,7,0,7,0,down,0.50032250199,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,0,0,0,0,left,0.566899220692,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,1,0,1,0,down,0.566920536628,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,2,0,2,0,down,0.650236567191,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,3,0,3,0,left,0.383593769104,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,4,0,4,0,left,0.400266764744,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,5,0,5,0,left,0.366887615412,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,6,0,6,0,down,0.450215882855,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,7,0,7,0,left,0.250234277744,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,8,0,8,0,left,0.483558321488,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,9,0,9,0,left,0.350250541,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,10,0,10,0,left,0.366922352405,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,11,0,11,0,left,0.583548531984,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,12,0,12,0,left,0.333558597893,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,13,0,13,0,left,0.266899378563,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,14,0,14,0,down,0.433572492679,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,15,0,15,0,left,0.950240751437,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,16,0,16,0,left,0.40024347516,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,17,0,17,0,down,0.450178382685,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",5,0,16,16,16,,,,,18,0,18,0,down,0.383557453111,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",3,0,17,17,26,,,,,0,0,0,0,down,0.46692401031,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[3.0, 3.0]",3,0,17,17,26,,,,,1,0,1,0,down,0.850229619769,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",3,0,18,18,8,,,,,0,0,0,0,down,0.483587137482,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.7, 2.7]",3,0,18,18,8,,,,,1,0,1,0,down,0.40024268569,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,0,0,0,0,left,0.450236804027,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,1,0,1,0,left,0.716907628637,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,2,0,2,0,down,0.583610900794,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,3,0,3,0,down,0.833641887817,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,4,0,4,0,left,0.450063118769,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,5,0,5,0,left,0.400265580567,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,6,0,6,0,left,0.283573163731,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,7,0,7,0,left,0.450229698734,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,8,0,8,0,left,0.316899418074,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,9,0,9,0,left,0.40023202775,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,10,0,10,0,left,0.450248646259,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,11,0,11,0,left,0.416909760272,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,12,0,12,0,left,0.416908576037,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,13,0,13,0,left,0.50023921195,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,14,0,14,0,left,0.483567400544,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,15,0,15,0,down,0.716890654876,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,16,0,16,0,left,0.5835544531,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,17,0,17,0,down,0.500243948831,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,18,0,18,0,left,0.683563611005,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,19,0,19,0,left,0.500234869833,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,20,0,20,0,left,0.766898983857,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,21,0,21,0,down,0.750239014626,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.6, 2.6]",6,0,19,19,5,,,,,22,0,22,0,down,0.483576479543,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",6,0,20,20,17,,,,,0,0,0,0,down,0.566906326043,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
"[2.8, 2.8]",6,0,20,20,17,,,,,1,0,1,0,down,0.533555597824,PZV,f,20,59.9918537007,Set,2017_12_18_1629,
