size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",3,0,0,0,20,,,,,0,0,0,0,down,5.50032684405,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.9, 2.9]",3,0,0,0,20,,,,,1,0,1,0,down,6.96728085459,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",6,0,1,1,5,,,,,0,0,0,0,down,0.58357142692,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",6,0,1,1,5,,,,,1,0,1,0,down,0.550301225507,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",1,0,2,2,0,,,,,0,0,0,0,down,0.400428213063,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",1,0,2,2,0,,,,,1,0,1,0,down,1.03359270329,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",4,0,3,3,9,,,,,0,0,0,0,down,0.61695057631,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",4,0,3,3,9,,,,,1,0,1,0,right,1.96720743307,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",4,0,3,3,9,,,,,2,0,2,0,down,0.633582913782,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",4,0,3,3,9,,,,,3,0,3,0,right,1.13350870286,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",4,0,3,3,9,,,,,4,0,4,0,down,0.750250856741,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",4,0,3,3,9,,,,,5,0,5,0,down,0.400236764573,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",5,0,4,4,4,,,,,0,0,0,0,right,1.70061437215,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",5,0,4,4,4,,,,,1,0,1,0,down,1.76698306331,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",5,0,4,4,4,,,,,2,0,2,0,down,0.450221409206,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",4,0,5,5,3,,,,,0,0,0,0,down,0.65024880413,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",4,0,5,5,3,,,,,1,0,1,0,down,0.51700536604,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",4,0,5,5,3,,,,,2,0,2,0,right,0.750224014511,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",4,0,5,5,3,,,,,3,0,3,0,down,0.833908731584,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",4,0,5,5,3,,,,,4,0,4,0,down,0.60015915893,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",2,0,6,6,25,,,,,0,0,0,0,down,0.600440213224,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",2,0,6,6,25,,,,,1,0,1,0,down,0.566917378688,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.8, 2.8]",6,0,7,7,17,,,,,0,0,0,0,down,0.666948642,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.8, 2.8]",6,0,7,7,17,,,,,1,0,1,0,down,0.750512174098,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",6,0,8,8,29,,,,,0,0,0,0,down,0.566794614773,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",6,0,8,8,29,,,,,1,0,1,0,down,1.43358788744,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.9, 2.9]",1,0,9,9,18,,,,,0,0,0,0,down,0.51685141772,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.9, 2.9]",1,0,9,9,18,,,,,1,0,1,0,down,0.366866694181,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.9, 2.9]",6,0,10,10,23,,,,,0,0,0,0,down,0.384000745253,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.9, 2.9]",6,0,10,10,23,,,,,1,0,1,0,down,0.416775548947,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",2,0,11,11,7,,,,,0,0,0,0,down,0.6003044229,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",2,0,11,11,7,,,,,1,0,1,0,down,0.383873244515,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.9, 2.9]",2,0,12,12,19,,,,,0,0,0,0,down,0.550265699043,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.9, 2.9]",2,0,12,12,19,,,,,1,0,1,0,down,0.417207788327,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",1,0,13,13,24,,,,,0,0,0,0,down,0.383498637006,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",1,0,13,13,24,,,,,1,0,1,0,down,0.333582676947,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",6,0,14,14,11,,,,,0,0,0,0,down,0.366745114559,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.7, 2.7]",6,0,14,14,11,,,,,1,0,1,0,down,0.333611098235,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",3,0,15,15,2,,,,,0,0,0,0,down,0.416942523676,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[2.6, 2.6]",3,0,15,15,2,,,,,1,0,1,0,down,0.350243830471,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",3,0,16,16,26,,,,,0,0,0,0,down,0.350267120055,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
"[3.0, 3.0]",3,0,16,16,26,,,,,1,0,1,0,down,0.317305999575,SHUKs,f,20,59.9874499433,Set,2017_12_20_1317,
