size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",6,0,0,0,11,,,,,0,0,0,0,right,6.40868339463,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.7, 2.7]",6,0,0,0,11,,,,,1,0,1,0,down,1.29210150483,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.7, 2.7]",6,0,0,0,11,,,,,2,0,2,0,down,0.708779158391,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.7, 2.7]",2,0,1,1,7,,,,,0,0,0,0,down,0.550270435866,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.7, 2.7]",2,0,1,1,7,,,,,1,0,1,0,down,1.17543593029,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,0,0,0,0,right,0.483629769325,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,1,0,1,0,right,0.825447890878,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,2,0,2,0,right,1.80024181725,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,3,0,3,0,right,0.525447654043,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,4,0,4,0,right,3.14210533377,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,5,0,5,0,right,1.57555308886,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,6,0,6,0,right,1.31698310279,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,7,0,7,0,right,0.475476035761,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,8,0,8,0,right,0.508787684783,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,9,0,9,0,right,0.708804026974,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,10,0,10,0,right,0.542106833804,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,11,0,11,0,right,0.35879861904,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,12,0,12,0,right,0.308783579472,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,13,0,13,0,right,0.342104702228,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,14,0,14,0,right,1.77545140407,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,15,0,15,0,right,0.65877240838,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,16,0,16,0,right,0.808596867835,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,17,0,17,0,right,0.492116662819,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,18,0,18,0,right,0.558792066382,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,19,0,19,0,right,0.4421545183,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,20,0,20,0,right,0.358786776866,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,21,0,21,0,right,0.325469601521,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,22,0,22,0,right,0.542109202244,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,23,0,23,0,right,0.375487799,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,24,0,24,0,right,0.375453851448,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,25,0,25,0,right,0.542135649768,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,26,0,26,0,down,0.675409482734,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.6, 2.6]",6,0,2,2,5,,,,,27,0,27,0,down,0.558781013679,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.9, 2.9]",6,0,3,3,23,,,,,0,0,0,0,down,0.608779474191,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.9, 2.9]",6,0,3,3,23,,,,,1,0,1,0,down,0.458781724214,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.7, 2.7]",1,0,4,4,6,,,,,0,0,0,0,down,0.408779316291,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.7, 2.7]",1,0,4,4,6,,,,,1,0,1,0,down,0.54215657094,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.9, 2.9]",2,0,5,5,19,,,,,0,0,0,0,down,0.400265975302,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.9, 2.9]",2,0,5,5,19,,,,,1,0,1,0,down,0.808763447771,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[3.0, 3.0]",5,0,6,6,28,,,,,0,0,0,0,down,0.533558360999,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[3.0, 3.0]",5,0,6,6,28,,,,,1,0,1,0,down,0.542125386564,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.8, 2.8]",4,0,7,7,15,,,,,0,0,0,0,left,0.692119583866,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.8, 2.8]",4,0,7,7,15,,,,,1,0,1,0,down,0.642127439205,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.8, 2.8]",4,0,7,7,15,,,,,2,0,2,0,down,0.591959635523,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.8, 2.8]",4,0,7,7,15,,,,,3,0,3,0,left,1.24215870255,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.8, 2.8]",4,0,7,7,15,,,,,4,0,4,0,down,0.408762737236,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
"[2.8, 2.8]",4,0,7,7,15,,,,,5,0,5,0,down,0.492104820645,TPS,m,18,59.9786443259,Set,2017_12_15_2109,
