size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",2,0,0,0,7,,,,,0,0,0,0,down,3.25875827667,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",2,0,0,0,7,,,,,1,0,1,0,down,1.84211259699,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",1,0,1,1,0,,,,,0,0,0,0,down,1.11690044441,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",1,0,1,1,0,,,,,1,0,1,0,down,0.950147198251,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[3.0, 3.0]",1,0,2,2,24,,,,,0,0,0,0,down,4.72541504857,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[3.0, 3.0]",1,0,2,2,24,,,,,1,0,1,0,down,0.77544429875,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",3,0,3,3,8,,,,,0,0,0,0,down,0.75877051361,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",3,0,3,3,8,,,,,1,0,1,0,down,0.725459654117,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",3,0,3,3,8,,,,,2,0,2,0,right,1.15879254008,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",3,0,3,3,8,,,,,3,0,3,0,down,0.70879455324,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",3,0,3,3,8,,,,,4,0,4,0,down,0.692144452449,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",3,0,4,4,2,,,,,0,0,0,0,down,1.05024161987,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",3,0,4,4,2,,,,,1,0,1,0,right,1.12548602268,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",3,0,4,4,2,,,,,2,0,2,0,right,0.542067754606,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",3,0,4,4,2,,,,,3,0,3,0,right,0.692111689073,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",3,0,4,4,2,,,,,4,0,4,0,down,1.09211318911,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",3,0,4,4,2,,,,,5,0,5,0,down,2.20879968486,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,0,0,0,0,right,0.642108886444,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,1,0,1,0,right,2.00882952713,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,2,0,2,0,down,1.47546616729,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,3,0,3,0,down,0.64211086015,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,4,0,4,0,left,1.5088311061,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,5,0,5,0,right,0.725435575005,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,6,0,6,0,down,0.908744184504,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,7,0,7,0,down,1.15877438206,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,8,0,8,0,right,0.7087913953,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,9,0,9,0,down,0.708789026859,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",5,0,5,5,16,,,,,10,0,10,0,down,0.975495772756,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,0,0,0,0,left,0.908785632113,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,1,0,1,0,right,0.492100478499,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,2,0,2,0,down,0.742127912876,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,3,0,3,0,left,0.592123847076,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,4,0,4,0,down,1.04214157086,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,5,0,5,0,left,0.625495101674,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,6,0,6,0,left,0.84214180769,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,7,0,7,0,down,0.775424561783,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,8,0,8,0,left,0.458811724384,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,9,0,9,0,left,0.775508246501,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,10,0,10,0,down,0.542121044418,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",6,0,6,6,17,,,,,11,0,11,0,down,0.992100478499,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",5,0,7,7,10,,,,,0,0,0,0,left,0.675453298783,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",5,0,7,7,10,,,,,1,0,1,0,down,1.7921093996,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",5,0,7,7,10,,,,,2,0,2,0,left,0.708797316387,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",5,0,7,7,10,,,,,3,0,3,0,down,0.991959161853,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.7, 2.7]",5,0,7,7,10,,,,,4,0,4,0,down,0.44211070225,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",6,0,8,8,5,,,,,0,0,0,0,left,0.675538957206,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",6,0,8,8,5,,,,,1,0,1,0,down,0.558805092762,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",6,0,8,8,5,,,,,2,0,2,0,down,0.392139478732,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",3,0,9,9,14,,,,,0,0,0,0,down,0.525455154071,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.8, 2.8]",3,0,9,9,14,,,,,1,0,1,0,down,0.525459890923,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",4,0,10,10,3,,,,,0,0,0,0,left,1.29210347851,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",4,0,10,10,3,,,,,1,0,1,0,down,0.575459140935,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",4,0,10,10,3,,,,,2,0,2,0,down,0.492109952262,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",4,0,10,10,3,,,,,3,0,3,0,right,0.75878669793,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",4,0,10,10,3,,,,,4,0,4,0,down,1.22529031098,VR,m,19,59.986739694,Set,2017_12_15_1743,
"[2.6, 2.6]",4,0,10,10,3,,,,,5,0,5,0,right,3.05877509259,VR,m,19,59.986739694,Set,2017_12_15_1743,
