size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",6,0,0,0,17,,,,,0,0,0,0,left,13.592001478,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",6,0,0,0,17,,,,,1,0,1,0,down,4.67541461438,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",6,0,0,0,17,,,,,2,0,2,0,down,3.90878800058,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,0,0,0,0,left,0.975446430384,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,1,0,1,0,down,0.99211666279,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,2,0,2,0,down,0.658816619194,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,3,0,3,0,left,0.625454048743,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,4,0,4,0,down,0.658794118906,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,5,0,5,0,right,1.09212424187,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,6,0,6,0,left,0.658797671669,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,7,0,7,0,down,0.74211291282,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,8,0,8,0,left,0.742124754936,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,9,0,9,0,down,0.675452904077,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.8, 2.8]",1,0,1,1,12,,,,,10,0,10,0,down,0.458793961094,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.6, 2.6]",5,0,2,2,4,,,,,0,0,0,0,left,0.941958727664,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.6, 2.6]",5,0,2,2,4,,,,,1,0,1,0,left,0.558801145293,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.6, 2.6]",5,0,2,2,4,,,,,2,0,2,0,down,0.492123768083,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.6, 2.6]",5,0,2,2,4,,,,,3,0,3,0,down,0.358791908482,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.9, 2.9]",5,0,3,3,22,,,,,0,0,0,0,left,0.950183909037,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.9, 2.9]",5,0,3,3,22,,,,,1,0,1,0,down,0.675458825077,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.9, 2.9]",5,0,3,3,22,,,,,2,0,2,0,left,0.692124715541,UO,m,28,60.0126027146,Set,2017_12_20_1722,
"[2.9, 2.9]",5,0,3,3,22,,,,,3,0,3,0,left,0.558780618943,UO,m,28,60.0126027146,Set,2017_12_20_1722,
