size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",4,0,0,0,15,,,,,0,0,0,0,right,0.492147847195,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.8, 2.8]",4,0,0,0,15,,,,,1,0,1,0,down,23.8919500039,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.8, 2.8]",4,0,0,0,15,,,,,2,0,2,0,down,1.0088030796,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,0,0,0,0,down,0.950197724858,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,1,0,1,0,left,1.09209424164,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,2,0,2,0,left,0.592129768105,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,3,0,3,0,left,0.808797790087,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,4,0,4,0,left,0.842129570781,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,5,0,5,0,left,2.69210261002,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,6,0,6,0,down,0.592065030942,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,7,0,7,0,down,0.592125426047,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,8,0,8,0,right,0.575472562108,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,9,0,9,0,right,0.65878069785,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,10,0,10,0,down,0.75878590846,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,11,0,11,0,right,0.525449627778,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,12,0,12,0,right,0.442112675984,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,13,0,13,0,right,0.291987425182,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,14,0,14,0,right,0.642130991793,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,15,0,15,0,right,0.492126136553,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,16,0,16,0,right,0.658769645263,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,17,0,17,0,right,0.492113110144,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,18,0,18,0,right,0.67543671967,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,19,0,19,0,right,0.458783303155,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,20,0,20,0,right,0.625446943566,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,21,0,21,0,right,0.642100202269,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,22,0,22,0,down,0.508802684839,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,23,0,23,0,right,0.858774540015,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,24,0,24,0,right,0.592128583929,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,25,0,25,0,down,0.575443746056,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,26,0,26,0,right,0.592104504933,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,27,0,27,0,right,0.775448246044,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,28,0,28,0,down,0.575491114869,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,29,0,29,0,right,0.558794434881,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,30,0,30,0,right,0.742215545033,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,31,0,31,0,down,0.458784487331,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,32,0,32,0,down,0.942089386284,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,33,0,33,0,right,0.542140781414,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,34,0,34,0,right,1.50877663202,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,35,0,35,0,down,1.00022184337,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,36,0,36,0,right,0.558782592649,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,37,0,37,0,right,0.758768539876,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,38,0,38,0,right,0.658792540082,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,39,0,39,0,right,0.5087920269,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,40,0,40,0,right,0.908779316349,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,41,0,41,0,right,1.54210288636,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,42,0,42,0,down,0.408791947993,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,43,0,43,0,right,0.525443311897,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,44,0,44,0,down,0.608775526751,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[3.0, 3.0]",1,0,1,1,24,,,,,45,0,45,0,down,0.575468614581,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.6, 2.6]",1,0,2,2,0,,,,,0,0,0,0,down,0.558769171475,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.6, 2.6]",1,0,2,2,0,,,,,1,0,1,0,down,1.7921042681,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.9, 2.9]",4,0,3,3,21,,,,,0,0,0,0,left,0.50876044773,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.9, 2.9]",4,0,3,3,21,,,,,1,0,1,0,left,0.508789658546,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.9, 2.9]",4,0,3,3,21,,,,,2,0,2,0,left,0.708796921652,VS,m,34,60.0016579583,Set,2017_12_20_2033,
"[2.9, 2.9]",4,0,3,3,21,,,,,3,0,3,0,left,0.642112439149,VS,m,34,60.0016579583,Set,2017_12_20_2033,
