size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",3,0,0,0,2,,,,,0,0,0,0,down,2.35879664542,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.6, 2.6]",3,0,0,0,2,,,,,1,0,1,0,down,1.60876171093,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",5,0,1,1,22,,,,,0,0,0,0,down,0.708802448004,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",5,0,1,1,22,,,,,1,0,1,0,down,0.708781921538,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",2,0,2,2,7,,,,,0,0,0,0,down,0.525511996471,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",2,0,2,2,7,,,,,1,0,1,0,down,0.475476035848,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.6, 2.6]",5,0,3,3,4,,,,,0,0,0,0,down,0.675448167254,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.6, 2.6]",5,0,3,3,4,,,,,1,0,1,0,down,0.542123018065,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",6,0,4,4,11,,,,,0,0,0,0,down,1.51693944458,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",6,0,4,4,11,,,,,1,0,1,0,down,0.558802329586,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",5,0,5,5,10,,,,,0,0,0,0,down,1.3254672332,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",5,0,5,5,10,,,,,1,0,1,0,down,2.4921024522,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",4,0,6,6,15,,,,,0,0,0,0,down,1.89211697865,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",4,0,6,6,15,,,,,1,0,1,0,down,0.57546703564,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",1,0,7,7,24,,,,,0,0,0,0,down,0.758783145342,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",1,0,7,7,24,,,,,1,0,1,0,down,0.642127439147,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",5,0,8,8,28,,,,,0,0,0,0,down,0.966894799611,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",5,0,8,8,28,,,,,1,0,1,0,down,0.608799605863,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",1,0,9,9,12,,,,,0,0,0,0,down,0.975472088438,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",1,0,9,9,12,,,,,1,0,1,0,down,1.89203526767,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",3,0,10,10,26,,,,,0,0,0,0,left,0.708776000538,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",3,0,10,10,26,,,,,1,0,1,0,down,0.675466719898,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",3,0,10,10,26,,,,,2,0,2,0,down,0.592117531342,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",1,0,11,11,18,,,,,0,0,0,0,down,0.592127794516,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",1,0,11,11,18,,,,,1,0,1,0,down,0.575444140937,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",4,0,12,12,21,,,,,0,0,0,0,down,0.658680039458,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",4,0,12,12,21,,,,,1,0,1,0,down,0.375456614653,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",6,0,13,13,29,,,,,0,0,0,0,down,0.575463088346,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",6,0,13,13,29,,,,,1,0,1,0,down,0.292117689154,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.6, 2.6]",6,0,14,14,5,,,,,0,0,0,0,down,0.916896733805,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.6, 2.6]",6,0,14,14,5,,,,,1,0,1,0,down,0.375495693763,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",5,0,15,15,16,,,,,0,0,0,0,left,0.675455272431,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",5,0,15,15,16,,,,,1,0,1,0,down,0.425460996223,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",5,0,15,15,16,,,,,2,0,2,0,down,0.408778132056,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",6,0,16,16,23,,,,,0,0,0,0,down,0.516926418175,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.9, 2.9]",6,0,16,16,23,,,,,1,0,1,0,down,0.342135097133,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",1,0,17,17,6,,,,,0,0,0,0,down,0.508780184784,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",1,0,17,17,6,,,,,1,0,1,0,down,0.258804066456,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",4,0,18,18,9,,,,,0,0,0,0,down,0.400239133043,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.7, 2.7]",4,0,18,18,9,,,,,1,0,1,0,down,0.242118439055,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",2,0,19,19,25,,,,,0,0,0,0,left,0.642125070677,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",2,0,19,19,25,,,,,1,0,1,0,down,0.342098781141,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",2,0,19,19,25,,,,,2,0,2,0,down,0.208802053239,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",4,0,20,20,27,,,,,0,0,0,0,down,0.258808408631,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[3.0, 3.0]",4,0,20,20,27,,,,,1,0,1,0,down,0.358760329313,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.6, 2.6]",1,0,21,21,0,,,,,0,0,0,0,down,0.483583190129,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.6, 2.6]",1,0,21,21,0,,,,,1,0,1,0,down,1.10891052766,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",6,0,22,22,17,,,,,0,0,0,0,left,0.542134860298,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
"[2.8, 2.8]",6,0,22,22,17,,,,,1,0,1,0,down,0.425443627639,ZEV,m,23,59.9962581048,Set,2017_12_20_2012,
