"","answer.keys","n","size","trials_3.thisRepN","participant"
"1","down",1,1,1,"AFA"
"2","right",1,2,1,"AFA"
"3","left",2,3,1,"AFA"
"4","left",1,4,1,"AFA"
"5","left",6,4,1,"AFA"
"6","left",4,4,1,"AFA"
"7","right",3,1,1,"AFA"
"8","down",4,1,1,"AFA"
"9","down",2,2,1,"AFA"
"10","down",1,5,1,"AFA"
"11","left",6,5,1,"AFA"
"12","left",3,2,1,"AFA"
"13","right",2,5,1,"AFA"
"14","left",5,2,1,"AFA"
"15","right",6,1,1,"AFA"
"16","right",4,2,1,"AFA"
"17","down",2,4,1,"AFA"
"18","left",1,3,1,"AFA"
"19","down",5,1,1,"AFA"
"20","right",5,3,1,"AFA"
"21","down",3,5,1,"AFA"
"22","left",5,5,1,"AFA"
"23","left",3,4,1,"AFA"
"24","down",3,3,1,"AFA"
"25","down",2,1,1,"AFA"
"26","left",6,3,1,"AFA"
"27","left",5,4,1,"AFA"
"28","left",4,5,1,"AFA"
"29","left",4,3,1,"AFA"
"30","down",6,2,1,"AFA"
"31","down",3,1,1,"IOA"
"32","right",2,1,1,"IOA"
"33","right",2,3,1,"IOA"
"34","left",2,5,1,"IOA"
"35","down",5,5,1,"IOA"
"36","down",4,1,1,"IOA"
"37","right",1,3,1,"IOA"
"38","left",4,2,1,"IOA"
"39","down",5,1,1,"IOA"
"40","right",1,2,1,"IOA"
"41","right",6,2,1,"IOA"
"42","left",3,2,1,"IOA"
"43","left",4,4,1,"IOA"
"44","left",2,2,1,"IOA"
"45","left",4,5,1,"IOA"
"46","left",2,4,1,"IOA"
"47","right",1,4,1,"IOA"
"48","left",4,3,1,"IOA"
"49","left",1,5,1,"IOA"
"50","left",6,3,1,"IOA"
"51","left",5,2,1,"IOA"
"52","left",3,3,1,"IOA"
"53","right",1,1,1,"IOA"
"54","right",5,2,1,"IZ"
"55","down",3,5,1,"IZ"
"56","down",3,2,1,"IZ"
"57","right",2,2,1,"IZ"
"58","down",1,3,1,"IZ"
"59","down",5,3,1,"IZ"
"60","down",4,3,1,"IZ"
"61","down",5,4,1,"IZ"
"62","down",6,3,1,"IZ"
"63","down",6,4,1,"IZ"
"64","right",1,2,1,"IZ"
"65","down",2,5,1,"IZ"
"66","down",2,4,1,"IZ"
"67","down",6,2,1,"IZ"
"68","down",4,5,1,"IZ"
"69","down",2,3,1,"IZ"
"70","down",1,4,1,"IZ"
"71","down",6,1,1,"IZ"
"72","left",5,5,1,"IZ"
"73","down",1,5,1,"IZ"
"74","down",3,4,1,"IZ"
"75","down",6,5,1,"IZ"
"76","down",3,1,1,"IZ"
"77","down",5,1,1,"IZ"
"78","left",4,4,1,"IZ"
"79","down",3,3,1,"IZ"
"80","down",1,1,1,"IZ"
"81","down",4,1,1,"IZ"
"82","down",4,2,1,"IZ"
"83","down",2,1,1,"IZ"
"84","down",1,5,1,"KAR"
"85","down",6,2,1,"KAR"
"86","right",1,3,1,"KAR"
"87","down",4,3,1,"KAR"
"88","down",2,5,1,"KAR"
"89","down",5,4,1,"KAR"
"90","left",6,5,1,"KAR"
"91","down",5,5,1,"KAR"
"92","left",6,1,1,"KAR"
"93","down",2,4,1,"KAR"
"94","down",5,1,1,"KAR"
"95","down",3,1,1,"KAR"
