"","answer.keys","n","size","trials_3.thisRepN","participant","gender","age"
"1","down",5,3,0,"AS","f",24
"2","down",5,3,1,"AS","f",24
"3","down",6,1,0,"AS","f",24
"4","down",6,1,1,"AS","f",24
"5","right",6,1,2,"AS","f",24
"6","down",6,1,3,"AS","f",24
"7","right",6,1,4,"AS","f",24
"8","right",6,1,5,"AS","f",24
"9","down",6,1,6,"AS","f",24
"10","down",6,1,7,"AS","f",24
"11","down",5,4,0,"AS","f",24
"12","down",5,4,1,"AS","f",24
"13","right",5,4,2,"AS","f",24
"14","down",5,4,3,"AS","f",24
"15","down",5,4,4,"AS","f",24
"16","right",5,4,5,"AS","f",24
"17","right",5,4,6,"AS","f",24
"18","down",5,4,7,"AS","f",24
"19","down",5,4,8,"AS","f",24
"20","right",5,4,9,"AS","f",24
"21","right",5,4,10,"AS","f",24
"22","down",5,4,11,"AS","f",24
"23","down",5,4,12,"AS","f",24
"24","right",4,3,0,"AS","f",24
"25","right",4,3,1,"AS","f",24
"26","down",4,3,2,"AS","f",24
"27","right",4,3,3,"AS","f",24
"28","down",4,3,4,"AS","f",24
"29","down",4,3,5,"AS","f",24
"30","right",4,3,6,"AS","f",24
"31","down",4,3,7,"AS","f",24
"32","down",4,3,8,"AS","f",24
"33","right",4,3,9,"AS","f",24
"34","down",4,3,10,"AS","f",24
"35","right",4,3,11,"AS","f",24
"36","down",4,3,12,"AS","f",24
"37","right",4,3,13,"AS","f",24
"38","down",4,3,14,"AS","f",24
"39","down",4,3,15,"AS","f",24
"40","right",3,3,0,"AS","f",24
"41","right",3,3,1,"AS","f",24
"42","down",3,3,2,"AS","f",24
"43","right",3,3,3,"AS","f",24
"44","down",3,3,4,"AS","f",24
"45","right",3,3,5,"AS","f",24
"46","down",3,3,6,"AS","f",24
"47","down",3,3,7,"AS","f",24
"48","down",4,1,0,"AS","f",24
"49","down",4,1,1,"AS","f",24
"50","down",3,4,0,"AS","f",24
"51","down",3,4,1,"AS","f",24
"52","down",1,1,0,"AS","f",24
"53","down",1,1,1,"AS","f",24
"54","down",3,5,0,"AS","f",24
"55","down",3,5,1,"AS","f",24
"56","down",1,2,0,"AS","f",24
"57","down",1,2,1,"AS","f",24
"58","down",2,4,0,"AS","f",24
"59","down",2,4,1,"AS","f",24
"60","down",4,4,0,"AS","f",24
"61","down",4,4,1,"AS","f",24
"62","down",2,3,0,"AS","f",24
"63","down",2,3,1,"AS","f",24
"64","down",4,2,0,"AS","f",24
"65","down",4,2,1,"AS","f",24
"66","down",6,5,0,"AS","f",24
"67","down",6,5,1,"AS","f",24
"68","down",5,5,0,"AS","f",24
"69","down",5,5,1,"AS","f",24
"70","down",2,5,0,"AS","f",24
"71","down",2,5,1,"AS","f",24
"72","right",2,5,2,"AS","f",24
"73","down",2,5,3,"AS","f",24
"74","down",2,5,4,"AS","f",24
"75","down",4,5,0,"AS","f",24
"76","down",4,5,1,"AS","f",24
"77","down",5,1,0,"AS","f",24
"78","down",5,1,1,"AS","f",24
"79","down",2,1,0,"AS","f",24
"80","down",2,1,1,"AS","f",24
"81","down",3,2,0,"AS","f",24
"82","right",3,2,1,"AS","f",24
"83","down",3,2,2,"AS","f",24
"84","down",3,2,3,"AS","f",24
"85","down",5,2,0,"AS","f",24
"86","down",5,2,1,"AS","f",24
"87","down",6,2,0,"AS","f",24
"88","down",6,2,1,"AS","f",24
"89","down",6,4,0,"AS","f",24
"90","down",6,4,1,"AS","f",24
"91","down",1,3,0,"AS","f",24
"92","down",1,3,1,"AS","f",24
"93","down",6,3,0,"AS","f",24
"94","down",6,3,1,"AS","f",24
"95","down",2,2,0,"AS","f",24
"96","down",2,2,1,"AS","f",24
"97","down",1,4,0,"AS","f",24
"98","down",1,4,1,"AS","f",24
"99","down",1,5,0,"AS","f",24
"100","down",1,5,1,"AS","f",24
"101","down",3,1,0,"AS","f",24
"102","down",3,1,1,"AS","f",24
"103","down",1,5,0,"AVD","f",18
"104","right",1,5,1,"AVD","f",18
"105","right",1,5,2,"AVD","f",18
"106","right",1,5,3,"AVD","f",18
"107","right",1,5,4,"AVD","f",18
"108","right",1,5,5,"AVD","f",18
"109","down",1,5,6,"AVD","f",18
"110","down",1,5,7,"AVD","f",18
"111","right",2,4,0,"AVD","f",18
"112","right",2,4,1,"AVD","f",18
"113","right",2,4,2,"AVD","f",18
"114","right",2,4,3,"AVD","f",18
"115","down",2,4,4,"AVD","f",18
"116","right",2,4,5,"AVD","f",18
"117","right",2,4,6,"AVD","f",18
"118","right",2,4,7,"AVD","f",18
"119","right",2,4,8,"AVD","f",18
"120","down",2,4,9,"AVD","f",18
"121","right",2,4,10,"AVD","f",18
"122","down",2,4,11,"AVD","f",18
"123","right",2,4,12,"AVD","f",18
"124","right",2,4,13,"AVD","f",18
"125","right",2,4,14,"AVD","f",18
"126","down",2,4,15,"AVD","f",18
"127","down",2,4,16,"AVD","f",18
"128","right",1,2,0,"AVD","f",18
"129","right",1,2,1,"AVD","f",18
"130","down",1,2,2,"AVD","f",18
"131","down",1,2,3,"AVD","f",18
"132","right",2,1,0,"AVD","f",18
"133","right",2,1,1,"AVD","f",18
"134","right",2,1,2,"AVD","f",18
"135","right",2,1,3,"AVD","f",18
"136","down",2,1,4,"AVD","f",18
"137","right",2,1,5,"AVD","f",18
"138","down",2,1,6,"AVD","f",18
"139","right",2,1,7,"AVD","f",18
"140","down",2,1,8,"AVD","f",18
"141","down",2,1,9,"AVD","f",18
"142","right",5,3,0,"AVD","f",18
"143","right",5,3,1,"AVD","f",18
"144","right",5,3,2,"AVD","f",18
"145","left",5,3,3,"AVD","f",18
"146","down",5,3,4,"AVD","f",18
"147","down",5,3,5,"AVD","f",18
"148","right",4,1,0,"AVD","f",18
"149","down",4,1,1,"AVD","f",18
"150","down",4,1,2,"AVD","f",18
"151","right",5,5,0,"AVD","f",18
"152","down",5,5,1,"AVD","f",18
"153","down",5,5,2,"AVD","f",18
"154","down",6,4,0,"AVD","f",18
"155","down",6,4,1,"AVD","f",18
"156","right",6,5,0,"AVD","f",18
"157","down",6,5,1,"AVD","f",18
"158","down",6,5,2,"AVD","f",18
"159","right",6,5,3,"AVD","f",18
"160","right",6,5,4,"AVD","f",18
"161","down",6,5,5,"AVD","f",18
"162","down",6,5,6,"AVD","f",18
"163","right",4,4,0,"AVD","f",18
"164","down",4,4,1,"AVD","f",18
"165","down",4,4,2,"AVD","f",18
"166","down",4,3,0,"AVD","f",18
"167","down",4,3,1,"AVD","f",18
"168","right",2,5,0,"AVD","f",18
"169","down",2,5,1,"AVD","f",18
"170","down",2,5,2,"AVD","f",18
"171","down",5,1,0,"AVD","f",18
"172","down",5,1,1,"AVD","f",18
"173","down",3,1,0,"AVD","f",18
"174","down",3,1,1,"AVD","f",18
"175","down",1,4,0,"AVD","f",18
"176","down",1,4,1,"AVD","f",18
"177","down",4,2,0,"AVD","f",18
"178","down",4,2,1,"AVD","f",18
"179","down",5,4,0,"AVD","f",18
"180","down",5,4,1,"AVD","f",18
"181","down",1,1,0,"AVD","f",18
"182","down",1,1,1,"AVD","f",18
"183","down",2,2,0,"AVD","f",18
"184","down",2,2,1,"AVD","f",18
"185","right",3,5,0,"AVD","f",18
"186","down",3,5,1,"AVD","f",18
"187","down",3,5,2,"AVD","f",18
