number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.12,14.652,0.27,22.404,,,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
,,1,0,1,0,,,,,,,,,,,,,0.11,8.465,0.33,23.741,,,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
,,2,0,2,0,,,,,,,,,,,,,0.09,7.747,0.32,16.762,,,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,0,0,0,0,,,,,down,6.5335544401,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,1,0,1,0,,,,,left,5.35020542247,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,2,0,2,0,,,,,down,1.08358254554,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,3,0,3,0,,,,,down,7.96687227333,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,4,0,4,0,,,,,right,0.783590361418,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,5,0,5,0,,,,,right,0.833602282539,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,6,0,6,0,,,,,down,1.26686643119,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,7,0,7,0,,,,,left,0.583612545772,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,8,0,8,0,,,,,down,1.46690661568,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
3,2,,,,,0,0,0,10,,,,,9,0,9,0,,,,,down,1.9336032299,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,0,0,0,0,,,,,down,0.766846694227,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,1,0,1,0,,,,,down,1.03356746651,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,2,0,2,0,,,,,right,0.800232975278,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,3,0,3,0,,,,,right,0.583635045914,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,4,0,4,0,,,,,right,0.333584124513,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,5,0,5,0,,,,,down,0.416906931467,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,6,0,6,0,,,,,right,0.566929273744,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,7,0,7,0,,,,,right,0.366893431376,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,8,0,8,0,,,,,right,0.350508582429,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,9,0,9,0,,,,,down,0.683597703581,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
5,3,,,,,0,1,1,20,,,,,10,0,10,0,,,,,down,0.533619572147,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,0,0,0,0,,,,,right,1.75027829138,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,1,0,1,0,,,,,down,1.0835580717,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,2,0,2,0,,,,,down,0.566903615661,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,3,0,3,0,,,,,right,0.450234791089,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,4,0,4,0,,,,,down,0.50024671221,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,5,0,5,0,,,,,down,0.850236606871,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,6,0,6,0,,,,,left,1.85025279119,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,7,0,7,0,,,,,right,1.48356344018,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,8,0,8,0,,,,,right,1.03356115066,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,9,0,9,0,,,,,down,0.650215369882,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
6,3,,,,,0,2,2,21,,,,,10,0,10,0,,,,,down,1.10026029125,AAF,m,22,59.9980579375,Set,2017_04_29_1410,
