number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.0,16.376,0.31,26.459,,,AOM,f,47,60.008290673,Set,2017_05_01_2019,
,,1,0,1,0,,,,,,,,,,,,,0.01,9.314,0.18,24.197,,,AOM,f,47,60.008290673,Set,2017_05_01_2019,
,,2,0,2,0,,,,,,,,,,,,,0.21,19.056,0.25,27.464,,,AOM,f,47,60.008290673,Set,2017_05_01_2019,
7,1,,,,,0,0,0,6,,,,,0,0,0,0,,,,,down,6.54208910378,AOM,f,47,60.008290673,Set,2017_05_01_2019,
7,1,,,,,0,0,0,6,,,,,1,0,1,0,,,,,down,4.20876274415,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,0,0,0,0,,,,,right,5.71688214183,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,1,0,1,0,,,,,down,1.37545217416,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,2,0,2,0,,,,,right,3.79212028824,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,3,0,3,0,,,,,right,2.60878508643,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,4,0,4,0,,,,,right,3.02541885816,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,5,0,5,0,,,,,down,1.0255132009,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,6,0,6,0,,,,,down,0.742127709265,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,7,0,7,0,,,,,left,0.942108682881,AOM,f,47,60.008290673,Set,2017_05_01_2019,
4,1,,,,,0,1,1,3,,,,,8,0,8,0,,,,,down,0.825457621599,AOM,f,47,60.008290673,Set,2017_05_01_2019,
