number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.03,33.267,0.05,25.618,,,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
,,1,0,1,0,,,,,,,,,,,,,0.07,5.615,0.02,16.107,,,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
,,2,0,2,0,,,,,,,,,,,,,0.06,7.697,0.09,16.68,,,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
6,3,,,,,0,0,0,21,,,,,0,0,0,0,,,,,down,10.333488729,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
6,3,,,,,0,0,0,21,,,,,1,0,1,0,,,,,down,13.7834480314,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
4,1,,,,,0,1,1,3,,,,,0,0,0,0,,,,,down,1.16684837831,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
4,1,,,,,0,1,1,3,,,,,1,0,1,0,,,,,down,0.600224290829,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
1,3,,,,,0,2,2,16,,,,,0,0,0,0,,,,,right,8.16681916759,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
1,3,,,,,0,2,2,16,,,,,1,0,1,0,,,,,down,0.733576282189,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
1,3,,,,,0,2,2,16,,,,,2,0,2,0,,,,,down,0.80024221199,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
5,1,,,,,0,3,3,4,,,,,0,0,0,0,,,,,right,1.13358015061,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
5,1,,,,,0,3,3,4,,,,,1,0,1,0,,,,,left,0.816913628689,ARM,m,22,60.0249737028,Set,2017_05_16_2215,
