number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.16,43.417,0.07,35.501,,,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
,,1,0,1,0,,,,,,,,,,,,,0.42,26.988,0.28,20.414,,,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
,,2,0,2,0,,,,,,,,,,,,,0.65,16.922,0.12,35.255,,,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,0,0,0,0,,,,,down,4.59213916934,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,1,0,1,0,,,,,down,5.74208706361,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,2,0,2,0,,,,,right,2.25878057256,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,3,0,3,0,,,,,left,9.658483729,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,4,0,4,0,,,,,down,0.492100484669,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,5,0,5,0,,,,,left,0.708799125394,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,6,0,6,0,,,,,down,0.425459476188,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,7,0,7,0,,,,,down,1.39214548492,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,8,0,8,0,,,,,left,0.725480002584,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,9,0,9,0,,,,,left,1.17546302895,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,10,0,10,0,,,,,down,0.47546026553,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,11,0,11,0,,,,,left,0.542121011298,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,12,0,12,0,,,,,left,0.425607503159,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,13,0,13,0,,,,,down,0.558786493493,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
5,3,,,,,0,0,0,20,,,,,14,0,14,0,,,,,down,0.258830704493,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
3,1,,,,,0,1,1,2,,,,,0,0,0,0,,,,,down,0.450335922651,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
3,1,,,,,0,1,1,2,,,,,1,0,1,0,,,,,left,2.0754523708,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
3,1,,,,,0,1,1,2,,,,,2,0,2,0,,,,,right,0.592132458463,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
3,1,,,,,0,1,1,2,,,,,3,0,3,0,,,,,down,0.258780177683,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
3,1,,,,,0,1,1,2,,,,,4,0,4,0,,,,,down,0.258628597949,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,0,0,0,0,,,,,right,0.658793204231,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,1,0,1,0,,,,,down,0.708803467453,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,2,0,2,0,,,,,down,3.09210837958,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,3,0,3,0,,,,,right,1.542152985,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,4,0,4,0,,,,,down,0.47546500247,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,5,0,5,0,,,,,left,0.858862283407,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,6,0,6,0,,,,,down,6.79204640561,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,7,0,7,0,,,,,right,6.87537144939,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,8,0,8,0,,,,,down,0.542110353243,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,9,0,9,0,,,,,down,0.375473291846,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
1,3,,,,,0,2,2,16,,,,,10,0,10,0,,,,,left,0.675490265712,DFX,m,25,60.0029844133,Set,2017_04_15_1952,
