number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.36,16.109,0.59,14.135,,,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
,,1,0,1,0,,,,,,,,,,,,,0.44,14.68,0.51,15.888,,,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
,,2,0,2,0,,,,,,,,,,,,,0.23,9.355,0.36,17.03,,,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
5,3,,,,,0,0,0,20,,,,,0,0,0,0,,,,,down,4.01685931257,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
5,3,,,,,0,0,0,20,,,,,1,0,1,0,,,,,down,1.0503766207,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
1,2,,,,,0,1,1,8,,,,,0,0,0,0,,,,,down,2.60884618512,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
1,2,,,,,0,1,1,8,,,,,1,0,1,0,,,,,down,1.39211816282,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,1,,,,,0,2,2,5,,,,,0,0,0,0,,,,,right,3.29208689948,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,1,,,,,0,2,2,5,,,,,1,0,1,0,,,,,down,0.875474772591,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,1,,,,,0,2,2,5,,,,,2,0,2,0,,,,,down,0.592146741954,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
8,1,,,,,0,3,3,7,,,,,0,0,0,0,,,,,down,0.575432298676,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
8,1,,,,,0,3,3,7,,,,,1,0,1,0,,,,,down,0.592132136575,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
1,1,,,,,0,4,4,0,,,,,0,0,0,0,,,,,down,0.925459811988,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
1,1,,,,,0,4,4,0,,,,,1,0,1,0,,,,,down,0.742108570645,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
8,3,,,,,0,5,5,23,,,,,0,0,0,0,,,,,down,0.933604071819,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
8,3,,,,,0,5,5,23,,,,,1,0,1,0,,,,,down,0.658807540138,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,3,,,,,0,6,6,22,,,,,0,0,0,0,,,,,left,1.52544015399,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,3,,,,,0,6,6,22,,,,,1,0,1,0,,,,,down,0.608791316365,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,3,,,,,0,6,6,22,,,,,2,0,2,0,,,,,left,0.775411535404,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,3,,,,,0,6,6,22,,,,,3,0,3,0,,,,,down,0.625473391032,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,3,,,,,0,6,6,22,,,,,4,0,4,0,,,,,left,0.508796763781,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,3,,,,,0,6,6,22,,,,,5,0,5,0,,,,,down,0.52548199633,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,3,,,,,0,6,6,22,,,,,6,0,6,0,,,,,down,0.416903049656,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
1,3,,,,,0,7,7,16,,,,,0,0,0,0,,,,,down,0.833551492571,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
1,3,,,,,0,7,7,16,,,,,1,0,1,0,,,,,down,0.758778013638,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
4,3,,,,,0,8,8,19,,,,,0,0,0,0,,,,,down,0.416895154893,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
4,3,,,,,0,8,8,19,,,,,1,0,1,0,,,,,left,1.44212609707,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
4,3,,,,,0,8,8,19,,,,,2,0,2,0,,,,,down,0.408821553399,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
4,3,,,,,0,8,8,19,,,,,3,0,3,0,,,,,down,0.54214117612,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,2,,,,,0,9,9,14,,,,,0,0,0,0,,,,,left,1.13357501899,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,2,,,,,0,9,9,14,,,,,1,0,1,0,,,,,down,0.808620946918,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
7,2,,,,,0,9,9,14,,,,,2,0,2,0,,,,,down,0.608804737509,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,2,,,,,0,10,10,13,,,,,0,0,0,0,,,,,down,0.42544915402,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,2,,,,,0,10,10,13,,,,,1,0,1,0,,,,,down,0.608773947839,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,2,,,,,0,10,10,13,,,,,2,0,2,0,,,,,left,0.658792540053,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,2,,,,,0,10,10,13,,,,,3,0,3,0,,,,,left,0.425466127839,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
6,2,,,,,0,10,10,13,,,,,4,0,4,0,,,,,down,0.558775487327,GSA,m,22,60.0012316132,Set,2017_05_17_1713,
