number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.32,86.234,0.31,26.618,,,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
,,1,0,1,0,,,,,,,,,,,,,0.36,17.28,0.32,21.563,,,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
,,2,0,2,0,,,,,,,,,,,,,0.39,15.63,0.37,21.267,,,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,0,0,0,0,,,,,right,7.00017526422,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,1,0,1,0,,,,,down,23.2833501361,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,2,0,2,0,,,,,left,3.60021086969,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,3,0,3,0,,,,,down,1.75021059338,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,4,0,4,0,,,,,down,1.00006000037,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,5,0,5,0,,,,,left,0.666898904914,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,6,0,6,0,,,,,down,1.8168915233,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,7,0,7,0,,,,,left,0.600229422438,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,8,0,8,0,,,,,left,0.616919391883,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,9,0,9,0,,,,,left,0.533411123273,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,10,0,10,0,,,,,left,0.516922865587,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,11,0,11,0,,,,,left,0.550246356754,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,12,0,12,0,,,,,left,0.66690995761,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,13,0,13,0,,,,,left,0.48356147945,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,14,0,14,0,,,,,left,0.550238067233,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,15,0,15,0,,,,,left,0.583561953143,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,16,0,16,0,,,,,left,0.583562347878,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,17,0,17,0,,,,,left,0.416901470722,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,18,0,18,0,,,,,left,0.450251409413,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
8,1,,,,,0,0,0,7,,,,,19,0,19,0,,,,,left,0.450251014678,LDS,f,20,60.0165836315,Set,2017_05_05_1327,
