number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.17,12.135,1.0,4.187,,,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
,,1,0,1,0,,,,,,,,,,,,,0.1,6.105,0.51,11.035,,,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
,,2,0,2,0,,,,,,,,,,,,,0.12,5.747,0.4,13.497,,,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
3,2,,,,,0,0,0,10,,,,,0,0,0,0,,,,,down,2.41691443152,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
3,2,,,,,0,0,0,10,,,,,1,0,1,0,,,,,down,2.26687156278,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
1,2,,,,,0,1,1,8,,,,,0,0,0,0,,,,,down,1.88364815127,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
1,2,,,,,0,1,1,8,,,,,1,0,1,0,,,,,down,3.3168661154,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
1,2,,,,,0,1,1,8,,,,,2,0,2,0,,,,,left,1.1169025104,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
1,2,,,,,0,1,1,8,,,,,3,0,3,0,,,,,down,2.76687590496,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
1,2,,,,,0,1,1,8,,,,,4,0,4,0,,,,,left,0.916886799736,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
1,2,,,,,0,1,1,8,,,,,5,0,5,0,,,,,left,1.20022058047,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
1,2,,,,,0,1,1,8,,,,,6,0,6,0,,,,,left,0.600227922609,M.N,F,24,59.9999052672,Set,2017_04_28_1457,
