number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.16,24.435,0.08,28.834,,,MB,f,19,59.994126855,Set,2017_05_17_1412,
,,1,0,1,0,,,,,,,,,,,,,0.06,15.218,0.05,34.38,,,MB,f,19,59.994126855,Set,2017_05_17_1412,
,,2,0,2,0,,,,,,,,,,,,,0.06,14.984,0.05,34.198,,,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,0,0,0,0,,,,,right,7.53350033436,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,1,0,1,0,,,,,right,5.23351075547,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,2,0,2,0,,,,,down,0.816865865228,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,3,0,3,0,,,,,down,0.666901668097,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,4,0,4,0,,,,,left,0.633598703338,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,5,0,5,0,,,,,left,0.433660914277,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,6,0,6,0,,,,,left,0.316911654983,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,7,0,7,0,,,,,down,0.733551808342,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,8,0,8,0,,,,,left,0.316912049719,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,9,0,9,0,,,,,left,0.20024331726,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,10,0,10,0,,,,,left,0.20022792244,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,11,0,11,0,,,,,left,0.200237001438,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,12,0,12,0,,,,,left,0.300427739421,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,13,0,13,0,,,,,left,0.316910865513,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,14,0,14,0,,,,,down,0.683574663737,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,3,,,,,0,0,0,22,,,,,15,0,15,0,,,,,down,0.53357612429,MB,f,19,59.994126855,Set,2017_05_17_1412,
1,2,,,,,0,1,1,8,,,,,0,0,0,0,,,,,down,1.65018643535,MB,f,19,59.994126855,Set,2017_05_17_1412,
1,2,,,,,0,1,1,8,,,,,1,0,1,0,,,,,down,0.850235540915,MB,f,19,59.994126855,Set,2017_05_17_1412,
1,2,,,,,0,1,1,8,,,,,2,0,2,0,,,,,left,0.583585242741,MB,f,19,59.994126855,Set,2017_05_17_1412,
1,2,,,,,0,1,1,8,,,,,3,0,3,0,,,,,left,0.350262383145,MB,f,19,59.994126855,Set,2017_05_17_1412,
1,2,,,,,0,1,1,8,,,,,4,0,4,0,,,,,left,0.316904154926,MB,f,19,59.994126855,Set,2017_05_17_1412,
1,2,,,,,0,1,1,8,,,,,5,0,5,0,,,,,down,0.483582005894,MB,f,19,59.994126855,Set,2017_05_17_1412,
1,2,,,,,0,1,1,8,,,,,6,0,6,0,,,,,down,0.583546163543,MB,f,19,59.994126855,Set,2017_05_17_1412,
6,3,,,,,0,2,2,21,,,,,0,0,0,0,,,,,right,4.66687758901,MB,f,19,59.994126855,Set,2017_05_17_1412,
6,3,,,,,0,2,2,21,,,,,1,0,1,0,,,,,down,0.633569887403,MB,f,19,59.994126855,Set,2017_05_17_1412,
6,3,,,,,0,2,2,21,,,,,2,0,2,0,,,,,down,0.400266370008,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,1,,,,,0,3,3,6,,,,,0,0,0,0,,,,,down,0.450226935587,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,1,,,,,0,3,3,6,,,,,1,0,1,0,,,,,left,2.65021051443,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,1,,,,,0,3,3,6,,,,,2,0,2,0,,,,,down,0.550224251376,MB,f,19,59.994126855,Set,2017_05_17_1412,
7,1,,,,,0,3,3,6,,,,,3,0,3,0,,,,,down,0.283575137437,MB,f,19,59.994126855,Set,2017_05_17_1412,
4,1,,,,,0,4,4,3,,,,,0,0,0,0,,,,,down,0.833594124386,MB,f,19,59.994126855,Set,2017_05_17_1412,
4,1,,,,,0,4,4,3,,,,,1,0,1,0,,,,,down,1.31689468122,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,0,0,0,0,,,,,right,0.733580624306,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,1,0,1,0,,,,,right,0.433562229446,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,2,0,2,0,,,,,down,0.850234751415,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,3,0,3,0,,,,,down,0.466888878524,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,4,0,4,0,,,,,right,1.05021596182,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,5,0,5,0,,,,,down,0.483565821603,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,6,0,6,0,,,,,left,0.500241580419,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,7,0,7,0,,,,,left,0.566899615427,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,8,0,8,0,,,,,down,0.433711046149,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,9,0,9,0,,,,,left,0.366888799588,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,10,0,10,0,,,,,left,0.433562624181,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,11,0,11,0,,,,,left,0.300216159201,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,12,0,12,0,,,,,left,0.35024896203,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,13,0,13,0,,,,,left,0.333605177089,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,14,0,14,0,,,,,left,0.533578097995,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,15,0,15,0,,,,,down,0.450233646145,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,16,0,16,0,,,,,left,0.383633243066,MB,f,19,59.994126855,Set,2017_05_17_1412,
8,1,,,,,0,5,5,7,,,,,17,0,17,0,,,,,down,0.583653532638,MB,f,19,59.994126855,Set,2017_05_17_1412,
