number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.43,20.767,0.65,10.969,,,Mil,f,20,59.991095993,Set,2017_04_29_1731,
,,1,0,1,0,,,,,,,,,,,,,0.55,12.951,0.25,24.377,,,Mil,f,20,59.991095993,Set,2017_04_29_1731,
,,2,0,2,0,,,,,,,,,,,,,0.37,14.598,0.3,15.663,,,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,0,0,0,0,,,,,down,8.96670214061,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,1,0,1,0,,,,,right,14.6305715513,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,2,0,2,0,,,,,down,2.53355996648,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,3,0,3,0,,,,,left,8.60031318635,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,4,0,4,0,,,,,down,1.30035258137,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,5,0,5,0,,,,,down,1.16688166815,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,6,0,6,0,,,,,left,7.95011557973,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,7,0,7,0,,,,,down,1.85064989919,Mil,f,20,59.991095993,Set,2017_04_29_1731,
4,2,,,,,0,0,0,11,,,,,8,0,8,0,,,,,down,1.10027963351,Mil,f,20,59.991095993,Set,2017_04_29_1731,
6,2,,,,,0,1,1,13,,,,,0,0,0,0,,,,,down,2.75006473728,Mil,f,20,59.991095993,Set,2017_04_29_1731,
6,2,,,,,0,1,1,13,,,,,1,0,1,0,,,,,left,12.2001779486,Mil,f,20,59.991095993,Set,2017_04_29_1731,
6,2,,,,,0,1,1,13,,,,,2,0,2,0,,,,,down,1.13359209828,Mil,f,20,59.991095993,Set,2017_04_29_1731,
6,2,,,,,0,1,1,13,,,,,3,0,3,0,,,,,down,1.05026139651,Mil,f,20,59.991095993,Set,2017_04_29_1731,
8,2,,,,,0,2,2,15,,,,,0,0,0,0,,,,,left,6.96685766798,Mil,f,20,59.991095993,Set,2017_04_29_1731,
8,2,,,,,0,2,2,15,,,,,1,0,1,0,,,,,left,3.0502392911,Mil,f,20,59.991095993,Set,2017_04_29_1731,
8,2,,,,,0,2,2,15,,,,,2,0,2,0,,,,,down,1.15028681775,Mil,f,20,59.991095993,Set,2017_04_29_1731,
8,2,,,,,0,2,2,15,,,,,3,0,3,0,,,,,down,2.23356225595,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,0,0,0,0,,,,,right,4.61697001083,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,1,0,1,0,,,,,down,1.25039000268,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,2,0,2,0,,,,,left,2.31689532613,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,3,0,3,0,,,,,left,0.933581519232,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,4,0,4,0,,,,,left,0.866910405195,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,5,0,5,0,,,,,down,1.01676814104,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,6,0,6,0,,,,,left,1.45027663349,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,7,0,7,0,,,,,down,0.916921142081,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,8,0,8,0,,,,,left,1.41689469456,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,9,0,9,0,,,,,down,1.53358799298,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,10,0,10,0,,,,,down,0.550227843662,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,11,0,11,0,,,,,left,0.716914905206,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,12,0,12,0,,,,,left,0.933584677143,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,13,0,13,0,,,,,down,0.550117711333,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,14,0,14,0,,,,,left,0.633585782431,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,15,0,15,0,,,,,left,0.733594229852,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,16,0,16,0,,,,,left,0.800251133303,Mil,f,20,59.991095993,Set,2017_04_29_1731,
2,3,,,,,0,3,3,17,,,,,17,0,17,0,,,,,left,0.833541887405,Mil,f,20,59.991095993,Set,2017_04_29_1731,
