number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.14,20.701,0.32,17.718,,,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
,,1,0,1,0,,,,,,,,,,,,,0.16,13.13,0.43,14.497,,,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
,,2,0,2,0,,,,,,,,,,,,,0.39,14.864,0.3,17.447,,,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,2,,,,,0,0,0,15,,,,,0,0,0,0,,,,,down,5.06677758833,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,2,,,,,0,0,0,15,,,,,1,0,1,0,,,,,left,3.57539118617,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,2,,,,,0,0,0,15,,,,,2,0,2,0,,,,,down,1.00878570415,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,2,,,,,0,0,0,15,,,,,3,0,3,0,,,,,down,0.592174300924,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,2,,,,,0,0,0,15,,,,,4,0,4,0,,,,,right,1.17543263384,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,2,,,,,0,0,0,15,,,,,5,0,5,0,,,,,down,0.491970220814,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,2,,,,,0,0,0,15,,,,,6,0,6,0,,,,,down,14.6419646947,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,2,,,,,0,1,1,14,,,,,0,0,0,0,,,,,left,2.06683245697,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,2,,,,,0,1,1,14,,,,,1,0,1,0,,,,,left,1.47552105552,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,2,,,,,0,1,1,14,,,,,2,0,2,0,,,,,left,0.908783335704,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,2,,,,,0,1,1,14,,,,,3,0,3,0,,,,,down,0.542164037703,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,2,,,,,0,1,1,14,,,,,4,0,4,0,,,,,down,0.358795572538,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,1,,,,,0,2,2,6,,,,,0,0,0,0,,,,,down,1.12546223938,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,1,,,,,0,2,2,6,,,,,1,0,1,0,,,,,left,0.458812941099,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,1,,,,,0,2,2,6,,,,,2,0,2,0,,,,,down,0.47544802865,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,1,,,,,0,2,2,6,,,,,3,0,3,0,,,,,down,0.608818862122,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,1,,,,,0,3,3,3,,,,,0,0,0,0,,,,,left,1.19211587962,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,1,,,,,0,3,3,3,,,,,1,0,1,0,,,,,left,0.508787677856,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,1,,,,,0,3,3,3,,,,,2,0,2,0,,,,,down,1.74214785337,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,1,,,,,0,3,3,3,,,,,3,0,3,0,,,,,down,0.642142327037,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,3,,,,,0,4,4,22,,,,,0,0,0,0,,,,,left,1.04197614198,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,3,,,,,0,4,4,22,,,,,1,0,1,0,,,,,left,0.508789651562,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,3,,,,,0,4,4,22,,,,,2,0,2,0,,,,,left,0.775472897105,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,3,,,,,0,4,4,22,,,,,3,0,3,0,,,,,down,0.542126537533,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
7,3,,,,,0,4,4,22,,,,,4,0,4,0,,,,,down,0.558782546315,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,1,,,,,0,5,5,1,,,,,0,0,0,0,,,,,down,0.625469739316,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,1,,,,,0,5,5,1,,,,,1,0,1,0,,,,,left,0.78360728221,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,1,,,,,0,5,5,1,,,,,2,0,2,0,,,,,left,0.575447633862,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,1,,,,,0,5,5,1,,,,,3,0,3,0,,,,,down,0.742181011476,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,1,,,,,0,5,5,1,,,,,4,0,4,0,,,,,down,0.458793204045,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,1,,,,,0,6,6,4,,,,,0,0,0,0,,,,,left,0.566936668009,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,1,,,,,0,6,6,4,,,,,1,0,1,0,,,,,left,0.43359741359,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,1,,,,,0,6,6,4,,,,,2,0,2,0,,,,,down,0.642101274338,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,1,,,,,0,6,6,4,,,,,3,0,3,0,,,,,down,0.975454739295,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,3,,,,,0,7,7,16,,,,,0,0,0,0,,,,,left,0.683577676769,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,3,,,,,0,7,7,16,,,,,1,0,1,0,,,,,left,0.875442502322,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,3,,,,,0,7,7,16,,,,,2,0,2,0,,,,,down,0.39215456415,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,3,,,,,0,7,7,16,,,,,3,0,3,0,,,,,down,0.35872925655,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,1,,,,,0,8,8,0,,,,,0,0,0,0,,,,,left,0.658782546176,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,1,,,,,0,8,8,0,,,,,1,0,1,0,,,,,right,0.758782940917,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,1,,,,,0,8,8,0,,,,,2,0,2,0,,,,,down,0.458776625339,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,1,,,,,0,8,8,0,,,,,3,0,3,0,,,,,down,0.408860704396,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
3,2,,,,,0,9,9,10,,,,,0,0,0,0,,,,,left,0.475443686591,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
3,2,,,,,0,9,9,10,,,,,1,0,1,0,,,,,left,0.408853204455,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
3,2,,,,,0,9,9,10,,,,,2,0,2,0,,,,,left,0.35878649354,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
3,2,,,,,0,9,9,10,,,,,3,0,3,0,,,,,down,0.458808993688,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
3,2,,,,,0,9,9,10,,,,,4,0,4,0,,,,,down,0.292117853416,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,3,,,,,0,10,10,17,,,,,0,0,0,0,,,,,left,0.408803862054,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,3,,,,,0,10,10,17,,,,,1,0,1,0,,,,,left,0.375457502436,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,3,,,,,0,10,10,17,,,,,2,0,2,0,,,,,down,0.475467765704,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
2,3,,,,,0,10,10,17,,,,,3,0,3,0,,,,,down,0.20879636216,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,1,,,,,0,11,11,7,,,,,0,0,0,0,,,,,left,0.475306712091,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,1,,,,,0,11,11,7,,,,,1,0,1,0,,,,,down,0.492110748077,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,1,,,,,0,11,11,7,,,,,2,0,2,0,,,,,down,0.225482370937,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,3,,,,,0,12,12,21,,,,,0,0,0,0,,,,,left,0.525472897105,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,3,,,,,0,12,12,21,,,,,1,0,1,0,,,,,down,0.492130484898,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,3,,,,,0,12,12,21,,,,,2,0,2,0,,,,,left,0.975438949652,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,3,,,,,0,12,12,21,,,,,3,0,3,0,,,,,down,0.392141932389,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,3,,,,,0,12,12,21,,,,,4,0,4,0,,,,,down,0.408802677877,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,2,,,,,0,13,13,12,,,,,0,0,0,0,,,,,left,0.425422370667,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,2,,,,,0,13,13,12,,,,,1,0,1,0,,,,,down,0.425481976243,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,2,,,,,0,13,13,12,,,,,2,0,2,0,,,,,down,0.342171143042,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,0,0,0,0,,,,,left,0.425447633956,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,1,0,1,0,,,,,left,0.825531318551,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,2,0,2,0,,,,,down,0.308788862079,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,3,0,3,0,,,,,left,0.342111142585,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,4,0,4,0,,,,,left,0.45878807269,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,5,0,5,0,,,,,left,0.375463028904,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,6,0,6,0,,,,,down,0.57544921292,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
5,3,,,,,0,14,14,20,,,,,7,0,7,0,,,,,down,0.125463028671,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,2,,,,,0,15,15,8,,,,,0,0,0,0,,,,,down,0.608806230593,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
1,2,,,,,0,15,15,8,,,,,1,0,1,0,,,,,down,0.375427502207,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,2,,,,,0,16,16,13,,,,,0,0,0,0,,,,,left,0.392134432448,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,2,,,,,0,16,16,13,,,,,1,0,1,0,,,,,left,0.442141932203,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,2,,,,,0,16,16,13,,,,,2,0,2,0,,,,,down,0.466912983684,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
6,2,,,,,0,16,16,13,,,,,3,0,3,0,,,,,down,0.342118248111,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,0,0,0,0,,,,,left,0.508795967326,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,1,0,1,0,,,,,down,0.483587150462,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,2,0,2,0,,,,,down,0.100264080334,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,3,0,3,0,,,,,left,0.375474476255,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,4,0,4,0,,,,,left,0.458782151341,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,5,0,5,0,,,,,left,0.292116669007,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,6,0,6,0,,,,,down,0.992107589962,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,7,0,7,0,,,,,left,0.775447239168,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,8,0,8,0,,,,,right,0.47545276559,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,9,0,9,0,,,,,down,0.525472502457,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,10,0,10,0,,,,,left,0.658808598993,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,11,0,11,0,,,,,down,0.542132063769,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
8,3,,,,,0,17,17,23,,,,,12,0,12,0,,,,,down,0.325451975921,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,0,0,0,0,,,,,left,0.416892457288,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,1,0,1,0,,,,,left,0.725528160576,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,2,0,2,0,,,,,down,0.708822020097,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,3,0,3,0,,,,,left,1.02546894969,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,4,0,4,0,,,,,left,0.408800309524,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,5,0,5,0,,,,,left,0.358799914829,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,6,0,6,0,,,,,down,0.425313027808,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,7,0,7,0,,,,,left,0.775487502571,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
4,3,,,,,0,18,18,19,,,,,8,0,8,0,,,,,down,0.433567018714,OMK,f,22,60.0081011693,Set,2017_04_15_2003,
