number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.16,16.251,0.36,18.101,,,POL,f,20,59.9980105095,Set,2017_04_15_1917,
,,1,0,1,0,,,,,,,,,,,,,0.33,11.247,0.94,3.397,,,POL,f,20,59.9980105095,Set,2017_04_15_1917,
,,2,0,2,0,,,,,,,,,,,,,0.11,5.78,0.22,24.93,,,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,2,,,,,0,0,0,14,,,,,0,0,0,0,,,,,left,11.708670835,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,2,,,,,0,0,0,14,,,,,1,0,1,0,,,,,down,2.75891281012,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,2,,,,,0,0,0,14,,,,,2,0,2,0,,,,,down,0.508849651786,POL,f,20,59.9980105095,Set,2017_04_15_1917,
1,1,,,,,0,1,1,0,,,,,0,0,0,0,,,,,down,0.5088062305,POL,f,20,59.9980105095,Set,2017_04_15_1917,
1,1,,,,,0,1,1,0,,,,,1,0,1,0,,,,,down,0.325471712975,POL,f,20,59.9980105095,Set,2017_04_15_1917,
3,2,,,,,0,2,2,10,,,,,0,0,0,0,,,,,down,0.483568597585,POL,f,20,59.9980105095,Set,2017_04_15_1917,
3,2,,,,,0,2,2,10,,,,,1,0,1,0,,,,,down,0.408783730352,POL,f,20,59.9980105095,Set,2017_04_15_1917,
3,2,,,,,0,2,2,10,,,,,2,0,2,0,,,,,left,0.725455133943,POL,f,20,59.9980105095,Set,2017_04_15_1917,
3,2,,,,,0,2,2,10,,,,,3,0,3,0,,,,,down,1.25877149357,POL,f,20,59.9980105095,Set,2017_04_15_1917,
3,2,,,,,0,2,2,10,,,,,4,0,4,0,,,,,down,0.558795177843,POL,f,20,59.9980105095,Set,2017_04_15_1917,
6,1,,,,,0,3,3,5,,,,,0,0,0,0,,,,,right,8.22541408124,POL,f,20,59.9980105095,Set,2017_04_15_1917,
6,1,,,,,0,3,3,5,,,,,1,0,1,0,,,,,down,1.49222009047,POL,f,20,59.9980105095,Set,2017_04_15_1917,
6,1,,,,,0,3,3,5,,,,,2,0,2,0,,,,,down,0.44213995873,POL,f,20,59.9980105095,Set,2017_04_15_1917,
5,2,,,,,0,4,4,12,,,,,0,0,0,0,,,,,down,1.09209930059,POL,f,20,59.9980105095,Set,2017_04_15_1917,
5,2,,,,,0,4,4,12,,,,,1,0,1,0,,,,,left,1.09211903764,POL,f,20,59.9980105095,Set,2017_04_15_1917,
5,2,,,,,0,4,4,12,,,,,2,0,2,0,,,,,down,0.492118248018,POL,f,20,59.9980105095,Set,2017_04_15_1917,
5,2,,,,,0,4,4,12,,,,,3,0,3,0,,,,,down,0.442129695322,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,1,,,,,0,5,5,6,,,,,0,0,0,0,,,,,right,9.52528776461,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,1,,,,,0,5,5,6,,,,,1,0,1,0,,,,,down,0.842099300586,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,1,,,,,0,5,5,6,,,,,2,0,2,0,,,,,down,0.658811756875,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,1,,,,,0,5,5,6,,,,,3,0,3,0,,,,,left,0.525478423573,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,1,,,,,0,5,5,6,,,,,4,0,4,0,,,,,left,0.558814914897,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,1,,,,,0,5,5,6,,,,,5,0,5,0,,,,,down,0.625466186553,POL,f,20,59.9980105095,Set,2017_04_15_1917,
7,1,,,,,0,5,5,6,,,,,6,0,6,0,,,,,down,0.592117458582,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,0,0,0,0,,,,,right,0.70022973814,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,1,0,1,0,,,,,down,1.20879320404,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,2,0,2,0,,,,,left,0.99213403766,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,3,0,3,0,,,,,left,0.525442897109,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,4,0,4,0,,,,,left,0.575469739269,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,5,0,5,0,,,,,left,0.908798335819,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,6,0,6,0,,,,,down,1.62545908149,POL,f,20,59.9980105095,Set,2017_04_15_1917,
2,1,,,,,0,6,6,1,,,,,7,0,7,0,,,,,down,0.892121405806,POL,f,20,59.9980105095,Set,2017_04_15_1917,
3,1,,,,,0,7,7,2,,,,,0,0,0,0,,,,,right,0.392147853505,POL,f,20,59.9980105095,Set,2017_04_15_1917,
3,1,,,,,0,7,7,2,,,,,1,0,1,0,,,,,left,0.892139958683,POL,f,20,59.9980105095,Set,2017_04_15_1917,
