number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.09,43.367,0.4,19.935,,,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
,,1,0,1,0,,,,,,,,,,,,,0.14,16.397,0.46,17.78,,,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
,,2,0,2,0,,,,,,,,,,,,,0.26,19.314,0.36,19.383,,,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
7,1,,,,,0,0,0,6,,,,,0,0,0,0,,,,,down,4.66689495751,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
7,1,,,,,0,0,0,6,,,,,1,0,1,0,,,,,down,6.1502010407,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
5,3,,,,,0,1,1,20,,,,,0,0,0,0,,,,,down,1.31688994434,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
5,3,,,,,0,1,1,20,,,,,1,0,1,0,,,,,down,0.816858759936,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
2,3,,,,,0,2,2,17,,,,,0,0,0,0,,,,,down,1.25024059357,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
2,3,,,,,0,2,2,17,,,,,1,0,1,0,,,,,down,0.866916036612,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
3,2,,,,,0,3,3,10,,,,,0,0,0,0,,,,,left,2.75004677661,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
3,2,,,,,0,3,3,10,,,,,1,0,1,0,,,,,down,1.58357655851,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
3,2,,,,,0,3,3,10,,,,,2,0,2,0,,,,,left,1.31688283902,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
3,2,,,,,0,3,3,10,,,,,3,0,3,0,,,,,left,0.966964273743,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
3,2,,,,,0,3,3,10,,,,,4,0,4,0,,,,,down,0.716896181199,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
3,2,,,,,0,3,3,10,,,,,5,0,5,0,,,,,down,0.700266606873,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
7,3,,,,,0,4,4,22,,,,,0,0,0,0,,,,,down,0.766900168092,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
7,3,,,,,0,4,4,22,,,,,1,0,1,0,,,,,down,0.650231830339,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
8,1,,,,,0,5,5,7,,,,,0,0,0,0,,,,,down,0.683594005968,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
8,1,,,,,0,5,5,7,,,,,1,0,1,0,,,,,down,0.650237751426,RBD,f,18,60.0056374049,Set,2017_05_16_1316,
