number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.49,45.151,0.06,45.118,,,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
,,1,0,1,0,,,,,,,,,,,,,0.34,11.064,0.07,32.513,,,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
,,2,0,2,0,,,,,,,,,,,,,0.56,19.78,0.01,27.98,,,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
8,2,,,,,0,0,0,15,,,,,0,0,0,0,,,,,down,4.28352872911,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
8,2,,,,,0,0,0,15,,,,,1,0,1,0,,,,,down,14.6334162285,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
4,1,,,,,0,1,1,3,,,,,0,0,0,0,,,,,down,1.26688614138,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
4,1,,,,,0,1,1,3,,,,,1,0,1,0,,,,,down,0.883565834723,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
2,3,,,,,0,2,2,17,,,,,0,0,0,0,,,,,down,0.883634519298,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
2,3,,,,,0,2,2,17,,,,,1,0,1,0,,,,,down,0.633568992373,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
8,1,,,,,0,3,3,7,,,,,0,0,0,0,,,,,down,1.78355715028,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
8,1,,,,,0,3,3,7,,,,,1,0,1,0,,,,,down,0.766882194206,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
3,3,,,,,0,4,4,18,,,,,0,0,0,0,,,,,down,0.916894430993,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
3,3,,,,,0,4,4,18,,,,,1,0,1,0,,,,,down,1.13354609767,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
1,2,,,,,0,5,5,8,,,,,0,0,0,0,,,,,down,0.383566229371,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
1,2,,,,,0,5,5,8,,,,,1,0,1,0,,,,,down,0.450221843319,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
1,1,,,,,0,6,6,0,,,,,0,0,0,0,,,,,down,0.416869562352,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
1,1,,,,,0,6,6,0,,,,,1,0,1,0,,,,,down,1.30023052753,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,2,,,,,0,7,7,13,,,,,0,0,0,0,,,,,down,0.650214343332,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,2,,,,,0,7,7,13,,,,,1,0,1,0,,,,,down,0.816907457309,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,3,,,,,0,8,8,21,,,,,0,0,0,0,,,,,left,5.76693548379,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,3,,,,,0,8,8,21,,,,,1,0,1,0,,,,,down,1.03355438705,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,3,,,,,0,8,8,21,,,,,2,0,2,0,,,,,right,3.16686798353,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,3,,,,,0,8,8,21,,,,,3,0,3,0,,,,,down,0.600260922452,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,3,,,,,0,8,8,21,,,,,4,0,4,0,,,,,down,0.516887325794,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
7,2,,,,,0,9,9,14,,,,,0,0,0,0,,,,,down,1.16689877328,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
7,2,,,,,0,9,9,14,,,,,1,0,1,0,,,,,down,0.800226580352,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
5,3,,,,,0,10,10,20,,,,,0,0,0,0,,,,,down,0.750203685137,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
5,3,,,,,0,10,10,20,,,,,1,0,1,0,,,,,down,0.550232106587,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
1,3,,,,,0,11,11,16,,,,,0,0,0,0,,,,,down,0.41690429952,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
1,3,,,,,0,11,11,16,,,,,1,0,1,0,,,,,down,0.483560308348,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
5,1,,,,,0,12,12,4,,,,,0,0,0,0,,,,,down,0.383573729312,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
5,1,,,,,0,12,12,4,,,,,1,0,1,0,,,,,down,0.500223027309,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
2,1,,,,,0,13,13,1,,,,,0,0,0,0,,,,,down,0.733544518705,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
2,1,,,,,0,13,13,1,,,,,1,0,1,0,,,,,down,0.800230527529,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
7,3,,,,,0,14,14,22,,,,,0,0,0,0,,,,,down,0.900233290624,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
7,3,,,,,0,14,14,22,,,,,1,0,1,0,,,,,down,0.81695679971,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
3,1,,,,,0,15,15,2,,,,,0,0,0,0,,,,,down,0.53355715028,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
3,1,,,,,0,15,15,2,,,,,1,0,1,0,,,,,down,0.816881404724,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
2,2,,,,,0,16,16,9,,,,,0,0,0,0,,,,,down,0.366878641536,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
2,2,,,,,0,16,16,9,,,,,1,0,1,0,,,,,down,0.183569781948,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
4,3,,,,,0,17,17,19,,,,,0,0,0,0,,,,,down,0.333649124485,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
4,3,,,,,0,17,17,19,,,,,1,0,1,0,,,,,down,0.333563860739,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
5,2,,,,,0,18,18,12,,,,,0,0,0,0,,,,,left,1.35023289593,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
5,2,,,,,0,18,18,12,,,,,1,0,1,0,,,,,down,3.50028973841,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
5,2,,,,,0,18,18,12,,,,,2,0,2,0,,,,,down,0.616909036413,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
7,1,,,,,0,19,19,6,,,,,0,0,0,0,,,,,down,0.216913378332,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
7,1,,,,,0,19,19,6,,,,,1,0,1,0,,,,,down,0.500229343306,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
4,2,,,,,0,20,20,11,,,,,0,0,0,0,,,,,down,0.450245922199,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
4,2,,,,,0,20,20,11,,,,,1,0,1,0,,,,,down,0.500231317012,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,1,,,,,0,21,21,5,,,,,0,0,0,0,,,,,down,0.266898378497,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
6,1,,,,,0,21,21,5,,,,,1,0,1,0,,,,,down,0.26695087878,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
3,2,,,,,0,22,22,10,,,,,0,0,0,0,,,,,down,0.317016799934,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
3,2,,,,,0,22,22,10,,,,,1,0,1,0,,,,,down,0.233584387461,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
8,3,,,,,0,23,23,23,,,,,0,0,0,0,,,,,down,0.61674443027,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
8,3,,,,,0,23,23,23,,,,,1,0,1,0,,,,,down,0.516876667971,SAA,f,19,59.9823839544,Set,2017_04_15_1800,
