number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.01,8.851,0.72,21.835,,,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
,,1,0,1,0,,,,,,,,,,,,,0.01,9.114,0.64,20.914,,,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
,,2,0,2,0,,,,,,,,,,,,,0.01,6.73,0.57,43.213,,,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,2,,,,,0,0,0,14,,,,,0,0,0,0,,,,,right,6.63350722927,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,2,,,,,0,0,0,14,,,,,1,0,1,0,,,,,left,2.50006552678,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,2,,,,,0,0,0,14,,,,,2,0,2,0,,,,,left,0.666930221108,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,2,,,,,0,0,0,14,,,,,3,0,3,0,,,,,down,1.20022729103,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,2,,,,,0,0,0,14,,,,,4,0,4,0,,,,,left,0.500236448977,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,2,,,,,0,0,0,14,,,,,5,0,5,0,,,,,down,0.583566361223,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,2,,,,,0,0,0,14,,,,,6,0,6,0,,,,,down,0.733534229425,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
5,1,,,,,0,1,1,4,,,,,0,0,0,0,,,,,left,0.46692753688,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
5,1,,,,,0,1,1,4,,,,,1,0,1,0,,,,,left,1.35022752787,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
5,1,,,,,0,1,1,4,,,,,2,0,2,0,,,,,left,0.46710872234,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
