number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.32,14.671,0.17,26.834,,,TED,f,47,59.9861241646,Set,2017_04_28_1921,
,,1,0,1,0,,,,,,,,,,,,,0.19,10.514,0.15,30.98,,,TED,f,47,59.9861241646,Set,2017_04_28_1921,
,,2,0,2,0,,,,,,,,,,,,,0.14,7.747,0.22,23.73,,,TED,f,47,59.9861241646,Set,2017_04_28_1921,
5,2,,,,,0,0,0,12,,,,,0,0,0,0,,,,,right,27.0000003947,TED,f,47,59.9861241646,Set,2017_04_28_1921,
5,2,,,,,0,0,0,12,,,,,1,0,1,0,,,,,down,3.18355151906,TED,f,47,59.9861241646,Set,2017_04_28_1921,
5,2,,,,,0,0,0,12,,,,,2,0,2,0,,,,,down,1.45022097521,TED,f,47,59.9861241646,Set,2017_04_28_1921,
1,1,,,,,0,1,1,0,,,,,0,0,0,0,,,,,down,1.3835755192,TED,f,47,59.9861241646,Set,2017_04_28_1921,
1,1,,,,,0,1,1,0,,,,,1,0,1,0,,,,,down,0.700230448943,TED,f,47,59.9861241646,Set,2017_04_28_1921,
7,3,,,,,0,2,2,22,,,,,0,0,0,0,,,,,left,1.01692564215,TED,f,47,59.9861241646,Set,2017_04_28_1921,
7,3,,,,,0,2,2,22,,,,,1,0,1,0,,,,,down,1.40023944899,TED,f,47,59.9861241646,Set,2017_04_28_1921,
7,3,,,,,0,2,2,22,,,,,2,0,2,0,,,,,down,1.05021639622,TED,f,47,59.9861241646,Set,2017_04_28_1921,
8,2,,,,,0,3,3,15,,,,,0,0,0,0,,,,,down,5.76684472052,TED,f,47,59.9861241646,Set,2017_04_28_1921,
8,2,,,,,0,3,3,15,,,,,1,0,1,0,,,,,down,1.13355104535,TED,f,47,59.9861241646,Set,2017_04_28_1921,
4,1,,,,,0,4,4,3,,,,,0,0,0,0,,,,,down,0.733397254808,TED,f,47,59.9861241646,Set,2017_04_28_1921,
4,1,,,,,0,4,4,3,,,,,1,0,1,0,,,,,down,0.616904089344,TED,f,47,59.9861241646,Set,2017_04_28_1921,
7,1,,,,,0,5,5,6,,,,,0,0,0,0,,,,,down,2.36689185241,TED,f,47,59.9861241646,Set,2017_04_28_1921,
7,1,,,,,0,5,5,6,,,,,1,0,1,0,,,,,down,0.816892562958,TED,f,47,59.9861241646,Set,2017_04_28_1921,
6,1,,,,,0,6,6,5,,,,,0,0,0,0,,,,,down,0.766911826242,TED,f,47,59.9861241646,Set,2017_04_28_1921,
6,1,,,,,0,6,6,5,,,,,1,0,1,0,,,,,down,0.616911984136,TED,f,47,59.9861241646,Set,2017_04_28_1921,
8,1,,,,,0,7,7,7,,,,,0,0,0,0,,,,,right,8.66682008878,TED,f,47,59.9861241646,Set,2017_04_28_1921,
8,1,,,,,0,7,7,7,,,,,1,0,1,0,,,,,down,0.650232343702,TED,f,47,59.9861241646,Set,2017_04_28_1921,
