number_of_fixational_trials,size,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
9,"[2.6, 2.6]",0,0,0,8,,,,,0,0,0,0,left,1.00880030948,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,1,0,1,0,down,2.15006750036,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,2,0,2,0,right,1.25024829078,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,3,0,3,0,right,0.792174300917,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,4,0,4,0,right,0.50878017779,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,5,0,5,0,down,0.583518860626,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,6,0,6,0,down,0.575488292044,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,7,0,7,0,left,0.775447239196,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,8,0,8,0,right,0.708792414697,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,9,0,9,0,left,0.958812941121,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,10,0,10,0,right,0.458807414776,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,11,0,11,0,right,0.425454739235,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,12,0,12,0,right,0.375480397265,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,13,0,13,0,right,0.383565045079,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,14,0,14,0,down,0.325279475155,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.6, 2.6]",0,0,0,8,,,,,15,0,15,0,down,0.275434212812,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.67, 2.67]",0,1,1,38,,,,,0,0,0,0,right,0.958822809594,as,m,26,59.9829521239,Set,2017_03_17_1604,
9,"[2.67, 2.67]",0,1,1,38,,,,,1,0,1,0,left,1.05875136185,as,m,26,59.9829521239,Set,2017_03_17_1604,
