number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.29,14.651,0.52,26.084,,,karina,f,19,60.0006157968,Set,2017_04_28_1319,
,,1,0,1,0,,,,,,,,,,,,,0.33,13.097,0.25,17.947,,,karina,f,19,60.0006157968,Set,2017_04_28_1319,
,,2,0,2,0,,,,,,,,,,,,,0.17,4.824,0.37,13.9,,,karina,f,19,60.0006157968,Set,2017_04_28_1319,
7,1,,,,,0,0,0,6,,,,,0,0,0,0,,,,,right,8.9671154329,karina,f,19,60.0006157968,Set,2017_04_28_1319,
7,1,,,,,0,0,0,6,,,,,1,0,1,0,,,,,down,2.98383344203,karina,f,19,60.0006157968,Set,2017_04_28_1319,
7,1,,,,,0,0,0,6,,,,,2,0,2,0,,,,,down,0.500498556037,karina,f,19,60.0006157968,Set,2017_04_28_1319,
1,3,,,,,0,1,1,16,,,,,0,0,0,0,,,,,left,1.11724553903,karina,f,19,60.0006157968,Set,2017_04_28_1319,
1,3,,,,,0,1,1,16,,,,,1,0,1,0,,,,,down,1.66689311559,karina,f,19,60.0006157968,Set,2017_04_28_1319,
1,3,,,,,0,1,1,16,,,,,2,0,2,0,,,,,down,0.400242606935,karina,f,19,60.0006157968,Set,2017_04_28_1319,
4,2,,,,,0,2,2,11,,,,,0,0,0,0,,,,,down,0.783622730058,karina,f,19,60.0006157968,Set,2017_04_28_1319,
4,2,,,,,0,2,2,11,,,,,1,0,1,0,,,,,down,1.20027860717,karina,f,19,60.0006157968,Set,2017_04_28_1319,
6,2,,,,,0,3,3,13,,,,,0,0,0,0,,,,,right,1.30051047719,karina,f,19,60.0006157968,Set,2017_04_28_1319,
6,2,,,,,0,3,3,13,,,,,1,0,1,0,,,,,down,0.666909694643,karina,f,19,60.0006157968,Set,2017_04_28_1319,
6,2,,,,,0,3,3,13,,,,,2,0,2,0,,,,,down,0.400258396519,karina,f,19,60.0006157968,Set,2017_04_28_1319,
2,1,,,,,0,4,4,1,,,,,0,0,0,0,,,,,right,0.600235027901,karina,f,19,60.0006157968,Set,2017_04_28_1319,
2,1,,,,,0,4,4,1,,,,,1,0,1,0,,,,,down,0.466869904893,karina,f,19,60.0006157968,Set,2017_04_28_1319,
2,1,,,,,0,4,4,1,,,,,2,0,2,0,,,,,down,0.466901089327,karina,f,19,60.0006157968,Set,2017_04_28_1319,
4,3,,,,,0,5,5,19,,,,,0,0,0,0,,,,,right,0.5671286172,karina,f,19,60.0006157968,Set,2017_04_28_1319,
4,3,,,,,0,5,5,19,,,,,1,0,1,0,,,,,down,0.800218369899,karina,f,19,60.0006157968,Set,2017_04_28_1319,
4,3,,,,,0,5,5,19,,,,,2,0,2,0,,,,,right,0.516923668416,karina,f,19,60.0006157968,Set,2017_04_28_1319,
4,3,,,,,0,5,5,19,,,,,3,0,3,0,,,,,down,0.400081947912,karina,f,19,60.0006157968,Set,2017_04_28_1319,
4,3,,,,,0,5,5,19,,,,,4,0,4,0,,,,,down,0.166944826487,karina,f,19,60.0006157968,Set,2017_04_28_1319,
6,3,,,,,0,6,6,21,,,,,0,0,0,0,,,,,down,2.68353533471,karina,f,19,60.0006157968,Set,2017_04_28_1319,
6,3,,,,,0,6,6,21,,,,,1,0,1,0,,,,,down,0.483575677092,karina,f,19,60.0006157968,Set,2017_04_28_1319,
3,1,,,,,0,7,7,2,,,,,0,0,0,0,,,,,down,0.366922642104,karina,f,19,60.0006157968,Set,2017_04_28_1319,
3,1,,,,,0,7,7,2,,,,,1,0,1,0,,,,,down,0.467006879539,karina,f,19,60.0006157968,Set,2017_04_28_1319,
7,3,,,,,0,8,8,22,,,,,0,0,0,0,,,,,down,0.383577492874,karina,f,19,60.0006157968,Set,2017_04_28_1319,
7,3,,,,,0,8,8,22,,,,,1,0,1,0,,,,,down,0.283876547561,karina,f,19,60.0006157968,Set,2017_04_28_1319,
2,3,,,,,0,9,9,17,,,,,0,0,0,0,,,,,down,0.433680993621,karina,f,19,60.0006157968,Set,2017_04_28_1319,
2,3,,,,,0,9,9,17,,,,,1,0,1,0,,,,,down,0.266938273766,karina,f,19,60.0006157968,Set,2017_04_28_1319,
5,2,,,,,0,10,10,12,,,,,0,0,0,0,,,,,down,0.300541661592,karina,f,19,60.0006157968,Set,2017_04_28_1319,
5,2,,,,,0,10,10,12,,,,,1,0,1,0,,,,,down,0.0668929576932,karina,f,19,60.0006157968,Set,2017_04_28_1319,
7,2,,,,,0,11,11,14,,,,,0,0,0,0,,,,,down,0.350233843696,karina,f,19,60.0006157968,Set,2017_04_28_1319,
7,2,,,,,0,11,11,14,,,,,1,0,1,0,,,,,down,0.300180869672,karina,f,19,60.0006157968,Set,2017_04_28_1319,
5,3,,,,,0,12,12,20,,,,,0,0,0,0,,,,,down,0.300532187859,karina,f,19,60.0006157968,Set,2017_04_28_1319,
5,3,,,,,0,12,12,20,,,,,1,0,1,0,,,,,down,0.683614282636,karina,f,19,60.0006157968,Set,2017_04_28_1319,
3,2,,,,,0,13,13,10,,,,,0,0,0,0,,,,,down,0.316921378952,karina,f,19,60.0006157968,Set,2017_04_28_1319,
3,2,,,,,0,13,13,10,,,,,1,0,1,0,,,,,down,0.283582861361,karina,f,19,60.0006157968,Set,2017_04_28_1319,
8,2,,,,,0,14,14,15,,,,,0,0,0,0,,,,,down,0.383417228644,karina,f,19,60.0006157968,Set,2017_04_28_1319,
8,2,,,,,0,14,14,15,,,,,1,0,1,0,,,,,down,0.41698193198,karina,f,19,60.0006157968,Set,2017_04_28_1319,
1,2,,,,,0,15,15,8,,,,,0,0,0,0,,,,,down,0.883583019255,karina,f,19,60.0006157968,Set,2017_04_28_1319,
1,2,,,,,0,15,15,8,,,,,1,0,1,0,,,,,down,0.416910878877,karina,f,19,60.0006157968,Set,2017_04_28_1319,
8,1,,,,,0,16,16,7,,,,,0,0,0,0,,,,,right,0.683596519346,karina,f,19,60.0006157968,Set,2017_04_28_1319,
8,1,,,,,0,16,16,7,,,,,1,0,1,0,,,,,down,0.48356936124,karina,f,19,60.0006157968,Set,2017_04_28_1319,
8,1,,,,,0,16,16,7,,,,,2,0,2,0,,,,,down,0.250103421771,karina,f,19,60.0006157968,Set,2017_04_28_1319,
1,1,,,,,0,17,17,0,,,,,0,0,0,0,,,,,down,0.533568255982,karina,f,19,60.0006157968,Set,2017_04_28_1319,
1,1,,,,,0,17,17,0,,,,,1,0,1,0,,,,,down,0.283559966454,karina,f,19,60.0006157968,Set,2017_04_28_1319,
6,1,,,,,0,18,18,5,,,,,0,0,0,0,,,,,down,0.366928168456,karina,f,19,60.0006157968,Set,2017_04_28_1319,
6,1,,,,,0,18,18,5,,,,,1,0,1,0,,,,,down,0.433828231442,karina,f,19,60.0006157968,Set,2017_04_28_1319,
