number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.04,12.451,0.17,22.737,,,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
,,1,0,1,0,,,,,,,,,,,,,0.27,31.312,0.28,16.33,,,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
,,2,0,2,0,,,,,,,,,,,,,0.18,8.33,0.38,13.647,,,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
2,3,,,,,0,0,0,17,,,,,0,0,0,0,,,,,down,7.15018801432,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
2,3,,,,,0,0,0,17,,,,,1,0,1,0,,,,,down,3.1502503831,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,2,,,,,0,1,1,13,,,,,0,0,0,0,,,,,down,3.41686594419,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,2,,,,,0,1,1,13,,,,,1,0,1,0,,,,,right,4.03353862406,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,2,,,,,0,1,1,13,,,,,2,0,2,0,,,,,down,8.53350151857,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,2,,,,,0,1,1,13,,,,,3,0,3,0,,,,,down,0.983591084892,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
1,2,,,,,0,2,2,8,,,,,0,0,0,0,,,,,down,2.88355192676,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
1,2,,,,,0,2,2,8,,,,,1,0,1,0,,,,,right,2.7668934575,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
1,2,,,,,0,2,2,8,,,,,2,0,2,0,,,,,right,1.08356866371,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
1,2,,,,,0,2,2,8,,,,,3,0,3,0,,,,,right,1.35045146325,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
1,2,,,,,0,2,2,8,,,,,4,0,4,0,,,,,down,1.43340551798,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
1,2,,,,,0,2,2,8,,,,,5,0,5,0,,,,,down,2.51687115474,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
3,2,,,,,0,3,3,10,,,,,0,0,0,0,,,,,right,1.70021489603,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
3,2,,,,,0,3,3,10,,,,,1,0,1,0,,,,,down,1.31689507596,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
3,2,,,,,0,3,3,10,,,,,2,0,2,0,,,,,down,1.45022575138,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
5,1,,,,,0,4,4,4,,,,,0,0,0,0,,,,,right,2.53355599256,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
5,1,,,,,0,4,4,4,,,,,1,0,1,0,,,,,right,0.800250106782,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
5,1,,,,,0,4,4,4,,,,,2,0,2,0,,,,,right,1.10028152802,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
5,1,,,,,0,4,4,4,,,,,3,0,3,0,,,,,down,0.916907786566,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
5,1,,,,,0,4,4,4,,,,,4,0,4,0,,,,,down,0.700189238007,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
8,3,,,,,0,5,5,23,,,,,0,0,0,0,,,,,left,2.90023005402,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
8,3,,,,,0,5,5,23,,,,,1,0,1,0,,,,,down,0.833505308081,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
8,3,,,,,0,5,5,23,,,,,2,0,2,0,,,,,right,0.833585834858,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
8,3,,,,,0,5,5,23,,,,,3,0,3,0,,,,,down,0.466888878553,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
8,3,,,,,0,5,5,23,,,,,4,0,4,0,,,,,down,0.566907904955,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
4,1,,,,,0,6,6,3,,,,,0,0,0,0,,,,,right,1.6168984707,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
4,1,,,,,0,6,6,3,,,,,1,0,1,0,,,,,down,0.600298896548,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
4,1,,,,,0,6,6,3,,,,,2,0,2,0,,,,,down,0.533575729554,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
2,1,,,,,0,7,7,1,,,,,0,0,0,0,,,,,down,0.783593690197,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
2,1,,,,,0,7,7,1,,,,,1,0,1,0,,,,,down,0.55053846378,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,3,,,,,0,8,8,22,,,,,0,0,0,0,,,,,left,0.9502494357,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,3,,,,,0,8,8,22,,,,,1,0,1,0,,,,,down,1.33359096645,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,3,,,,,0,8,8,22,,,,,2,0,2,0,,,,,down,0.533569808438,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,3,,,,,0,8,8,22,,,,,3,0,3,0,,,,,left,0.933570124238,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,3,,,,,0,8,8,22,,,,,4,0,4,0,,,,,down,0.866922747169,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,3,,,,,0,8,8,22,,,,,5,0,5,0,,,,,down,0.433576045325,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
3,1,,,,,0,9,9,2,,,,,0,0,0,0,,,,,left,0.95022259347,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
3,1,,,,,0,9,9,2,,,,,1,0,1,0,,,,,left,0.883572453225,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
3,1,,,,,0,9,9,2,,,,,2,0,2,0,,,,,down,0.516887339036,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
3,1,,,,,0,9,9,2,,,,,3,0,3,0,,,,,down,0.683593216498,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,1,,,,,0,10,10,6,,,,,0,0,0,0,,,,,left,1.01688339165,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,1,,,,,0,10,10,6,,,,,1,0,1,0,,,,,left,0.816909286572,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,1,,,,,0,10,10,6,,,,,2,0,2,0,,,,,down,0.533574940055,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
7,1,,,,,0,10,10,6,,,,,3,0,3,0,,,,,down,0.366892746999,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,1,,,,,0,11,11,5,,,,,0,0,0,0,,,,,right,1.38358034799,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,1,,,,,0,11,11,5,,,,,1,0,1,0,,,,,down,0.80024458043,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,1,,,,,0,11,11,5,,,,,2,0,2,0,,,,,down,0.633576992725,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,1,,,,,0,11,11,5,,,,,3,0,3,0,,,,,left,1.00024750151,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,1,,,,,0,11,11,5,,,,,4,0,4,0,,,,,down,0.516941813083,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
6,1,,,,,0,11,11,5,,,,,5,0,5,0,,,,,down,0.433574466355,ASV,m,24,60.0015158461,Set,2017_05_17_1556,
