number_of_fixational_trials,size,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,participant,gender,age,frameRate,expName,date,
,,,,,,,,,,,,,,space,17.7002483305,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,0,0,0,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,1,0,1,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,2,0,2,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,3,0,3,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,4,0,4,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,5,0,5,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,6,0,6,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,7,0,7,0,,,,,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,0,0,0,0,,,right,11.2087717408,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,1,0,1,0,,,right,1.62548548006,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,2,0,2,0,,,right,0.716913832817,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,3,0,3,0,,,right,0.425287478836,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,4,0,4,0,,,right,0.400278370129,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,5,0,5,0,,,right,0.466981037054,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,6,0,6,0,,,right,0.275425854721,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,7,0,7,0,,,right,0.266941326321,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,8,0,8,0,,,right,0.266859220457,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,9,0,9,0,,,right,0.266929484089,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,10,0,10,0,,,right,0.42548563797,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,11,0,11,0,,,right,0.466992089874,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,12,0,12,0,,,down,0.7087881224,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,13,0,13,0,,,down,0.383597078384,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
8,"[2.8, 2.8]",0,0,0,27,,,,,14,0,14,0,,,down,0.733599466621,space,2.79213379137,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,0,0,0,0,14,0,14,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,1,0,1,0,14,0,14,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,2,0,2,0,14,0,14,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,3,0,3,0,14,0,14,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,,,,,0,0,0,0,,,right,0.692166041583,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,,,,,1,0,1,0,,,right,0.842224640655,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,,,,,2,0,2,0,,,right,0.683586775791,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,,,,,3,0,3,0,,,down,0.75879489223,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,,,,,4,0,4,0,,,down,0.592180133797,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
4,"[2.6, 2.6]",0,1,1,3,,,,,5,0,5,0,,,down,0.483616933809,space,1.97546971019,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,0,0,0,0,5,0,5,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,1,0,1,0,5,0,5,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,2,0,2,0,5,0,5,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,3,0,3,0,5,0,5,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,4,0,4,0,5,0,5,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,5,0,5,0,5,0,5,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,,,,,0,0,0,0,,,right,2.06693240523,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,,,,,1,0,1,0,,,down,0.783616499626,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,,,,,2,0,2,0,,,down,0.558823076659,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
6,"[2.9, 2.9]",0,2,2,35,,,,,3,0,3,0,,,down,0.842172929784,space,1.60882432002,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
3,"[2.9, 2.9]",0,3,3,32,0,0,0,0,3,0,3,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
3,"[2.9, 2.9]",0,3,3,32,1,0,1,0,3,0,3,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
3,"[2.9, 2.9]",0,3,3,32,2,0,2,0,3,0,3,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
3,"[2.9, 2.9]",0,3,3,32,,,,,0,0,0,0,,,down,0.858800931717,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
3,"[2.9, 2.9]",0,3,3,32,,,,,1,0,1,0,,,down,0.50024809374,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
3,"[2.9, 2.9]",0,3,3,32,,,,,2,0,2,0,,,down,0.458813484409,space,1.44215153495,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
7,"[2.6, 2.6]",0,4,4,6,0,0,0,0,2,0,2,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
7,"[2.6, 2.6]",0,4,4,6,1,0,1,0,2,0,2,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
7,"[2.6, 2.6]",0,4,4,6,2,0,2,0,2,0,2,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
7,"[2.6, 2.6]",0,4,4,6,3,0,3,0,2,0,2,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
7,"[2.6, 2.6]",0,4,4,6,4,0,4,0,2,0,2,0,,,,,,,DMA,f,19,59.9979395196,Set,2017_03_08_2349,
