number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.0,22.168,0.62,9.971,,,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
,,1,0,1,0,,,,,,,,,,,,,0.21,10.314,0.55,11.13,,,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
,,2,0,2,0,,,,,,,,,,,,,0.0,7.33,0.41,17.08,,,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,2,,,,,0,0,0,13,,,,,0,0,0,0,,,,,right,6.58352965047,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,2,,,,,0,0,0,13,,,,,1,0,1,0,,,,,down,2.85021726464,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,2,,,,,0,0,0,13,,,,,2,0,2,0,,,,,down,1.23356580862,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
1,3,,,,,0,1,1,16,,,,,0,0,0,0,,,,,down,0.916895878763,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
1,3,,,,,0,1,1,16,,,,,1,0,1,0,,,,,down,0.51690235248,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
1,1,,,,,0,2,2,0,,,,,0,0,0,0,,,,,down,0.983581598179,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
1,1,,,,,0,2,2,0,,,,,1,0,1,0,,,,,down,2.21688885239,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,1,,,,,0,3,3,4,,,,,0,0,0,0,,,,,down,2.78353509787,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,1,,,,,0,3,3,4,,,,,1,0,1,0,,,,,down,0.983616335259,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,2,,,,,0,4,4,10,,,,,0,0,0,0,,,,,right,2.30021363305,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,2,,,,,0,4,4,10,,,,,1,0,1,0,,,,,down,0.833567940223,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,2,,,,,0,4,4,10,,,,,2,0,2,0,,,,,down,0.983643572283,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,2,,,,,0,5,5,14,,,,,0,0,0,0,,,,,down,2.66687179965,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,2,,,,,0,5,5,14,,,,,1,0,1,0,,,,,down,1.90021892256,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,2,,,,,0,6,6,11,,,,,0,0,0,0,,,,,down,2.21688411554,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,2,,,,,0,6,6,11,,,,,1,0,1,0,,,,,left,2.05019626452,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,2,,,,,0,6,6,11,,,,,2,0,2,0,,,,,down,0.733658572397,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,2,,,,,0,6,6,11,,,,,3,0,3,0,,,,,down,0.750241580623,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,2,,,,,0,6,6,11,,,,,4,0,4,0,,,,,left,2.90018852762,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,2,,,,,0,6,6,11,,,,,5,0,5,0,,,,,down,0.600244501664,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,2,,,,,0,6,6,11,,,,,6,0,6,0,,,,,down,0.950232422649,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,3,,,,,0,7,7,18,,,,,0,0,0,0,,,,,right,3.53353312417,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,3,,,,,0,7,7,18,,,,,1,0,1,0,,,,,left,2.18357480867,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,3,,,,,0,7,7,18,,,,,2,0,2,0,,,,,down,1.18353296627,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,3,,,,,0,7,7,18,,,,,3,0,3,0,,,,,down,0.61689303664,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,3,,,,,0,8,8,17,,,,,0,0,0,0,,,,,right,1.91692469476,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,3,,,,,0,8,8,17,,,,,1,0,1,0,,,,,down,0.616895799816,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,3,,,,,0,8,8,17,,,,,2,0,2,0,,,,,down,0.933566913882,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,2,,,,,0,9,9,12,,,,,0,0,0,0,,,,,down,2.20021623833,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,2,,,,,0,9,9,12,,,,,1,0,1,0,,,,,down,0.683591387729,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,3,,,,,0,10,10,21,,,,,0,0,0,0,,,,,down,2.13355183482,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,3,,,,,0,10,10,21,,,,,1,0,1,0,,,,,left,1.05024244904,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,3,,,,,0,10,10,21,,,,,2,0,2,0,,,,,down,2.33388491604,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,3,,,,,0,10,10,21,,,,,3,0,3,0,,,,,down,0.800166659028,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,1,,,,,0,11,11,7,,,,,0,0,0,0,,,,,down,2.58356636122,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,1,,,,,0,11,11,7,,,,,1,0,1,0,,,,,down,0.46673095657,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
