number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.0,12.651,0.21,41.569,,,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
,,1,0,1,0,,,,,,,,,,,,,0.32,15.88,0.28,23.713,,,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
,,2,0,2,0,,,,,,,,,,,,,0.23,9.014,0.15,34.796,,,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
6,3,,,,,0,0,0,21,,,,,0,0,0,0,,,,,down,3.0669011944,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
6,3,,,,,0,0,0,21,,,,,1,0,1,0,,,,,down,1.28357908483,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
1,1,,,,,0,1,1,0,,,,,0,0,0,0,,,,,right,6.26684845724,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
1,1,,,,,0,1,1,0,,,,,1,0,1,0,,,,,down,0.800237475123,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
1,1,,,,,0,1,1,0,,,,,2,0,2,0,,,,,down,0.733564834736,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
8,3,,,,,0,2,2,23,,,,,0,0,0,0,,,,,down,1.83338846525,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
8,3,,,,,0,2,2,23,,,,,1,0,1,0,,,,,down,0.816890339069,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
5,3,,,,,0,3,3,20,,,,,0,0,0,0,,,,,down,1.75027848853,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
5,3,,,,,0,3,3,20,,,,,1,0,1,0,,,,,down,0.600239290921,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,1,,,,,0,4,4,3,,,,,0,0,0,0,,,,,right,1.81697678696,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,1,,,,,0,4,4,3,,,,,1,0,1,0,,,,,right,0.717421973866,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,1,,,,,0,4,4,3,,,,,2,0,2,0,,,,,down,0.76690174704,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,1,,,,,0,4,4,3,,,,,3,0,3,0,,,,,down,1.28358342695,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
1,3,,,,,0,5,5,16,,,,,0,0,0,0,,,,,down,1.00006157932,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
1,3,,,,,0,5,5,16,,,,,1,0,1,0,,,,,down,0.716960523714,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,2,,,,,0,6,6,11,,,,,0,0,0,0,,,,,down,0.733566808434,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,2,,,,,0,6,6,11,,,,,1,0,1,0,,,,,down,0.383409031165,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
7,1,,,,,0,7,7,6,,,,,0,0,0,0,,,,,down,2.48355476889,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
7,1,,,,,0,7,7,6,,,,,1,0,1,0,,,,,down,0.450237988283,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
3,2,,,,,0,8,8,10,,,,,0,0,0,0,,,,,down,0.80023589616,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
3,2,,,,,0,8,8,10,,,,,1,0,1,0,,,,,down,0.533578492716,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
7,3,,,,,0,9,9,22,,,,,0,0,0,0,,,,,left,1.80022050133,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
7,3,,,,,0,9,9,22,,,,,1,0,1,0,,,,,down,1.0168948391,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
7,3,,,,,0,9,9,22,,,,,2,0,2,0,,,,,down,0.566911852358,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
2,2,,,,,0,10,10,9,,,,,0,0,0,0,,,,,down,0.833571229508,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
2,2,,,,,0,10,10,9,,,,,1,0,1,0,,,,,down,0.45025772525,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
1,2,,,,,0,11,11,8,,,,,0,0,0,0,,,,,down,0.816915997122,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
1,2,,,,,0,11,11,8,,,,,1,0,1,0,,,,,down,0.600301264982,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
3,3,,,,,0,12,12,18,,,,,0,0,0,0,,,,,down,1.03356665053,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
3,3,,,,,0,12,12,18,,,,,1,0,1,0,,,,,down,0.416891996982,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,3,,,,,0,13,13,19,,,,,0,0,0,0,,,,,down,0.600630082765,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
4,3,,,,,0,13,13,19,,,,,1,0,1,0,,,,,down,0.233659177407,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
6,2,,,,,0,14,14,13,,,,,0,0,0,0,,,,,down,0.600299686026,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
6,2,,,,,0,14,14,13,,,,,1,0,1,0,,,,,down,0.466896773323,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
2,3,,,,,0,15,15,17,,,,,0,0,0,0,,,,,right,1.73353483455,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
2,3,,,,,0,15,15,17,,,,,1,0,1,0,,,,,down,0.3835835059,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
2,3,,,,,0,15,15,17,,,,,2,0,2,0,,,,,right,0.683579005876,NAT,f,28,60.0043582391,Set,2017_05_05_1426,
