number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.45,16.701,0.32,17.768,,,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
,,1,0,1,0,,,,,,,,,,,,,0.42,12.264,0.23,24.063,,,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
,,2,0,2,0,,,,,,,,,,,,,0.4,11.83,0.31,15.547,,,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
4,1,,,,,0,0,0,3,,,,,0,0,0,0,,,,,down,4.04207561607,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
4,1,,,,,0,0,0,3,,,,,1,0,1,0,,,,,down,1.29214035347,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,0,0,0,0,,,,,left,17.6500592108,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,1,0,1,0,,,,,left,8.9587426777,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,2,0,2,0,,,,,left,0.775273948908,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,3,0,3,0,,,,,left,0.941952852532,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,4,0,4,0,,,,,down,0.641956010368,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,5,0,5,0,,,,,down,0.716930747032,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,6,0,6,0,,,,,left,0.583608466433,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,7,0,7,0,,,,,left,0.342134037521,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,8,0,8,0,,,,,left,0.458793204278,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,9,0,9,0,,,,,left,0.425438554958,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,10,0,10,0,,,,,down,0.642141537508,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,11,0,11,0,,,,,down,0.342114695348,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,12,0,12,0,,,,,left,0.425468949834,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,13,0,13,0,,,,,down,0.64212416904,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,14,0,14,0,,,,,down,0.325468160445,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,15,0,15,0,,,,,left,0.35879004607,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,16,0,16,0,,,,,down,0.375460660318,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,17,0,17,0,,,,,left,0.342111932114,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,18,0,18,0,,,,,down,0.358788072597,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,19,0,19,0,,,,,left,0.558794388315,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,20,0,20,0,,,,,down,0.458794783102,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,21,0,21,0,,,,,left,0.342128116405,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,22,0,22,0,,,,,down,0.392117853276,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
8,3,,,,,0,1,1,23,,,,,23,0,23,0,,,,,down,0.508790835738,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,0,0,0,0,,,,,left,3.77536197565,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,1,0,1,0,,,,,left,0.433558729244,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,2,0,2,0,,,,,left,0.683608071646,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,3,0,3,0,,,,,left,0.300252238056,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,4,0,4,0,,,,,down,0.633643598063,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,5,0,5,0,,,,,down,0.342165616574,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,6,0,6,0,,,,,left,0.408796362113,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,7,0,7,0,,,,,left,0.358796756715,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,8,0,8,0,,,,,left,0.258782940917,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,9,0,9,0,,,,,left,0.275458291871,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,10,0,10,0,,,,,left,0.258778598858,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,11,0,11,0,,,,,left,0.44212259003,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,12,0,12,0,,,,,left,0.358796756715,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,13,0,13,0,,,,,left,0.325453949627,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,14,0,14,0,,,,,left,0.358790046303,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,15,0,15,0,,,,,left,0.258784519741,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,16,0,16,0,,,,,left,0.27546263393,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,17,0,17,0,,,,,left,0.258779388154,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,18,0,18,0,,,,,left,0.192168774549,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,19,0,19,0,,,,,left,0.292099300539,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,20,0,20,0,,,,,down,0.442141932435,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
3,3,,,,,0,2,2,18,,,,,21,0,21,0,,,,,down,0.325467765564,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
4,2,,,,,0,3,3,11,,,,,0,0,0,0,,,,,down,1.42545473925,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
4,2,,,,,0,3,3,11,,,,,1,0,1,0,,,,,down,0.325489081442,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,0,0,0,0,,,,,left,1.10877030948,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,1,0,1,0,,,,,down,0.675450002309,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,2,0,2,0,,,,,left,0.458777414635,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,3,0,3,0,,,,,down,0.308771098731,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,4,0,4,0,,,,,down,0.508804651676,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,5,0,5,0,,,,,left,0.525455923285,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,6,0,6,0,,,,,down,0.458820441272,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,7,0,7,0,,,,,left,0.458802283276,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,8,0,8,0,,,,,down,0.392103248043,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
2,3,,,,,0,4,4,17,,,,,9,0,9,0,,,,,down,0.342108774232,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
6,2,,,,,0,5,5,13,,,,,0,0,0,0,,,,,left,1.35879241489,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
6,2,,,,,0,5,5,13,,,,,1,0,1,0,,,,,down,0.558772282908,Simon,M,21,60.0049741219,Set,2017_04_15_1935,
