number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.39,14.518,0.54,16.985,,,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
,,1,0,1,0,,,,,,,,,,,,,0.33,8.03,0.52,14.329,,,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
,,2,0,2,0,,,,,,,,,,,,,0.29,10.614,0.53,13.164,,,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,0,0,0,0,,,,,left,2.15022681735,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,1,0,1,0,,,,,left,0.383585387695,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,2,0,2,0,,,,,left,0.233610808908,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,3,0,3,0,,,,,left,0.108801270748,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,4,0,4,0,,,,,left,0.32557091178,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,5,0,5,0,,,,,left,0.108886929229,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,6,0,6,0,,,,,left,1.07543946354,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,7,0,7,0,,,,,left,0.64215992004,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,8,0,8,0,,,,,left,2.87550191133,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,9,0,9,0,,,,,down,0.392114919756,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,2,,,,,0,0,0,13,,,,,10,0,10,0,,,,,down,0.133563282288,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
5,2,,,,,0,1,1,12,,,,,0,0,0,0,,,,,left,4.20874695457,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
5,2,,,,,0,1,1,12,,,,,1,0,1,0,,,,,left,0.708607611537,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
5,2,,,,,0,1,1,12,,,,,2,0,2,0,,,,,left,0.458804586553,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
5,2,,,,,0,1,1,12,,,,,3,0,3,0,,,,,left,0.892119261873,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
5,2,,,,,0,1,1,12,,,,,4,0,4,0,,,,,down,0.208805376053,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
5,2,,,,,0,1,1,12,,,,,5,0,5,0,,,,,down,0.125473884837,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,0,0,0,0,,,,,left,0.808753033576,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,1,0,1,0,,,,,left,0.125469147955,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,2,0,2,0,,,,,left,0.0754627531569,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,3,0,3,0,,,,,left,0.0754639373918,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,4,0,4,0,,,,,left,0.108825744595,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,5,0,5,0,,,,,left,0.0421171302733,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,6,0,6,0,,,,,down,0.592159051623,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,2,,,,,0,2,2,14,,,,,7,0,7,0,,,,,down,0.0921586568875,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,1,,,,,0,3,3,6,,,,,0,0,0,0,,,,,down,2.51682537829,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,1,,,,,0,3,3,6,,,,,1,0,1,0,,,,,left,0.733414228627,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,1,,,,,0,3,3,6,,,,,2,0,2,0,,,,,left,0.275291357277,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,1,,,,,0,3,3,6,,,,,3,0,3,0,,,,,left,0.22504535559,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,1,,,,,0,3,3,6,,,,,4,0,4,0,,,,,left,0.475444042502,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,1,,,,,0,3,3,6,,,,,5,0,5,0,,,,,down,0.142137814604,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,1,,,,,0,3,3,6,,,,,6,0,6,0,,,,,down,0.0835683349287,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,1,,,,,0,4,4,3,,,,,0,0,0,0,,,,,left,1.37550625348,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,1,,,,,0,4,4,3,,,,,1,0,1,0,,,,,left,0.183496650221,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,1,,,,,0,4,4,3,,,,,2,0,2,0,,,,,down,0.30028705459,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,1,,,,,0,4,4,3,,,,,3,0,3,0,,,,,down,0.0669884846429,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,3,,,,,0,5,5,19,,,,,0,0,0,0,,,,,left,0.750242764829,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,3,,,,,0,5,5,19,,,,,1,0,1,0,,,,,left,0.15878713908,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,3,,,,,0,5,5,19,,,,,2,0,2,0,,,,,down,0.333616098447,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,3,,,,,0,5,5,19,,,,,3,0,3,0,,,,,down,0.116903299844,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,2,,,,,0,6,6,11,,,,,0,0,0,0,,,,,left,1.18357875606,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,2,,,,,0,6,6,11,,,,,1,0,1,0,,,,,down,0.608776402136,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
4,2,,,,,0,6,6,11,,,,,2,0,2,0,,,,,down,0.0588004023302,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,3,,,,,0,7,7,22,,,,,0,0,0,0,,,,,left,1.59214523574,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,3,,,,,0,7,7,22,,,,,1,0,1,0,,,,,left,0.17552527989,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,3,,,,,0,7,7,22,,,,,2,0,2,0,,,,,left,0.108777586371,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,3,,,,,0,7,7,22,,,,,3,0,3,0,,,,,left,0.375455332047,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,3,,,,,0,7,7,22,,,,,4,0,4,0,,,,,down,0.375649938651,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
7,3,,,,,0,7,7,22,,,,,5,0,5,0,,,,,down,0.492128893529,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,0,0,0,0,,,,,left,1.49212218294,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,1,0,1,0,,,,,left,0.308796849655,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,2,0,2,0,,,,,left,0.192131182994,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,3,0,3,0,,,,,left,0.258779007447,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,4,0,4,0,,,,,left,0.141974787199,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,5,0,5,0,,,,,left,0.175421463413,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,6,0,6,0,,,,,left,0.0921112881333,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,7,0,7,0,,,,,left,0.23342291289,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,8,0,8,0,,,,,left,1.50885795534,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,9,0,9,0,,,,,left,0.3587767969,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,10,0,10,0,,,,,left,2.47539864745,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,11,0,11,0,,,,,down,0.508792428591,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
6,3,,,,,0,8,8,21,,,,,12,0,12,0,,,,,left,0.692118551349,DMM,f,19,59.9849878639,Set,2017_04_29_2112,
